psid,cid,name,rar,setn,col,cstat,price,app_ko,gap,td,nvjp,risk,flagk,flagwhy,score,title,url,auto_reject
541c62d7dae440c19f4391830b9f7970,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,1192000,2714385,0.44,2026-05-24,0.44,,DIRTY,sealed,4,(5/24일마감) 25주년 한판골든 미개봉 박스 경매,https://cafe.naver.com/cardmvk/583858,REJECT_SEALED
312182ab947146a5a07ccd40082d2609,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,1000000,2714385,0.37,2026-04-27,0.37,,DIRTY,sealed,4,(04/27 마감) 토히후 미개봉 스페셜박스,https://cafe.naver.com/cardmvk/511581,REJECT_SEALED
eae34347080143a99f378f2254fbf1a3,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,958000,2714385,0.35,2026-05-02,0.35,,DIRTY,bundle|sealed,4,"(05/02 마감)토히후 스페셜박스 미개봉 경매 (토호쿠,히로시마,후쿠오카)",https://cafe.naver.com/cardmvk/524390,REJECT_BUNDLE
2779b59ec582421fb7b1634a3693f1d0,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,943000,2714385,0.35,2026-04-28,0.35,,DIRTY,bundle|sealed,4,"(4/28 마감) 토히후 스페셜박스 미개봉 토호쿠,히로시마,후쿠오카",https://cafe.naver.com/cardmvk/514315,REJECT_BUNDLE
e4b8075c19524d0da5241fdc58c0a361,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,940000,2714385,0.35,2026-05-09,0.34,,DIRTY,bundle|sealed,4,"(5/9 마감) 토호쿠,히로시마,후쿠오카 스페셜 박스 미개봉 (토히후) 3종 세트 슈링크 O",https://cafe.naver.com/cardmvk/543015,REJECT_BUNDLE
757c6a78b1ff4941a1b244144e43b2c2,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,921000,2714385,0.34,2026-05-13,0.34,,DIRTY,bundle|sealed,4,"(5/13 마감) 토호쿠, 히로시마, 후쿠오카 스페셜 박스 (토히후)",https://cafe.naver.com/cardmvk/554401,REJECT_BUNDLE
80b07e34d74b47ed9babaad79133c172,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,921000,2714385,0.34,2026-05-12,0.34,,DIRTY,bundle|sealed,4,"(5/12 마감) 토호쿠,히로시마,후쿠오카 박스 미개봉 (토히후) 3종 세트 미개봉 슈링크 O",https://cafe.naver.com/cardmvk/551530,REJECT_BUNDLE
e6426187d97a4f92aded90f25ec8da72,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,920000,2714385,0.34,2026-05-12,0.34,,DIRTY,bundle|sealed,4,"(5/12일 마감) 토히후 미개봉 박스 세트(토후쿠, 히로시마, 후쿠오카)",https://cafe.naver.com/cardmvk/551010,REJECT_BUNDLE
7d76317ce7a14abfb2ad9ca81a69ccf6,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,917000,2714385,0.34,2026-05-16,0.34,,DIRTY,bundle|sealed,4,"(5/16 마감) 토호쿠,히로시마,후쿠오카 스페셜 박스 미개봉 3종 토히후",https://cafe.naver.com/cardmvk/560483,REJECT_BUNDLE
24a4a326eefd4d9197366c9614e198a0,CRD_BC643F61B6A0A15DA4F179160FCF9B92,뭉크 피카츄,PR,일본 독점 프로모,288/SM-P,RAW,900000,,,2026-05-22,,,DIRTY,graded,2,(5/22마감)[BRG9]뭉크 나몰빼미,https://cafe.naver.com/cardmvk/577837,REJECT_GRADED
