psid,cid,name,rar,setn,col,cstat,price,app_ko,gap,td,nvjp,risk,flagk,flagwhy,score,title,url,review_status
a3aecee7c19d43c88870d793c3490516,CRD_BD23A2FE3D6140978DFB,테오키스 VSTAR,SAR,소드&실드 하이클래스팩 「VSTAR 유니버스」,223/172,RAW,55000,22176,2.48,2026-05-16,0.92,JP_SUSPECT,DIRTY,graded,7,(5/17 경매마감) 브이스타 유니버스 테오키스 VMAX & VSTAR SAR [BRG10],https://cafe.naver.com/cardmvk/559785,
fd517ea65c664170b1bebad1085f618c,CRD_123A0C58771F4B76BBFE,아강의 비장의카드,SR,XY 확장팩 제5탄 「타이달스톰」,077/070,GRADED,51000,14240,3.58,2026-05-04,,LADDER_BLIND,DIRTY,graded|nonko,7,[5/4 마감] BW 아강의 비장의 카드 sr PSA 어센틱 (brg7 뽀각),https://cafe.naver.com/cardmvk/528899,
6769cb40432a4cf098bd29a5b31b7522,CRD_B6F05ABED7AE47BAAD56,카밀레의 반짝임 [서포트/퓨전],SR,소드&실드 하이클래스팩 「VSTAR 유니버스」,249/172,GRADED,50000,17943,2.79,2026-06-06,1.95,JP_SUSPECT,DIRTY,graded|koGtJp,7,(06/06 마감) 카밀레의 반짝임 SR BRG10 / ELESA'S SPARKLE SR BRG10 (VSTAR 유니버스),https://cafe.naver.com/cardmvk/615899,
6d564e171482477f927ed48d4fcf048a,CRD_123A0C58771F4B76BBFE,아강의 비장의카드,SR,XY 확장팩 제5탄 「타이달스톰」,077/070,RAW,43000,14240,3.02,2026-06-06,,LADDER_BLIND,CLEAN,,6,6월6일 마감)어비스아이 이슬이의 활기 sr 싱글카드,https://cafe.naver.com/cardmvk/615802,
57c4c8b6492944e485a2ea58ec7207d3,CRD_85ACB08A9301857D6840,라티아스&라티오스 GX,UR,썬&문 확장팩 「태그볼트」,114/095,RAW,33000,78398,0.42,2026-05-22,0.26,JP_SUSPECT,CLEAN,,6,(5/22일마감) 피카츄&제크로무 gx ur 한판 경매,https://cafe.naver.com/cardmvk/578285,
70c1214a71e3415a9a65792169de9edc,CRD_123A0C58771F4B76BBFE,아강의 비장의카드,SR,XY 확장팩 제5탄 「타이달스톰」,077/070,RAW,26000,14240,1.83,2026-05-26,,LADDER_BLIND,CLEAN,,6,(5/26 마감) 초전브레이커 SR 피카츄 싱글카드,https://cafe.naver.com/cardmvk/587492,
7b09cda3315f431486c8e6e0b3cc8fce,CRD_123A0C58771F4B76BBFE,아강의 비장의카드,SR,XY 확장팩 제5탄 「타이달스톰」,077/070,RAW,25000,14240,1.76,2026-06-04,,LADDER_BLIND,CLEAN,,6,(6/5일 마감) BW 라티오스 SR 및 앨범용 카드,https://cafe.naver.com/cardmvk/610246,
d47ce95449744e138a0bfe3493bdc553,CRD_888168EF50BE4F89B720,비케,SR,썬&문 확장팩 제3탄 「빛을 삼킨 어둠」,057/051,RAW,16000,5913,2.71,2026-05-06,0.05,DISPLAY_OUTLIER,CLEAN,,6,(5/6마감) 썬문 비케,https://cafe.naver.com/cardmvk/535160,
5effe39ca6494d6f978c8745980543b2,CRD_627474F7EF5F4BDB9549,리피아 VSTAR,SAR,소드&실드 하이클래스팩 「VSTAR 유니버스」,210/172,RAW,12000,35555,0.34,2026-05-17,0.13,JP_SUSPECT,CLEAN,,6,5/17마감) 리피아 vstar SAR 싱글 ,https://cafe.naver.com/cardmvk/565302,
06f5ebe3801345029d231c0f6f439713,CRD_500998CEAE8F48BE9DA0,큐레무 ex,SAR,스칼렛&바이올렛 확장팩 「블랙볼트」,168/086,RAW,10000,24197,0.41,2026-05-22,0.16,JP_SUSPECT,CLEAN,,6,(5/22마감) 큐레무 sar,https://cafe.naver.com/cardmvk/578268,
2f04d3e2fd30436e93a025e3df702ca6,CRD_B6F05ABED7AE47BAAD56,카밀레의 반짝임 [서포트/퓨전],SR,소드&실드 하이클래스팩 「VSTAR 유니버스」,249/172,RAW,9000,17943,0.5,2026-05-11,0.35,JP_SUSPECT,CLEAN,,6,(5/11 마감) 카밀레의 반짝임 sr 싱글(퓨전아츠),https://cafe.naver.com/cardmvk/548886,
f315b1a08c004627abcbaa7b1e8fee11,CRD_B6F05ABED7AE47BAAD56,카밀레의 반짝임 [서포트/퓨전],SR,소드&실드 하이클래스팩 「VSTAR 유니버스」,249/172,RAW,8000,17943,0.45,2026-05-07,0.31,JP_SUSPECT,CLEAN,,6,(5/7마감) 썬문 서포트 4장,https://cafe.naver.com/cardmvk/536785,
5516027d2b6b4f588c5dbe1b7cf46d4a,CRD_8C3914BBF6F44AEA9A9F,칠색조 GX,SSR,썬&문 하이클래스팩 「GX 울트라샤이니」,210/150,RAW,8000,16992,0.47,2026-05-10,0.18,JP_SUSPECT,CLEAN,,6,(5/10마감) 칠색조 GX SSR 싱글,https://cafe.naver.com/cardmvk/545628,
d66757c9a51b40829758a5e9ca910006,CRD_9E959C4AF6BA480FA670,마기아나 EX,SR,XY BREAK 확장팩 제11탄 「냉혹한 반역자」,055/054,RAW,8000,1878,4.26,2026-05-02,,LADDER_BLIND,CLEAN,,6,(5/2 마감) xy11 마기아나 ex sr,https://cafe.naver.com/cardmvk/524527,
c6b801c0cc8343799662f634be88eef5,CRD_123A0C58771F4B76BBFE,아강의 비장의카드,SR,XY 확장팩 제5탄 「타이달스톰」,077/070,RAW,7000,14240,0.49,2026-05-27,,LADDER_BLIND,CLEAN,,6,(5/27 마감) 소드 실드 외 몬스터 SR 카드 12장,https://cafe.naver.com/cardmvk/591731,
a90cc0d96ecd4cb0bba321b62128c6a4,CRD_1752B1022AD74CC0AF24,모미,SR,소드&실드 확장팩 「연격마스터」,080/070,RAW,5000,10973,0.46,2026-06-10,0.09,JP_SUSPECT,CLEAN,,6,(6/10 마감) 모미 sr,https://cafe.naver.com/cardmvk/625787,
a4b56c4ad7834be699ed8e10274bd139,CRD_6D1BC2DD10F54AB98A56,알로라 식스테일 VSTAR,HR,소드&실드 강화 확장팩 「백열의 아르카나」,087/068,RAW,2000,13189,0.15,2026-06-10,0.06,JP_SUSPECT,CLEAN,,6,(6/10 마감) 알로라 식스테일 vstar hr 싱글,https://cafe.naver.com/cardmvk/625782,
c052705b55034067bacc743aabea0d20,CRD_A25CB6E36FC71EBDA24B,판초를 입은 피카츄,PR,판초 피카츄 프로모 SM-P037,037/SM-P,GRADED,2700009,3105300,0.87,2026-06-07,,LADDER_BLIND,DIRTY,graded|nonko,5,(6/7 마감) PSA10 메가캠페인 판초 피카츄,https://cafe.naver.com/cardmvk/616987,
bde8b5eb962b4b5c980d0fc899636d25,CRD_CF5D258E4C4326F86707666D9357D5A2,요코하마 피카츄 (WCS),PR,일본 독점 프로모,280/SM-P,GRADED,1117000,1882000,0.59,2026-05-04,,LADDER_BLIND,DIRTY,graded|nonko,5,(5월 4일 마감) 요코하마 WCS 피카츄 PSA10,https://cafe.naver.com/cardmvk/528107,
939a4dcbc7cf4d5db82db1e081908255,CRD_A6F7502948814BF9A22C,블래키 VMAX,HR,소드&실드 강화 확장팩 「이브이 히어로즈」,095/069,RAW,500000,1226183,0.41,2026-05-19,,,CLEAN,,5,[5/19 마감] 블래키 vmax hr 싱글,https://cafe.naver.com/cardmvk/570506,
ae2e0baf4c554c54bc7c7abe16ccf862,CRD_A6F7502948814BF9A22C,블래키 VMAX,HR,소드&실드 강화 확장팩 「이브이 히어로즈」,095/069,RAW,360000,1226183,0.29,2026-05-30,,,CLEAN,,5,(5/30일마감) 블래키 HR VMAX 특일 싱글 경매,https://cafe.naver.com/cardmvk/599306,
6fc8a74b94d54072b5e6e9cd67252bb1,CRD_A6F7502948814BF9A22C,블래키 VMAX,HR,소드&실드 강화 확장팩 「이브이 히어로즈」,095/069,RAW,360000,1226183,0.29,2026-05-19,,,CLEAN,,5,(5월 19일 당일마감) 이브이 히어로즈 블래키 브맥특 특일 vmax hr s6a,https://cafe.naver.com/cardmvk/568758,
1d65a9fd8ee44dbcb465f4b816912527,CRD_B8B69E5A34C042F2928346295A367A70,메가리자몽X ex,MUR,MEGA 확장팩 「인페르노X」,116/080,RAW,180000,461459,0.39,2026-04-27,0.19,,CLEAN,,5,(4/27 마감) 메가리자몽x mur 싱글,https://cafe.naver.com/cardmvk/512160,
a28f7e5ecc7f4c0ba86b0f147ae5452e,CRD_DF3A72B78E8141B1A0D2BED89B3B20EE,메가개굴닌자 EX,MUR,MEGA 확장팩 「닌자스피너」,120/083,RAW,180000,358595,0.5,2026-06-05,0.24,,CLEAN,,5,(6/5마감) 한글판 MUR 개굴닌자,https://cafe.naver.com/cardmvk/613115,
96f8f25f5bc24f9195164cbf133330af,CRD_5094F85922274E7CAC3C,블래키 ex,SAR,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,217/187,RAW,170000,541020,0.31,2026-05-15,0.25,,CLEAN,,5,(05/16 마감) 테라스탈페스타 블래키 sar 싱글,https://cafe.naver.com/cardmvk/559752,
6eb012c293f04e9cb15dfb5e220ef067,CRD_5094F85922274E7CAC3C,블래키 ex,SAR,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,217/187,RAW,162000,541020,0.3,2026-06-14,0.24,,CLEAN,,5,[6/14일 마감] 테라스탈 페스타 블래키 sar 싱글,https://cafe.naver.com/cardmvk/634750,
2748938fa09447f0ba038e3511ba8ad9,CRD_DF3A72B78E8141B1A0D2BED89B3B20EE,메가개굴닌자 EX,MUR,MEGA 확장팩 「닌자스피너」,120/083,RAW,138000,358595,0.38,2026-05-15,0.19,,CLEAN,,5,(5/15마감) 메가개굴닌자 MUR 싱글,https://cafe.naver.com/cardmvk/559330,
a5262a18e9e24d73b7b480a6e232e40b,CRD_BC23459C3A854031B8A0,메가망나뇽 ex,SAR,MEGA 하이클래스팩 「MEGA 드림 ex」,246/193,RAW,138000,301003,0.46,2026-05-14,0.3,,CLEAN,,5,[5/14 마감] 메가 망나뇽 EX SAR,https://cafe.naver.com/cardmvk/555939,
0b5a4102147c4fb2910b5f37cd8afb01,CRD_5094F85922274E7CAC3C,블래키 ex,SAR,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,217/187,RAW,116000,541020,0.21,2026-05-17,0.17,,CLEAN,,5,(5/17 마감) 블래키 SAR 한판 싱글,https://cafe.naver.com/cardmvk/565034,
b0307425010d4dee80948da4dced2c6a,CRD_053F45EBABE44DD09C9B,잉어킹,AR,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,080/073,RAW,111000,45190,2.46,2026-05-11,0.42,,CLEAN,,5,당일 마감) 잉어킹 ar 2장 1000원 경매,https://cafe.naver.com/cardmvk/547463,
6c0b57d834fe4019ae9c0174bf167a17,CRD_053F45EBABE44DD09C9B,잉어킹,AR,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,080/073,RAW,105000,45190,2.32,2026-05-14,0.4,,CLEAN,,5,[5/14 마감] 잉어킹 AR CCG10 1000원 경매 2,https://cafe.naver.com/cardmvk/556799,
d555d6a03d5144c5aa28d46bfb94ecd2,CRD_BC23459C3A854031B8A0,메가망나뇽 ex,SAR,MEGA 하이클래스팩 「MEGA 드림 ex」,246/193,RAW,100000,301003,0.33,2026-05-14,0.22,,CLEAN,,5,[5/14일 마감] 메가 망나뇽 sar 싱글,https://cafe.naver.com/cardmvk/556926,
cca43fead150401d96e12e6ad2ca2414,CRD_053F45EBABE44DD09C9B,잉어킹,AR,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,080/073,RAW,89000,45190,1.97,2026-05-14,0.34,,CLEAN,,5,[5/14 마감] 잉어킹 AR CCG10 1000원 경매,https://cafe.naver.com/cardmvk/556606,
235a2e0bb50a4e5eafdb2362249b5c23,CRD_BC23459C3A854031B8A0,메가망나뇽 ex,SAR,MEGA 하이클래스팩 「MEGA 드림 ex」,246/193,RAW,76000,301003,0.25,2026-05-16,0.16,,CLEAN,,5,(5/16 마감) 한판 메가 망나뇽 sar,https://cafe.naver.com/cardmvk/562284,
8e79ae5ff49d41cfa0b0bad61af1d39d,CRD_053F45EBABE44DD09C9B,잉어킹,AR,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,080/073,RAW,72000,45190,1.59,2026-04-27,0.27,,CLEAN,,5,(4/27마감) ar 3종(이브이 피카츄 잉어킹) 등급용 싱글 경매,https://cafe.naver.com/cardmvk/512182,
a87c67505e0e46f3b8fb851a1886d2ab,CRD_C1ED974D21D945F6AE35,아쿠아단의 가이오가 EX,RR,XY 확장팩 「마그마단vs아쿠아단 더블크라이시스」,006/034,RAW,72000,142992,0.5,2026-05-17,0.17,,CLEAN,,5,(5/17일 마감) 아쿠아단의 가이오가,https://cafe.naver.com/cardmvk/564320,
