psid,cid,name,rar,setn,col,cstat,price,app_ko,gap,td,nvjp,risk,flagk,flagwhy,score,title,url,review_status
5081bc15dcc64ee4b53f54bf13e063f2,CRD_CF5D258E4C4326F86707666D9357D5A2,요코하마 피카츄 (WCS),PR,일본 독점 프로모,280/SM-P,GRADED,1117000,1882000,0.59,2026-05-04,,LADDER_BLIND,DIRTY,graded,5,,,NEEDS_MANUAL_SOURCE
790c3f3d95fd4ada9b3823bae9404e5d,CRD_25A858D01145493BB66AF82B8EA32B7C,메가리자몽Y ex,MUR,MEGA 「스타트 덱 100 배틀컬렉션」,766/742,RAW,1001000,777485,1.29,2026-04-20,,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
e0ac7638c2754a119f4dfb22d9149f54,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,960000,2714385,0.35,2026-05-08,0.35,,REVIEW,,4,,,NEEDS_MANUAL_SOURCE
6c44b3bc8fc94e93a6b231eac4ddb401,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,943000,2714385,0.35,2026-04-28,0.35,,REVIEW,,4,,,NEEDS_MANUAL_SOURCE
76424b37138f4224ac4ee0280f80396f,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,940000,2714385,0.35,2026-05-09,0.34,,REVIEW,,4,,,NEEDS_MANUAL_SOURCE
b260ec17d5d24b66b292d17cbad154e5,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,921000,2714385,0.34,2026-05-12,0.34,,REVIEW,,4,,,NEEDS_MANUAL_SOURCE
9c9e11d4dba74880b110e976acb1042a,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,921000,2714385,0.34,2026-05-13,0.34,,REVIEW,,4,,,NEEDS_MANUAL_SOURCE
dbd5e1d03da945dcb8983097bbbee19e,CRD_B8B69E5A34C042F2928346295A367A70,메가리자몽X ex,MUR,MEGA 확장팩 「인페르노X」,116/080,GRADED,880000,461459,1.91,2026-05-05,0.92,,DIRTY,graded,4,,,NEEDS_MANUAL_SOURCE
ce2344c90d6c4ef19dec1d4832a87f66,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,845000,2714385,0.31,2026-04-27,0.31,,REVIEW,,4,,,NEEDS_MANUAL_SOURCE
5f50e10893b344dda2757f24977b44ae,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,820000,2714385,0.3,2026-05-10,0.3,,REVIEW,,4,,,NEEDS_MANUAL_SOURCE
d8130c9a4f5a4ff0a67cb3b2860c620f,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,601000,2714385,0.22,2026-05-05,0.22,,REVIEW,,4,,,NEEDS_MANUAL_SOURCE
684ebfebc66141f788db4dd23a08adec,CRD_8F6DB567A7EF4D5F9742,제크로무 ex,BWR,스칼렛&바이올렛 확장팩 「블랙볼트」,174/086,GRADED,556000,131156,4.24,2026-05-02,1.39,,DIRTY,graded|koGtJp,4,,,NEEDS_MANUAL_SOURCE
333206735a74404badc510faf15af6a0,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,552000,2714385,0.2,2026-05-02,0.2,,REVIEW,,4,,,NEEDS_MANUAL_SOURCE
0344182c27964f908e09e9ad26e23f00,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,PR,일본 독점 프로모,227/S-P,RAW,550000,2714385,0.2,2026-05-04,0.2,,REVIEW,,4,,,NEEDS_MANUAL_SOURCE
622940f2844543e4a1ac5de79ea639f5,CRD_5094F85922274E7CAC3C,블래키 ex,SAR,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,217/187,GRADED,500000,541020,0.92,2026-04-17,0.73,,DIRTY,graded,2,,,NEEDS_MANUAL_SOURCE
b1effa11997f4988aafd7ba411c73692,CRD_7633E4DC01B743F4A4BC,메가팬텀 ex,SAR,MEGA 하이클래스팩 「MEGA 드림 ex」,240/193,RAW,500000,198263,2.52,2026-04-28,0.7,,REVIEW,,4,,,NEEDS_MANUAL_SOURCE
56db267da5114b46b4332d514c0cfcc8,CRD_5094F85922274E7CAC3C,블래키 ex,SAR,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,217/187,GRADED,500000,541020,0.92,2026-04-21,0.73,,DIRTY,graded,2,,,NEEDS_MANUAL_SOURCE
2928e301e4b94432ad95dc51439c299d,CRD_B8B69E5A34C042F2928346295A367A70,메가리자몽X ex,MUR,MEGA 확장팩 「인페르노X」,116/080,RAW,440000,461459,0.95,2026-04-18,0.46,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
9cf588928e3b4902aca9be4a7f7bf73c,CRD_5094F85922274E7CAC3C,블래키 ex,SAR,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,217/187,GRADED,431000,541020,0.8,2026-05-01,0.63,,DIRTY,graded,2,,,NEEDS_MANUAL_SOURCE
529b2407cb784502aacd60ef5d252ee7,CRD_B44585853A93C37F791B552F69C70AA6,맥도날드 피카츄,PR,일본 독점 프로모,020/MP,GRADED,422000,58175,7.25,2026-05-02,7.25,,DIRTY,graded|koGtJp,4,,,NEEDS_MANUAL_SOURCE
446b2d8e5eef4c81ac5ffc0c943bad22,CRD_B8B69E5A34C042F2928346295A367A70,메가리자몽X ex,MUR,MEGA 확장팩 「인페르노X」,116/080,RAW,405000,461459,0.88,2026-04-20,0.42,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
fa7d9ee7d3d64c42a568205ca9fcaa0b,CRD_5094F85922274E7CAC3C,블래키 ex,SAR,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,217/187,GRADED,400000,541020,0.74,2026-05-13,0.58,,DIRTY,graded,2,,,NEEDS_MANUAL_SOURCE
b269f313e0a24d9cb7804eba59ba844b,CRD_8F6DB567A7EF4D5F9742,제크로무 ex,BWR,스칼렛&바이올렛 확장팩 「블랙볼트」,174/086,GRADED,390000,131156,2.97,2026-05-06,0.98,,DIRTY,graded,4,,,NEEDS_MANUAL_SOURCE
8667dfaf5ca04e2480ecfc5945933dd8,CRD_F95322AF0A1243D99F83,메가리자몽X ex,SAR,MEGA 확장팩 「인페르노X」,110/080,GRADED,370000,389241,0.95,2026-05-07,0.35,,DIRTY,graded,2,,,NEEDS_MANUAL_SOURCE
2c531944796f4b7985b6d41b0401371a,CRD_F95322AF0A1243D99F83,메가리자몽X ex,SAR,MEGA 확장팩 「인페르노X」,110/080,RAW,370000,389241,0.95,2026-04-27,0.35,,REVIEW,,2,,,NEEDS_MANUAL_SOURCE
