code,ko_name,jp_ref,en_ref,ko_url,jp_url,en_url,ko_status,jp_status,en_status,ko_ct,jp_ct,en_ct,ko_size,jp_size,en_size,ko_dim,jp_dim,en_dim,ko_decode,jp_decode,en_decode,ko_jp,ko_en,jp_en,crosslang,result
BS2025006099,로켓단의 트래피더,sv10_ja-99,sv10-187,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_099.png?w=512,https://images.scrydex.com/pokemon/sv10_ja-99/medium,https://images.scrydex.com/pokemon/sv10-187/medium,200,200,200,image/png,image/png,image/png,531285,129684,79771,512x714,362x512,367x512,OK,OK,OK,0.811,0.869,0.931,OK,PASS
BS2025007103,활화르바,sv11b_ja-103,zsv10pt5-99,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_103.png?w=512,https://images.scrydex.com/pokemon/sv11b_ja-103/medium,https://images.scrydex.com/pokemon/zsv10pt5-99/medium,200,200,200,image/png,image/png,image/png,789052,133359,128626,512x714,367x511,367x512,OK,OK,OK,0.952,0.962,0.961,OK,PASS
BS2025007111,늑골라,sv11b_ja-111,zsv10pt5-107,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_111.png?w=512,https://images.scrydex.com/pokemon/sv11b_ja-111/medium,https://images.scrydex.com/pokemon/zsv10pt5-107/medium,200,200,200,image/png,image/png,image/png,592363,125252,109402,512x714,366x512,367x512,OK,OK,OK,0.846,0.907,0.907,OK,PASS
BS2025007150,터검니,sv11b_ja-150,zsv10pt5-145,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_150.png?w=512,https://images.scrydex.com/pokemon/sv11b_ja-150/medium,https://images.scrydex.com/pokemon/zsv10pt5-145/medium,200,200,200,image/png,image/png,image/png,568169,122844,91811,512x714,364x512,367x512,OK,OK,OK,0.866,0.931,0.881,OK,PASS
BS2025008155,바랜드,sv11w_ja-155,rsv10pt5-156,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_155.png?w=512,https://images.scrydex.com/pokemon/sv11w_ja-155/medium,https://images.scrydex.com/pokemon/rsv10pt5-156/medium,200,200,200,image/png,image/png,image/png,740462,133753,122315,512x714,362x512,367x512,OK,OK,OK,0.949,0.965,0.961,OK,PASS
BS2025008162,탱탱겔 ex,sv11w_ja-162,rsv10pt5-160,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_162.png?w=512,https://images.scrydex.com/pokemon/sv11w_ja-162/medium,https://images.scrydex.com/pokemon/rsv10pt5-160/medium,200,200,200,image/png,image/png,image/png,729292,115296,93673,512x714,365x512,367x512,OK,OK,OK,0.929,0.936,0.909,OK,PASS
BS2025008170,탱탱겔 ex,sv11w_ja-170,rsv10pt5-168,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_170.png?w=512,https://images.scrydex.com/pokemon/sv11w_ja-170/medium,https://images.scrydex.com/pokemon/rsv10pt5-168/medium,200,200,200,image/png,image/png,image/png,892152,131188,98257,512x714,361x512,367x512,OK,OK,OK,0.903,0.896,0.966,OK,PASS
BS2025009074,깨비참,m1l_ja-74,me1-151,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M1L/M1L_074.png?w=512,https://images.scrydex.com/pokemon/m1l_ja-74/medium,https://images.scrydex.com/pokemon/me1-151/medium,200,200,200,image/png,image/png,image/png,630962,126663,104105,512x714,364x512,367x512,OK,OK,OK,0.858,0.93,0.884,OK,PASS
BS2025014096,로토무 ex,m2_ja-96,me2-111,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M2/M2_096.png?w=512,https://images.scrydex.com/pokemon/m2_ja-96/medium,https://images.scrydex.com/pokemon/me2-111/medium,200,200,200,image/png,image/png,image/png,861886,124533,87537,512x714,367x512,367x512,OK,OK,OK,0.938,0.955,0.961,OK,PASS
BS2025014112,로토무 ex,m2_ja-112,me2-126,https://cards.image.pokemonkorea.co.kr/data/wmimages/MEGA/M2/M2_112.png?w=512,https://images.scrydex.com/pokemon/m2_ja-112/medium,https://images.scrydex.com/pokemon/me2-126/medium,200,200,200,image/png,image/png,image/png,899043,128599,94412,512x714,363x512,367x512,OK,OK,OK,0.952,0.945,0.939,OK,PASS
