card_id	jp_ref	src_sha	cf_sha	match	dim
CRD_50B2FD354E4E28060E93	m3_ja-61	1dfd462bb2aa	1dfd462bb2aa	MATCH	365x512
CRD_7EFC022C360ECB18F368	sv11b_ja-149	2a013f2d2d61	2a013f2d2d61	MATCH	361x512
CRD_1FAE56A534F527997652	sv11w_ja-5	fa873c1c273b	fa873c1c273b	MATCH	367x512
CRD_446729B24008F954BB0A	sv11w_ja-42	292deffc9c41	292deffc9c41	MATCH	367x512
CRD_555EE842647815F48715	sv11w_ja-159	df4b082375fb	df4b082375fb	MATCH	365x512
CRD_EDAD36BCA792F37E033D	sv11w_ja-167	cff5612870c6	cff5612870c6	MATCH	362x512
CRD_4859A1CEBEE02962E908	m2_ja-29	7c0d9e5e68aa	7c0d9e5e68aa	MATCH	365x512
CRD_40FBDA9D8B07812A7D95	sv5k_ja-100	e89a6149f73d	e89a6149f73d	MATCH	365x512
CRD_078657E48A5C7962311A	sv6_ja-85	c25a47a3fc81	c25a47a3fc81	MATCH	365x512
CRD_7752DD5232086D6A4146	sv6_ja-121	689006e6e3de	689006e6e3de	MATCH	365x512
CRD_9EB378594AD7F975D818	sv7a_ja-40	3fa7e2095f39	3fa7e2095f39	MATCH	367x512
CRD_CACCC26771051F067E98	sv8_ja-112	65ade9f671ab	65ade9f671ab	MATCH	360x512
CRD_2155A4D54F44F7A42D0F	sv8a_ja-22	80b90908812c	80b90908812c	MATCH	367x512
CRD_CE4D32F8379962BB2C82	sv8a_ja-124	1f0db817a7bb	1f0db817a7bb	MATCH	367x512
CRD_A14B9AB5F1C8622F9CB1	swsh12a_ja-20	b7c4474cef8d	b7c4474cef8d	MATCH	365x512
CRD_5FCF39B83D268FC86798	swsh12a_ja-86	04aed6fc6783	04aed6fc6783	MATCH	365x512
CRD_222E9847135B140CEF27	swsh12a_ja-130	0101806b2da4	0101806b2da4	MATCH	365x512
CRD_304585F5A84F181F1105	swsh12a_ja-229	81ebc8e3969f	81ebc8e3969f	MATCH	365x512
CRD_5A13BAFB5F4751341641	sv2p_ja-94	3da4f146530e	3da4f146530e	MATCH	365x512
CRD_9A76495C6C6B99BBC074	sv3_ja-85	2f528e2f1cc3	2f528e2f1cc3	MATCH	365x512
CRD_D4ABBEA6D26A12D8F907	sv3a_ja-50	eb630385fe79	eb630385fe79	MATCH	365x512
CRD_97BE397815C93AA20E1D	sv3a_ja-87	e7aac6377942	e7aac6377942	MATCH	365x512
CRD_7A88D55AC936FE0D18E4	swsh8b_ja-119	74688d245c88	74688d245c88	MATCH	365x512
CRD_F596BF15BD3A72D0827D	swsh8b_ja-123	62c50367b176	62c50367b176	MATCH	365x512
CRD_91C3095AAD2E321043D0	swsh8b_ja-196	d82170674c95	d82170674c95	MATCH	365x512
CRD_E539C04F2773B3572C0D	swsh8b_ja-198	a1279d0b7605	a1279d0b7605	MATCH	365x512
CRD_8EBE6592ACC0307D990D	swsh8b_ja-201	31a3af2c1025	31a3af2c1025	MATCH	365x512
CRD_C2B4FC232C9AE7018C08	swsh8b_ja-237	a73ae7b1d7f7	a73ae7b1d7f7	MATCH	365x512
CRD_37B7393178B645AADF6F	swsh8b_ja-251	7950661a0322	7950661a0322	MATCH	365x512
CRD_728824875FB0AB727B38	swsh8b_ja-253	70df1873bf62	70df1873bf62	MATCH	365x512
CRD_4EB5FCA02B815775E0D5	swsh9_ja-14	a417552b0538	a417552b0538	MATCH	365x512
CRD_0B1B22D6D38DC9FDB7C1	swsh9_ja-64	fe0d3f0223db	fe0d3f0223db	MATCH	365x512
CRD_F468D1CBA143837129CC	swsh9_ja-116	8f29c1705afa	8f29c1705afa	MATCH	365x512
CRD_E2BBFAD3F67905508742	swsh9_ja-124	d8223dc15da9	d8223dc15da9	MATCH	365x512
CRD_A19450B9771AF13689F1	swsh9a_ja-52	efdd1d80f4a0	efdd1d80f4a0	MATCH	365x512
CRD_A427D3F18204D2955D21	swsh10d_ja-71	08fff2a8fc7a	08fff2a8fc7a	MATCH	365x512
CRD_07838391EB0EE31C2240	swsh10a_ja-88	0572c775ed5c	0572c775ed5c	MATCH	365x512
CRD_D12C5E855D472ADD01EC	swsh11_ja-37	4ac313f0f472	4ac313f0f472	MATCH	365x512
CRD_A4DBE3E0E159125E3B57	swsh11a_ja-55	42ca896349f0	42ca896349f0	MATCH	365x512
CRD_A4815295611D6BD8CF43	swsh11a_ja-73	b75d856703cc	b75d856703cc	MATCH	365x512
CRD_C0FD791CFBCB5AE1036E	swsh11a_ja-76	a718f732f5f8	a718f732f5f8	MATCH	365x512
CRD_9AEA1A49E1136BF4033C	swsh5a_ja-37	d0d3eda79ef4	d0d3eda79ef4	MATCH	365x512
CRD_7A1CEB09D1B58CFDD57B	swsh6h_ja-47	6fef647e8fe1	6fef647e8fe1	MATCH	365x512
CRD_0CE1E882E3DB3A128B10	swsh7d_ja-49	562ee36af22e	562ee36af22e	MATCH	365x512
CRD_50F6F1C119D4792B9B1C	swsh7r_ja-15	395caf9925a0	395caf9925a0	MATCH	365x512
CRD_631AD80FA334FB95F195	swsh8a_ja-24	83c6e665faa3	83c6e665faa3	MATCH	365x512
CRD_B0B8C5142F67A845B7A2	swsh8a_ja-22	105c47b73267	105c47b73267	MATCH	365x512
CRD_AC0AC7D11535301B11B2	swsh3_ja-66	acfe18cd2446	acfe18cd2446	MATCH	365x512
CRD_A72D96AA09A1A85694F8	swsh3_ja-107	9de85f9e0109	9de85f9e0109	MATCH	365x512
CRD_C2D419D0BA0BE07BC5B5	swsh3a_ja-13	aff1100a0c43	aff1100a0c43	MATCH	365x512
CRD_6940E14A45E56ECEAE53	swsh4a_ja-139	b24999af88c0	b24999af88c0	MATCH	365x512
CRD_0947A2BADF48F0637F4B	swsh4a_ja-140	1bff8f480fdc	1bff8f480fdc	MATCH	365x512
CRD_C25940958F57A0DE60C8	swsh4a_ja-323	07e3c0ff46b5	07e3c0ff46b5	MATCH	365x512
