jp_ref,ko_name,en_ref,cosine,confirm
swsh8b_ja-196,가디안,swsh10tg-TG05,0.968,OK
swsh8b_ja-198,야느와르몽,swsh9tg-TG06,0.951,OK
swsh8b_ja-201,마휘핑,swsh9tg-TG08,0.934,OK
swsh8b_ja-237,가라르 썬더 V,swsh10tg-TG19,0.954,OK
swsh8b_ja-251,자마젠타 V,swsh10tg-TG22,0.951,OK
swsh8b_ja-253,두랄루돈 VMAX,swsh12tg-TG21,0.93,OK
swsh8b_ja-120,레쿠쟈 VMAX,swsh12pt5-101,0.923,OK
swsh8b_ja-123,두랄루돈 VMAX,swsh12pt5-104,0.935,OK
swsh12a_ja-229,히스이 대검귀 V,swsh12pt5gg-GG51,0.912,OK
sv2p_ja-94,시비꼬 ex,sv2-264,0.929,OK
swsh4a_ja-323,메타몽 V,swsh45sv-SV118,0.94,OK
swsh10a_ja-88,러브로스 V,swsh11tg-TG18,0.962,OK
swsh8a_ja-22,공중날기 피카츄 VMAX,cel25-9,0.906,OK
swsh9_ja-116,해당의 백업 SR,swsh9-172,0.954,OK
swsh8a_ja-24,파도타기 피카츄 VMAX,cel25-7,0.883,확인권장
swsh11a_ja-73,루브도,swsh12tg-TG10,0.869,확인권장
swsh9_ja-124,해당의 백업 HR,swsh9-180,0.851,확인권장
