officialCardCode,name,rarityCode,collectionNumber,productId,_ko_set_name,jpScrydexRef,enScrydexRef,superType,type
BS2025006099,로켓단의 트래피더,AR,099,PRD_FA31487748A24EAF9EE3,스칼렛&바이올렛 확장팩 「로켓단의 영광」,sv10_ja-99,,POKEMON,KO
BS2025007103,활화르바,AR,103,PRD_D52A4B350D2344119847,스칼렛&바이올렛 확장팩 「블랙볼트」,sv11b_ja-103,,POKEMON,KO
BS2025007111,늑골라,AR,111,PRD_D52A4B350D2344119847,스칼렛&바이올렛 확장팩 「블랙볼트」,sv11b_ja-111,,POKEMON,KO
BS2025007149,코바르온,AR,149,PRD_D52A4B350D2344119847,스칼렛&바이올렛 확장팩 「블랙볼트」,sv11b_ja-149,,POKEMON,KO
BS2025007150,터검니,AR,150,PRD_D52A4B350D2344119847,스칼렛&바이올렛 확장팩 「블랙볼트」,sv11b_ja-150,,POKEMON,KO
BS2025008155,바랜드,AR,155,PRD_53034524E98C4FE8BF8D,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-155,,POKEMON,KO
BS2025008158,토네로스,AR,158,PRD_53034524E98C4FE8BF8D,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-158,,POKEMON,KO
BS2025008159,엘풍 ex,SR,159,PRD_53034524E98C4FE8BF8D,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-159,,POKEMON,KO
BS2025008162,탱탱겔 ex,SR,162,PRD_53034524E98C4FE8BF8D,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-162,,POKEMON,KO
BS2025008167,엘풍 ex,SAR,167,PRD_53034524E98C4FE8BF8D,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-159,,POKEMON,KO
BS2025008170,탱탱겔 ex,SAR,170,PRD_53034524E98C4FE8BF8D,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-170,,POKEMON,KO
BS2025009074,깨비참,AR,074,PRD_488E92535E424D04B2B5,MEGA 확장팩 「메가브레이브」,m1l_ja-74,,POKEMON,KO
BS2025014096,로토무 ex,SR,096,PRD_DD94FB8DCB7C4A129478,MEGA 확장팩 「인페르노X」,m2_ja-96,,POKEMON,KO
BS2025014112,로토무 ex,SAR,112,PRD_DD94FB8DCB7C4A129478,MEGA 확장팩 「인페르노X」,m2_ja-112,,POKEMON,KO
BS2025015229,메가루차불 ex,MA,229,PRD_90A8D5BDA5664CEF9F48,MEGA 하이클래스팩 「MEGA 드림 ex」,m2a_ja-229,,POKEMON,KO
BS2024001337,시비꼬 ex,SSR,337,PRD_219AD0EF77CA4165AD0F,스칼렛&바이올렛 하이클래스팩 「샤이니트레저 ex」,sv4a_ja-337,,POKEMON,KO
BS2024004082,치라미,AR,082,PRD_171222A74859484783EB,스칼렛&바이올렛 확장팩 「와일드포스」,sv5k_ja-82,,POKEMON,KO
