code,ko_name,rarity,ko_no,ko_set,jp_ref,series,match_cid,match_name,s1,s2,margin,nm_match,rar_match
BS2025001017,볼케니온 ex,RR,017,스칼렛&바이올렛 확장팩 「배틀파트너즈」,,,CRD_E884C26E081A41749A2E,볼케니온 ex,0.943,0,0.943,True,True
BS2025001046,맘모꾸리 ex,RR,046,스칼렛&바이올렛 확장팩 「배틀파트너즈」,,,CRD_D041ACC237314A96985C,맘모꾸리 ex,0.951,0,0.951,True,True
BS2025001069,호브의 자시안 ex,RR,069,스칼렛&바이올렛 확장팩 「배틀파트너즈」,,,CRD_1ECDA429B4D74A1EB5F5,호브의 자시안 ex,0.976,0,0.976,True,True
BS2025001072,보만다 ex,RR,072,스칼렛&바이올렛 확장팩 「배틀파트너즈」,,,CRD_F2AAF0DDA03144BEA3E0,보만다 ex,0.923,0,0.923,True,True
BS2025001079,노고고치 ex,RR,079,스칼렛&바이올렛 확장팩 「배틀파트너즈」,,,CRD_D74B2BB02D9740569EEB,노고고치 ex,0.973,0,0.973,True,True
BS2025005032,어써러셔 ex,RR,032,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,,,CRD_C5F43E1D58DC4EB091BB,어써러셔 ex,0.989,0,0.989,True,True
BS2025005035,에레키블 ex,RR,035,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,,,CRD_58B23BBE13C047A0BE1A,에레키블 ex,0.959,0,0.959,True,True
BS2025005052,페퍼의 마피티프 ex,RR,052,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,,,CRD_F78C2A2D2F374617AD49,페퍼의 마피티프 ex,0.942,0,0.942,True,True
BS2025006039,로켓단의 뮤츠 ex,RR,039,스칼렛&바이올렛 확장팩 「로켓단의 영광」,,,CRD_B2272D4D776044FE9ABF,로켓단의 뮤츠 ex,0.985,0,0.985,True,True
BS2025007003,샤로다 ex,RR,003,스칼렛&바이올렛 확장팩 「블랙볼트」,,,CRD_6C47EADF71464DA6A684,샤로다 ex,0.968,0,0.968,True,True
BS2025007031,큐레무 ex,RR,031,스칼렛&바이올렛 확장팩 「블랙볼트」,,,CRD_FF1CF3010C544E30908E,큐레무 ex,0.979,0,0.979,True,True
BS2025008027,케르디오 ex,RR,027,스칼렛&바이올렛 확장팩 「화이트플레어」,,,CRD_E6931B5F136B4A32907D,케르디오 ex,0.973,0,0.973,True,True
BS2025008062,삼삼드래 ex,RR,062,스칼렛&바이올렛 확장팩 「화이트플레어」,,,CRD_CAA84D92B77A42B6AD29,삼삼드래 ex,0.964,0,0.964,True,True
BS2025008075,버프론 ex,RR,075,스칼렛&바이올렛 확장팩 「화이트플레어」,,,CRD_B294F7A527664134BFA8,버프론 ex,0.957,0,0.957,True,True
BS2025015017,오거폰 벽록의 가면 ex,RR,017,MEGA 하이클래스팩 「MEGA 드림 ex」,,,CRD_91F9D869C7DF4777B799,오거폰 벽록의 가면 ex,0.948,0,0.948,True,True
BS2024004005,토대부기 ex,RR,005,스칼렛&바이올렛 확장팩 「와일드포스」,,,CRD_8F4DFB20EC9342C1A6A9,토대부기 ex,0.962,0,0.962,True,True
BS2024004012,꿰뚫는화염 ex,RR,012,스칼렛&바이올렛 확장팩 「와일드포스」,,,CRD_69A3E53625B647AE962F,꿰뚫는화염 ex,0.928,0,0.928,True,True
