code,ko_name,rarity,ko_no,ko_set,jp_ref,series,match_cid,match_name,s1,s2,margin,nm_match,rar_match
BS2025001061,N의 조로아크 ex,RR,061,스칼렛&바이올렛 확장팩 「배틀파트너즈」,,,CRD_9965F1D5629D4B62B22A,N의 조로아크 ex,0.992,0.95,0.043,True,True
BS2025005003,메가자리 ex,RR,003,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,,,CRD_79944D97ECE040D19022,메가자리 ex,0.993,0.972,0.021,True,True
BS2025006012,올리르바 ex,RR,012,스칼렛&바이올렛 확장팩 「로켓단의 영광」,,,CRD_F72B398C28494F5383EA,올리르바 ex,0.879,0,0.879,True,True
BS2025006055,레지락 ex,RR,055,스칼렛&바이올렛 확장팩 「로켓단의 영광」,,,CRD_528E8910A24647CE96C3,레지락 ex,0.895,0,0.895,True,True
BS2025007037,제크로무 ex,RR,037,스칼렛&바이올렛 확장팩 「블랙볼트」,,,CRD_D3A5DFC3A6B34F32B872,제크로무 ex,0.978,0.972,0.005,True,True
BS2025007049,몰드류 ex,RR,049,스칼렛&바이올렛 확장팩 「블랙볼트」,,,CRD_54D2FB20FB064C93818F,몰드류 ex,0.875,0,0.875,True,True
BS2025007149,코바르온,AR,149,스칼렛&바이올렛 확장팩 「블랙볼트」,sv11b_ja-149,sv11b_ja,CRD_17EF823FA3CB4B2B8EE4,코바르온,0.764,0,0.764,True,False
BS2025008017,레시라무 ex,RR,017,스칼렛&바이올렛 확장팩 「화이트플레어」,,,CRD_85C6AB0CD75440EFA091,레시라무 ex,0.991,0.978,0.013,True,True
BS2025008159,엘풍 ex,SR,159,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-159,sv11w_ja,CRD_90698EA0987C4C82913F,엘풍 V,0.791,0.755,0.036,False,True
BS2025015057,모야모의 찌리배리 ex,RR,057,MEGA 하이클래스팩 「MEGA 드림 ex」,,,CRD_80F1FC05F4D8499DA9DA,모야모의 찌리배리 ex,0.988,0.972,0.016,True,True
BS2025015060,릴리에의 삐삐 ex,RR,060,MEGA 하이클래스팩 「MEGA 드림 ex」,,,CRD_B1266853754742B9AC64,릴리에의 삐삐 ex,0.992,0.973,0.019,True,True
BS2025015090,난천의 한카리아스 ex,RR,090,MEGA 하이클래스팩 「MEGA 드림 ex」,,,CRD_8C028EC35A4A49469342,난천의 한카리아스 ex,0.96,0.959,0.001,True,True
BS2025015101,로켓단의 크로뱃 ex,RR,101,MEGA 하이클래스팩 「MEGA 드림 ex」,,,CRD_115109E7938F4445A01C,로켓단의 크로뱃 ex,0.992,0.977,0.015,True,True
BS2025015114,기로치 ex,RR,114,MEGA 하이클래스팩 「MEGA 드림 ex」,,,CRD_15FD761C7E9D47358044,기로치 ex,0.995,0.949,0.045,True,True
BS2025015119,게노세크트 ex,RR,119,MEGA 하이클래스팩 「MEGA 드림 ex」,,,CRD_B071913DFA814921BA27,게노세크트 ex,0.897,0.827,0.07,True,True
BS2024005036,무쇠감투 ex,RR,036,스칼렛&바이올렛 확장팩 「사이버저지」,,,CRD_BE9FEC8AE3E9478EB79E,무쇠감투 ex,0.857,0,0.857,True,True
BS2024007009,그우린차 ex,RR,009,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,,,CRD_4825831A44A54D91A8C4,그우린차 ex,0.989,0.969,0.019,True,True
BS2024007013,마그카르고 ex,RR,013,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,,,CRD_B7345EED8A0E4A05B2C2,마그카르고 ex,0.908,0,0.908,True,True
BS2024007033,무쇠가시 ex,RR,033,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,,,CRD_2D4AA6D08A11483FA5DB,무쇠가시 ex,0.907,0.886,0.021,True,True
