code,ko_name,rarity,ko_no,ko_set,jp_ref,series
BS2026002061,나옹 ex,RR,061,MEGA 확장팩 「니힐제로」,m3_ja-61,m3_ja
BS2025006099,로켓단의 트래피더,AR,099,스칼렛&바이올렛 확장팩 「로켓단의 영광」,sv10_ja-99,sv10_ja
BS2025007103,활화르바,AR,103,스칼렛&바이올렛 확장팩 「블랙볼트」,sv11b_ja-103,sv11b_ja
BS2025007111,늑골라,AR,111,스칼렛&바이올렛 확장팩 「블랙볼트」,sv11b_ja-111,sv11b_ja
BS2025007150,터검니,AR,150,스칼렛&바이올렛 확장팩 「블랙볼트」,sv11b_ja-150,sv11b_ja
BS2025008005,엘풍 ex,RR,005,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-159,sv11w_ja
BS2025008042,탱탱겔 ex,RR,042,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-42,sv11w_ja
BS2025008155,바랜드,AR,155,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-155,sv11w_ja
BS2025008158,토네로스,AR,158,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-158,sv11w_ja
BS2025008162,탱탱겔 ex,SR,162,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-162,sv11w_ja
BS2025008167,엘풍 ex,SAR,167,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-159,sv11w_ja
BS2025008170,탱탱겔 ex,SAR,170,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja-170,sv11w_ja
BS2025009074,깨비참,AR,074,MEGA 확장팩 「메가브레이브」,m1l_ja-74,m1l_ja
BS2025014029,로토무 ex,RR,029,MEGA 확장팩 「인페르노X」,m2_ja-29,m2_ja
BS2025014096,로토무 ex,SR,096,MEGA 확장팩 「인페르노X」,m2_ja-96,m2_ja
BS2025014112,로토무 ex,SAR,112,MEGA 확장팩 「인페르노X」,m2_ja-112,m2_ja
BS2024001337,시비꼬 ex,SSR,337,스칼렛&바이올렛 하이클래스팩 「샤이니트레저 ex」,sv4a_ja-337,sv4a_ja
BS2024004053,날뛰는우레 ex,RR,053,스칼렛&바이올렛 확장팩 「와일드포스」,sv5k_ja-53,sv5k_ja
BS2024004082,치라미,AR,082,스칼렛&바이올렛 확장팩 「와일드포스」,sv5k_ja-82,sv5k_ja
BS2024004083,치라치노,AR,083,스칼렛&바이올렛 확장팩 「와일드포스」,sv5k_ja-83,sv5k_ja
BS2024004089,날뛰는우레 ex,SR,089,스칼렛&바이올렛 확장팩 「와일드포스」,sv5k_ja-89,sv5k_ja
BS2024004095,날뛰는우레 ex,SAR,095,스칼렛&바이올렛 확장팩 「와일드포스」,sv5k_ja-95,sv5k_ja
BS2024004100,날뛰는우레 ex,UR,100,스칼렛&바이올렛 확장팩 「와일드포스」,sv5k_ja-100,sv5k_ja
BS2024007076,대코파스,AR,076,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,sv5a_ja-76,sv5a_ja
BS2024008085,해피너스 ex,RR,085,스칼렛&바이올렛 확장팩 「변환의 가면」,sv6_ja-85,sv6_ja
BS2024008113,럭키,AR,113,스칼렛&바이올렛 확장팩 「변환의 가면」,sv6_ja-113,sv6_ja
BS2024011076,이븐곰,AR,076,스칼렛&바이올렛 강화 확장팩 「나이트원더러」,sv6a_ja-76,sv6a_ja
BS2024016040,알로라 나시 ex,RR,040,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,sv7a_ja-40,sv7a_ja
BS2024016081,알로라 나시 ex,SR,081,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,sv7a_ja-81,sv7a_ja
BS2024016089,알로라 나시 ex,SAR,089,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,sv7a_ja-89,sv7a_ja
BS2024016092,알로라 나시 ex,UR,092,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,sv7a_ja-92,sv7a_ja
BS2024017112,레어코일,AR,112,스칼렛&바이올렛 확장팩 「초전브레이커」,sv8_ja-112,sv8_ja
BS2024019022,부스터 ex,RR,022,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,sv8a_ja-22,sv8a_ja
BS2024019124,날뛰는우레 ex,RR,124,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,sv8a_ja-124,sv8a_ja
BS2024019222,날뛰는우레 ex,SAR,222,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,sv8a_ja-222,sv8a_ja
BS2023001013,리자몽 V,RR,013,소드&실드 하이클래스팩 「VSTAR 유니버스」,swsh12a_ja-13,swsh12a_ja
BS2023001020,바오키 V,RR,020,소드&실드 하이클래스팩 「VSTAR 유니버스」,swsh12a_ja-20,swsh12a_ja
BS2023001086,히스이 대검귀 V,RR,086,소드&실드 하이클래스팩 「VSTAR 유니버스」,swsh12a_ja-86,swsh12a_ja
BS2023001107,레쿠쟈 V,RR,107,소드&실드 하이클래스팩 「VSTAR 유니버스」,swshp_ja-3,swshp_ja
BS2023001130,하랑우탄 V,RR,130,소드&실드 하이클래스팩 「VSTAR 유니버스」,swsh12a_ja-130,swsh12a_ja
BS2023001229,히스이 대검귀 V,SAR,229,소드&실드 하이클래스팩 「VSTAR 유니버스」,swsh12a_ja-229,swsh12a_ja
BS2023007089,떨구새,AR,089,포켓몬 카드 게임 스칼렛&바이올렛 확장팩 「바이올렛 ex」,sv1v_ja-89,sv1v_ja
BS2023010075,나오하,AR,075,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,sv1a_ja-75,sv1a_ja
BS2023011089,시비꼬 ex,SR,089,스칼렛&바이올렛 확장팩 「스노해저드」,sv2p_ja-89,sv2p_ja
BS2023011094,시비꼬 ex,SAR,094,스칼렛&바이올렛 확장팩 「스노해저드」,sv2p_ja-94,sv2p_ja
BS2023012080,태깅구르,AR,080,스칼렛&바이올렛 확장팩 「클레이버스트」,sv2d_ja-80,sv2d_ja
BS2023015085,부르르룸 ex,RR,085,스칼렛&바이올렛 확장팩 「흑염의 지배자」,sv3_ja-85,sv3_ja
BS2023015127,부르르룸 ex,SR,127,스칼렛&바이올렛 확장팩 「흑염의 지배자」,sv3_ja-127,sv3_ja
BS2023015135,부르르룸 ex,SAR,135,스칼렛&바이올렛 확장팩 「흑염의 지배자」,sv3_ja-135,sv3_ja
BS2023020050,타부자고 ex,RR,050,스칼렛&바이올렛 강화 확장팩 「레이징서프」,sv3a_ja-50,sv3a_ja
BS2023020079,타부자고 ex,SR,079,스칼렛&바이올렛 강화 확장팩 「레이징서프」,sv3a_ja-79,sv3a_ja
BS2023020087,타부자고 ex,SAR,087,스칼렛&바이올렛 강화 확장팩 「레이징서프」,sv3a_ja-87,sv3a_ja
BS2023021072,비조도,AR,072,스칼렛&바이올렛 확장팩 「고대의 포효」,sv4k_ja-72,sv4k_ja
BS2023021075,더스트나,AR,075,스칼렛&바이올렛 확장팩 「고대의 포효」,sv4k_ja-75,sv4k_ja
BS2023022077,폴리곤Z,AR,077,스칼렛&바이올렛 확장팩 「미래의 일섬」,sv4m_ja-77,sv4m_ja
BS2022001084,가라르 썬더 V,RR,084,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-84,swsh8b_ja
BS2022001119,레쿠쟈 V,RR,119,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-119,swsh8b_ja
BS2022001120,레쿠쟈 VMAX,RRR,120,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-120,swsh8b_ja
BS2022001123,두랄루돈 VMAX,RRR,123,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-123,swsh8b_ja
BS2022001196,가디안,CHR,196,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-196,swsh8b_ja
BS2022001198,야느와르몽,CHR,198,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-198,swsh8b_ja
BS2022001201,마휘핑,CHR,201,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-201,swsh8b_ja
BS2022001237,가라르 썬더 V,CSR,237,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-237,swsh8b_ja
BS2022001251,자마젠타 V,CSR,251,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-251,swsh8b_ja
BS2022001253,두랄루돈 VMAX,CSR,253,소드&실드 하이클래스팩 「VMAX 클라이맥스」,swsh8b_ja-253,swsh8b_ja
BS2022002014,리자몽 V,RR,014,소드&실드 확장팩 「스타버스」,swsh9_ja-14,swsh9_ja
BS2022002050,엘풍 VSTAR,RRR,050,소드&실드 확장팩 「스타버스」,swsh9_ja-50,swsh9_ja
BS2022002064,돈크로우 V,RR,064,소드&실드 확장팩 「스타버스」,swsh9_ja-64,swsh9_ja
BS2022002116,해당의 백업,SR,116,소드&실드 확장팩 「스타버스」,swsh9_ja-116,swsh9_ja
BS2022002124,해당의 백업,HR,124,소드&실드 확장팩 「스타버스」,swsh9_ja-124,swsh9_ja
BS2022004085,히스이 대검귀 V,RR,052,소드&실드 강화 확장팩 「배틀리전」,swsh9a_ja-52,swsh9a_ja
BS2022004123,히스이 대검귀 V,SR,078,소드&실드 강화 확장팩 「배틀리전」,swsh9a_ja-78,swsh9a_ja
BS2022007025,지라치 V,RR,025,소드&실드 확장팩 「타임게이저」,swsh10d_ja-25,swsh10d_ja
BS2022008076,하랑우탄 V,SR,076,소드&실드 확장팩 「스페이스 저글러」,swsh10p_ja-76,swsh10p_ja
BS2022011129,러브로스 V,SR,080,소드&실드 강화 확장팩 「다크판타스마」,swsh10a_ja-80,swsh10a_ja
BS2022011137,러브로스 V,CSR,088,소드&실드 강화 확장팩 「다크판타스마」,swsh10a_ja-88,swsh10a_ja
BS2022014037,로토무 V,RR,037,소드&실드 확장팩 「로스트어비스」,swsh11_ja-37,swsh11_ja
BS2022014102,로토무 V,SR,103,소드&실드 확장팩 「로스트어비스」,swsh11_ja-103,swsh11_ja
BS2022014103,로토무 V,SR,104,소드&실드 확장팩 「로스트어비스」,swsh11_ja-104,swsh11_ja
BS2022016015,레시라무 V,RR,015,소드&실드 강화 확장팩 「백열의 아르카나」,swsh11a_ja-15,swsh11a_ja
BS2022016051,마기아나 V,RR,051,소드&실드 강화 확장팩 「백열의 아르카나」,swsh11a_ja-51,swsh11a_ja
BS2022016055,칠색조 V,RR,055,소드&실드 강화 확장팩 「백열의 아르카나」,swsh11a_ja-55,swsh11a_ja
BS2022016073,루브도,CHR,073,소드&실드 강화 확장팩 「백열의 아르카나」,swsh11a_ja-73,swsh11a_ja
BS2022016076,레시라무 V,SR,076,소드&실드 강화 확장팩 「백열의 아르카나」,swsh11a_ja-76,swsh11a_ja
