code,ko_name,rarity,ko_no,ko_set,jp_ref,series
BS2025001121,무서운 청년,SR,121,스칼렛&바이올렛 확장팩 「배틀파트너즈」,,
BS2024001154,시비꼬 ex,RR,154,스칼렛&바이올렛 하이클래스팩 「샤이니트레저 ex」,,
BS2024001354,페퍼,SAR,354,스칼렛&바이올렛 하이클래스팩 「샤이니트레저 ex」,,
BS2024019117,타부자고 ex,RR,117,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,,
BS2023001068,러브로스 V,RR,068,소드&실드 하이클래스팩 「VSTAR 유니버스」,,
BS2023007100,페퍼,SR,100,포켓몬 카드 게임 스칼렛&바이올렛 확장팩 「바이올렛 ex」,,
BS2023007105,페퍼,SAR,105,포켓몬 카드 게임 스칼렛&바이올렛 확장팩 「바이올렛 ex」,,
BS2023011065,시비꼬 ex,RR,065,스칼렛&바이올렛 확장팩 「스노해저드」,,
BS2022001118,자마젠타 V,RR,118,소드&실드 하이클래스팩 「VMAX 클라이맥스」,,
BS2022008058,하랑우탄 V,RR,058,소드&실드 확장팩 「스페이스 저글러」,,
BS2022011053,러브로스 V,RR,031,소드&실드 강화 확장팩 「다크판타스마」,,
BS2021012046,레쿠쟈 V,RR,046,소드 & 실드   확장팩   「창공스트림」,,
BS2021015019,자마젠타 V,RR,019,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,,
BS2021015020,피카츄 V,RR,020,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,,
BS2021015021,공중날기 피카츄 V,RR,021,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,,
BS2021015023,파도타기 피카츄 V,RR,023,소드&실드 확장팩 「25th ANNIVERSARY COLLECTION」,,
BS2020003044,자마젠타 V,RR,044,소드&실드 확장팩 「실드」,,
