card_ref,date,jp_raw_usd,jp_raw_krw,rarity,coeff,v6_ko,chart_price,source
m5_ja-4,2026-06-06,0.95,1441,RR,0.387712,559,561,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-07,0.94,1426,RR,0.387712,553,557,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-08,0.81,1229,RR,0.387712,476,479,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-09,0.75,1138,RR,0.387712,441,435,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-10,0.75,1138,RR,0.387712,441,438,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-11,0.69,1047,RR,0.387712,406,401,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-12,0.64,971,RR,0.387712,376,377,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-13,0.63,956,RR,0.387712,371,370,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-14,0.56,850,RR,0.387712,330,332,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-15,0.55,834,RR,0.387712,323,324,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-16,0.56,850,RR,0.387712,330,331,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-17,0.56,850,RR,0.387712,330,327,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-18,0.56,850,RR,0.387712,330,330,SCRYDEX_JP_HISTORY
m5_ja-4,2026-06-19,0.54,819,RR,0.387712,318,314,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-06,0.79,1198,RR,0.387712,464,464,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-07,0.77,1168,RR,0.387712,453,457,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-08,0.78,1183,RR,0.387712,459,456,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-09,0.77,1168,RR,0.387712,453,448,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-10,0.77,1168,RR,0.387712,453,451,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-11,0.83,1259,RR,0.387712,488,482,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-12,0.83,1259,RR,0.387712,488,486,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-13,0.83,1259,RR,0.387712,488,493,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-14,0.7,1062,RR,0.387712,412,408,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-15,0.74,1123,RR,0.387712,435,432,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-16,0.66,1001,RR,0.387712,388,391,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-17,0.68,1032,RR,0.387712,400,396,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-18,0.67,1016,RR,0.387712,394,389,SCRYDEX_JP_HISTORY
m5_ja-15,2026-06-19,0.65,986,RR,0.387712,382,379,SCRYDEX_JP_HISTORY
m5_ja-26,2026-06-06,0.95,1441,RR,0.387712,559,566,SCRYDEX_JP_HISTORY
m5_ja-26,2026-06-07,0.96,1456,RR,0.387712,565,565,SCRYDEX_JP_HISTORY
m5_ja-26,2026-06-08,0.94,1426,RR,0.387712,553,561,SCRYDEX_JP_HISTORY
m5_ja-26,2026-06-09,0.87,1320,RR,0.387712,512,519,SCRYDEX_JP_HISTORY
