number,rarity,super_type,ko_name,en_name,jp_ref,image
004/118,RR,POKEMON,라란티스 ex,Lurantis ex,m5_ja-4,m5_ja_images/m5_ja-4.png
015/118,RR,POKEMON,고래왕 ex,Wailord ex,m5_ja-15,m5_ja_images/m5_ja-15.png
026/118,RR,POKEMON,메가제라오라 ex,Mega Zeraora ex,m5_ja-26,m5_ja_images/m5_ja-26.png
036/118,RR,POKEMON,메가샹델라 ex,Mega Chandelure ex,m5_ja-36,m5_ja_images/m5_ja-36.png
043/118,RR,POKEMON,램펄드 ex,Rampardos ex,m5_ja-43,m5_ja_images/m5_ja-43.png
046/118,RR,POKEMON,메가다크라이 ex,Mega Darkrai ex,m5_ja-46,m5_ja_images/m5_ja-46.png
053/118,RR,POKEMON,모르페코 ex,Morpeko ex,m5_ja-53,m5_ja_images/m5_ja-53.png
063/118,RR,POKEMON,메가몰드류 ex,Mega Excadrill ex,m5_ja-63,m5_ja_images/m5_ja-63.png
082/118,AR,POKEMON,짜랑랑,Fomantis,m5_ja-82,m5_ja_images/m5_ja-82.png
083/118,AR,POKEMON,카디나르마,Armarouge,m5_ja-83,m5_ja_images/m5_ja-83.png
084/118,AR,POKEMON,콘치,Goldeen,m5_ja-84,m5_ja_images/m5_ja-84.png
085/118,AR,POKEMON,누리레느,Primarina,m5_ja-85,m5_ja_images/m5_ja-85.png
086/118,AR,POKEMON,썬더볼트,Manectric,m5_ja-86,m5_ja_images/m5_ja-86.png
087/118,AR,POKEMON,야도란,Slowbro,m5_ja-87,m5_ja_images/m5_ja-87.png
088/118,AR,POKEMON,타타륜,Dhelmise,m5_ja-88,m5_ja_images/m5_ja-88.png
089/118,AR,POKEMON,폭슬라이,Thievul,m5_ja-89,m5_ja_images/m5_ja-89.png
090/118,AR,POKEMON,자루도,Zarude,m5_ja-90,m5_ja_images/m5_ja-90.png
091/118,AR,POKEMON,바리톱스,Bastiodon,m5_ja-91,m5_ja_images/m5_ja-91.png
092/118,AR,POKEMON,왕큰부리,Toucannon,m5_ja-92,m5_ja_images/m5_ja-92.png
093/118,AR,POKEMON,실버디,Silvally,m5_ja-93,m5_ja_images/m5_ja-93.png
094/118,SR,POKEMON,라란티스 ex,Lurantis ex,m5_ja-94,m5_ja_images/m5_ja-94.png
095/118,SR,POKEMON,고래왕 ex,Wailord ex,m5_ja-95,m5_ja_images/m5_ja-95.png
096/118,SR,POKEMON,메가제라오라 ex,Mega Zeraora ex,m5_ja-96,m5_ja_images/m5_ja-96.png
097/118,SR,POKEMON,메가샹델라 ex,Mega Chandelure ex,m5_ja-97,m5_ja_images/m5_ja-97.png
098/118,SR,POKEMON,램펄드 ex,Rampardos ex,m5_ja-98,m5_ja_images/m5_ja-98.png
099/118,SR,POKEMON,메가다크라이 ex,Mega Darkrai ex,m5_ja-99,m5_ja_images/m5_ja-99.png
100/118,SR,POKEMON,모르페코 ex,Morpeko ex,m5_ja-100,m5_ja_images/m5_ja-100.png
101/118,SR,POKEMON,메가몰드류 ex,Mega Excadrill ex,m5_ja-101,m5_ja_images/m5_ja-101.png
108/118,SR,TRAINER,이슬의 기력,Misty's Energy,m5_ja-108,m5_ja_images/m5_ja-108.png
109/118,SR,TRAINER,글라디오의 결전,Gladion's Decisive Battle,m5_ja-109,m5_ja_images/m5_ja-109.png
110/118,SR,TRAINER,녹청파의 조무래기,Rust Syndicate Grunt,m5_ja-110,m5_ja_images/m5_ja-110.png
111/118,SR,TRAINER,무쿠,Gwynn,m5_ja-111,m5_ja_images/m5_ja-111.png
112/118,SAR,POKEMON,메가제라오라 ex,Mega Zeraora ex,m5_ja-112,m5_ja_images/m5_ja-112.png
113/118,SAR,POKEMON,메가샹델라 ex,Mega Chandelure ex,m5_ja-113,m5_ja_images/m5_ja-113.png
114/118,SAR,POKEMON,메가다크라이 ex,Mega Darkrai ex,m5_ja-114,m5_ja_images/m5_ja-114.png
115/118,SAR,POKEMON,모르페코 ex,Morpeko ex,m5_ja-115,m5_ja_images/m5_ja-115.png
116/118,SAR,TRAINER,글라디오의 결전,Gladion's Decisive Battle,m5_ja-116,m5_ja_images/m5_ja-116.png
117/118,SAR,TRAINER,무쿠,Gwynn,m5_ja-117,m5_ja_images/m5_ja-117.png
