jp_ref,number,rarity,en_name,ko_name_draft,conf,img
m5_ja-4,4,Double Rare,Lurantis ex,라란티스 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-4/medium
m5_ja-15,15,Double Rare,Wailord ex,고래왕 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-15/medium
m5_ja-26,26,Double Rare,Mega Zeraora ex,메가제라오라 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-26/medium
m5_ja-36,36,Double Rare,Mega Chandelure ex,메가샹델라 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-36/medium
m5_ja-43,43,Double Rare,Rampardos ex,램펄드 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-43/medium
m5_ja-46,46,Double Rare,Mega Darkrai ex,메가다크라이 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-46/medium
m5_ja-53,53,Double Rare,Morpeko ex,모르페코 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-53/medium
m5_ja-63,63,Double Rare,Mega Excadrill ex,메가몰드류 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-63/medium
m5_ja-82,82,Art Rare,Fomantis,짜랑랑,AUTO,https://images.scrydex.com/pokemon/m5_ja-82/medium
m5_ja-83,83,Art Rare,Armarouge,카디나르마,AUTO,https://images.scrydex.com/pokemon/m5_ja-83/medium
m5_ja-84,84,Art Rare,Goldeen,콘치,AUTO,https://images.scrydex.com/pokemon/m5_ja-84/medium
m5_ja-85,85,Art Rare,Primarina,누리레느,AUTO,https://images.scrydex.com/pokemon/m5_ja-85/medium
m5_ja-86,86,Art Rare,Manectric,썬더볼트,AUTO,https://images.scrydex.com/pokemon/m5_ja-86/medium
m5_ja-87,87,Art Rare,Slowbro,야도란,AUTO,https://images.scrydex.com/pokemon/m5_ja-87/medium
m5_ja-88,88,Art Rare,Dhelmise,타타륜,AUTO,https://images.scrydex.com/pokemon/m5_ja-88/medium
m5_ja-89,89,Art Rare,Thievul,폭슬라이,AUTO,https://images.scrydex.com/pokemon/m5_ja-89/medium
m5_ja-90,90,Art Rare,Zarude,자루도,AUTO,https://images.scrydex.com/pokemon/m5_ja-90/medium
m5_ja-91,91,Art Rare,Bastiodon,바리톱스,AUTO,https://images.scrydex.com/pokemon/m5_ja-91/medium
m5_ja-92,92,Art Rare,Toucannon,왕큰부리,AUTO,https://images.scrydex.com/pokemon/m5_ja-92/medium
m5_ja-93,93,Art Rare,Silvally,실버디,AUTO,https://images.scrydex.com/pokemon/m5_ja-93/medium
m5_ja-94,94,Super Rare,Lurantis ex,라란티스 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-94/medium
m5_ja-95,95,Super Rare,Wailord ex,고래왕 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-95/medium
m5_ja-96,96,Super Rare,Mega Zeraora ex,메가제라오라 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-96/medium
m5_ja-97,97,Super Rare,Mega Chandelure ex,메가샹델라 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-97/medium
m5_ja-98,98,Super Rare,Rampardos ex,램펄드 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-98/medium
m5_ja-99,99,Super Rare,Mega Darkrai ex,메가다크라이 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-99/medium
m5_ja-100,100,Super Rare,Morpeko ex,모르페코 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-100/medium
m5_ja-101,101,Super Rare,Mega Excadrill ex,메가몰드류 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-101/medium
m5_ja-102,102,Super Rare,Iron Defender,[수동]Iron Defender,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-102/medium
m5_ja-103,103,Super Rare,Energy Switch,[수동]Energy Switch,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-103/medium
m5_ja-104,104,Super Rare,Crushing Hammer,[수동]Crushing Hammer,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-104/medium
m5_ja-105,105,Super Rare,Dark Bell,[수동]Dark Bell,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-105/medium
m5_ja-106,106,Super Rare,Heroic Bomb,[수동]Heroic Bomb,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-106/medium
m5_ja-107,107,Super Rare,Brave Bangle,[수동]Brave Bangle,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-107/medium
m5_ja-108,108,Super Rare,Misty's Energy,[수동]Misty's Energy,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-108/medium
m5_ja-109,109,Super Rare,Gladion's Decisive Battle,[수동]Gladion's Decisive Battle,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-109/medium
m5_ja-110,110,Super Rare,Rust Syndicate Grunt,[수동]Rust Syndicate Grunt,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-110/medium
m5_ja-111,111,Super Rare,Gwynn,[수동]Gwynn,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-111/medium
m5_ja-112,112,Special Art Rare,Mega Zeraora ex,메가제라오라 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-112/medium
m5_ja-113,113,Special Art Rare,Mega Chandelure ex,메가샹델라 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-113/medium
m5_ja-114,114,Special Art Rare,Mega Darkrai ex,메가다크라이 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-114/medium
m5_ja-115,115,Special Art Rare,Morpeko ex,모르페코 ex,AUTO,https://images.scrydex.com/pokemon/m5_ja-115/medium
m5_ja-116,116,Special Art Rare,Gladion's Decisive Battle,[수동]Gladion's Decisive Battle,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-116/medium
m5_ja-117,117,Special Art Rare,Gwynn,[수동]Gwynn,NEEDS_MANUAL,https://images.scrydex.com/pokemon/m5_ja-117/medium
