no,rarity,ko,en,jpRef,raw_usd,jp_krw,ratio,v6_ko,psa10,psa9,status
004/081,RR,라란티스 ex,Lurantis ex,m5_ja-4,0.56,850,0.387712,330,,,OK
015/081,RR,고래왕 ex,Wailord ex,m5_ja-15,0.72,1092,0.387712,420,,,OK
026/081,RR,메가제라오라 ex,Mega Zeraora ex,m5_ja-26,0.905,1373,0.387712,530,,,OK
036/081,RR,메가샹델라 ex,Mega Chandelure ex,m5_ja-36,0.77,1168,0.387712,450,,,OK
043/081,RR,램펄드 ex,Rampardos ex,m5_ja-43,0.7,1062,0.387712,410,,,OK
046/081,RR,메가다크라이 ex,Mega Darkrai ex,m5_ja-46,1.505,2283,0.387712,890,,,OK
053/081,RR,모르페코 ex,Morpeko ex,m5_ja-53,0.74,1123,0.387712,440,,,OK
063/081,RR,메가몰드류 ex,Mega Excadrill ex,m5_ja-63,0.5549999999999999,842,0.387712,330,,,OK
082/081,AR,짜랑랑,Fomantis,m5_ja-82,6.539999999999999,9921,0.27933,2770,,,OK
083/081,AR,카디나르마,Armarouge,m5_ja-83,5.24,7949,0.27933,2220,,,OK
084/081,AR,콘치,Goldeen,m5_ja-84,14.21,21557,0.27933,6020,,,OK
085/081,AR,누리레느,Primarina,m5_ja-85,6.805,10323,0.27933,2880,,,OK
086/081,AR,썬더볼트,Manectric,m5_ja-86,3.16,4794,0.27933,1340,,,OK
087/081,AR,야도란,Slowbro,m5_ja-87,19.595,29726,0.27933,8300,,,OK
088/081,AR,타타륜,Dhelmise,m5_ja-88,4.205,6379,0.27933,1780,,,OK
089/081,AR,폭슬라이,Thievul,m5_ja-89,3.705,5620,0.27933,1570,,,OK
090/081,AR,자루도,Zarude,m5_ja-90,2.915,4422,0.27933,1240,,,OK
091/081,AR,바리톱스,Bastiodon,m5_ja-91,3.475,5272,0.27933,1470,,,OK
092/081,AR,왕큰부리,Toucannon,m5_ja-92,3.45,5234,0.27933,1460,,,OK
093/081,AR,실버디,Silvally,m5_ja-93,4.125,6258,0.27933,1750,,,OK
094/081,SR,라란티스 ex,Lurantis ex,m5_ja-94,4.645,7046,0.442282,3120,,,OK
095/081,SR,고래왕 ex,Wailord ex,m5_ja-95,7.765000000000001,11780,0.442282,5210,,,OK
096/081,SR,메가제라오라 ex,Mega Zeraora ex,m5_ja-96,7.970000000000001,12090,0.442282,5350,,,OK
097/081,SR,메가샹델라 ex,Mega Chandelure ex,m5_ja-97,15.895,24113,0.442282,10660,,,OK
098/081,SR,램펄드 ex,Rampardos ex,m5_ja-98,8.33,12637,0.442282,5590,,,OK
099/081,SR,메가다크라이 ex,Mega Darkrai ex,m5_ja-99,16.91,25652,0.442282,11350,,,OK
100/081,SR,모르페코 ex,Morpeko ex,m5_ja-100,12.795,19410,0.442282,8580,,,OK
101/081,SR,메가몰드류 ex,Mega Excadrill ex,m5_ja-101,12.18,18477,0.442282,8170,,,OK
108/081,SR,이슬의 기력,Misty's Energy,m5_ja-108,56.620000000000005,85893,0.442282,37990,,,OK
109/081,SR,글라디오의 결전,Gladion's Decisive Battle,m5_ja-109,8.870000000000001,13456,0.442282,5950,,,OK
110/081,SR,녹청파의 조무래기,Rust Syndicate Grunt,m5_ja-110,5.8,8799,0.442282,3890,,,OK
111/081,SR,무쿠,Gwynn,m5_ja-111,29.04,44054,0.442282,19480,,,OK
112/081,SAR,메가제라오라 ex,Mega Zeraora ex,m5_ja-112,68.4,103763,0.299559,31080,,,OK
113/081,SAR,메가샹델라 ex,Mega Chandelure ex,m5_ja-113,49.78,75516,0.299559,22620,,,OK
114/081,SAR,메가다크라이 ex,Mega Darkrai ex,m5_ja-114,503.905,764424,0.299559,228990,,,OK
115/081,SAR,모르페코 ex,Morpeko ex,m5_ja-115,73.69,111788,0.299559,33490,,,OK
116/081,SAR,글라디오의 결전,Gladion's Decisive Battle,m5_ja-116,40.22,61014,0.299559,18280,,,OK
117/081,SAR,무쿠,Gwynn,m5_ja-117,121.395,184156,0.299559,55170,,,OK
