jp_ref,number,rarity,en_name,ko_name,img
m5_ja-102,102,Super Rare,Iron Defender,,https://images.scrydex.com/pokemon/m5_ja-102/medium
m5_ja-103,103,Super Rare,Energy Switch,,https://images.scrydex.com/pokemon/m5_ja-103/medium
m5_ja-104,104,Super Rare,Crushing Hammer,,https://images.scrydex.com/pokemon/m5_ja-104/medium
m5_ja-105,105,Super Rare,Dark Bell,,https://images.scrydex.com/pokemon/m5_ja-105/medium
m5_ja-106,106,Super Rare,Heroic Bomb,,https://images.scrydex.com/pokemon/m5_ja-106/medium
m5_ja-107,107,Super Rare,Brave Bangle,,https://images.scrydex.com/pokemon/m5_ja-107/medium
m5_ja-108,108,Super Rare,Misty's Energy,,https://images.scrydex.com/pokemon/m5_ja-108/medium
m5_ja-109,109,Super Rare,Gladion's Decisive Battle,,https://images.scrydex.com/pokemon/m5_ja-109/medium
m5_ja-110,110,Super Rare,Rust Syndicate Grunt,,https://images.scrydex.com/pokemon/m5_ja-110/medium
m5_ja-111,111,Super Rare,Gwynn,,https://images.scrydex.com/pokemon/m5_ja-111/medium
m5_ja-116,116,Special Art Rare,Gladion's Decisive Battle,,https://images.scrydex.com/pokemon/m5_ja-116/medium
m5_ja-117,117,Special Art Rare,Gwynn,,https://images.scrydex.com/pokemon/m5_ja-117/medium
