card_id,name,official_card_code,product_id,collection_number,rarity_code,language,super_type,jp_scrydex_ref,en_scrydex_ref
CRD_1A87BECFAC1647F98FBC,두랄루돈 VMAX,,PRD_BCB8045CC957488BB992,083/067,HR,KO,POKEMON,swsh7d_ja-83,swsh7-220
CRD_027EB7AC44174C879264,테사,BS2023015132,PRD_C017B01380CF490A9480,132/108,SR,KO,TRAINER,sv3_ja-129,sv3-218
CRD_53A0FD8027524CC4A991,알로라나시 GX,BS2017012037,PRD_B9ABCB229FAD45509D71,037/050,RR,KO,POKEMON,sm4a_ja-37,sm4-74
CRD_8C4E0B58B9AB4FD8A901,메가루차불 ex,BS2025015239,PRD_90A8D5BDA5664CEF9F48,239/193,SAR,KO,POKEMON,m2a_ja-239,me2pt5-283
CRD_5571E9D37C0F44EB9D0C,N의 조로아크 ex,BS2025001127,PRD_EC14FE47676E4D529FD0,127/100,SAR,KO,POKEMON,sv9_ja-127,sv9-185
CRD_D143E5991165404EBBDB,리자몽 V,BS2023001211,PRD_B4F8E0D2E2414F1DBC9B,211/172,SAR,KO,POKEMON,swsh12a_ja-211,swshp-SWSH260
CRD_DF3A72B78E8141B1A0D2BED89B3B20EE,메가개굴닌자 EX,"",PRD_156BB71C4F5A41C39521,120/083,MUR,KO,POKEMON,m4_ja-120,NO_EN
CRD_149DFDDE8D3144968EE9,암나이트,BS2023014180,PRD_DAB43E31433041FC942F,180/165,AR,KO,POKEMON,sv2a_ja-180,sv3pt5-180
CRD_6E0CFA01EAA84472A5AAA69BE95C2DA8,뮤 VMAX,"",PRD_3BEB5A9863D54FE7BE25,119/100,HR,KO,POKEMON,swsh8_ja-119,swsh8-269
CRD_3430850B62B446C68A45A9CFE3741141,메가지가르데 EX,"",PRD_B269D7FE35F74921BDB2,117/080,MUR,KO,POKEMON,m3_ja-117,NO_EN
CRD_CF565FADAC9C45388046,뮤 ex,BS2024001076,PRD_219AD0EF77CA4165AD0F,076/190,RR,KO,POKEMON,sv4a_ja-76,sv3pt5-151
CRD_0C126096DBBD4B00BFB9,망키,BS2024001276,PRD_219AD0EF77CA4165AD0F,276/190,S,KO,POKEMON,sv4a_ja-276,sv4pt5-169
CRD_678293733C984C86A7F2,순무,BS2022001268,PRD_767E549F894445C98D52,268/184,SR,KO,TRAINER,swsh8b_ja-257,swsh11tg-TG26
CRD_74FA58390E8E48D397F0,조로아크 GX,BS2017010076,PRD_F59042429A0444D3B06F,076/072,SR,KO,POKEMON,sm3p_ja-76,smp-SM84
