product_id,name,series_name,language
PRD_44B4810231B94D71A4AB,포켓몬스쿨 프로모,"",KO
PRD_F05E8EE267E44AC39CCF,2026 코리안리그 시즌1 프로모,"",KO
PRD_35F035F560994BF091F4,MEGA 프로모 카드 팩 제2탄,"",KO
PRD_8EF4236C3F3E447CAFB0,2026 코리안리그 시즌2 프로모,"",KO
PRD_B6726A34BBDB4752A2DF,비크티니 BWR 쟁탈전 우승,"",KO
PRD_98A2CDF05EE941619069,MEGA 프로모 카드 팩 제1탄,"",KO
PRD_2EBDE7E471A247549CCD,스칼렛&바이올렛 「블랙볼트 ・ 화이트플레어 카드 앨범 세트」,"",KO
PRD_631BCE4B0B29458D9CE8,포켓몬 원더 아일랜드 in JEJU 스탬프랠리,"",KO
PRD_EF0FA2B20B98474E88F3,<포켓몬스터: 메가볼티지> 프로모 카드 팩,"",KO
PRD_80BF9B42F7984F2CB85A,MEGA 프리미엄 트레이너 박스 MEGA,"",KO
PRD_BFE8A36EB7F64CE8BD24,스타터 세트 MEGA 「메가디안시 ex」,"",KO
PRD_C6E79506AD314C84A3A7,스타터 세트 MEGA 「메가팬텀 ex」,"",KO
PRD_2DC418A26F7843899A40,스칼렛&바이올렛 프로모 카드 팩 제9탄,"",KO
PRD_816EF4FD67D14358B859,배틀파트너즈 프로모 카드 팩,"",KO
PRD_5D5D68D071454B73845C,스칼렛&바이올렛「컬렉션 파일 세트 N」,"",KO
PRD_620D62242306461FBA45,스칼렛&바이올렛「컬렉션 파일 세트 릴리에」,"",KO
PRD_D7476D50BBB64A75B2AD,스칼렛&바이올렛 「Pikachu Present Box」,"",KO
PRD_1ACA702B37DC48A39A36,스칼렛&바이올렛 스페셜 점보 카드 세트 「리자몽 ex」,"",KO
PRD_853FD226FF0544D489FE,2025 코리안리그 시즌4 프로모,"",KO
PRD_E982F78248B5470ABA76,열풍의 아레나 구입 특전 프로모 카드 팩,"",KO
PRD_9C0D0E42FF5049D98EC7,열풍의 아레나 실드전 입상 프로모,"",KO
PRD_FFD60CA33B2947AD8B09,스칼렛&바이올렛 프로모 카드 팩 제10탄,"",KO
PRD_EF8B2F4DE4044C9C9DBB,Pokémon Town 2025 프로모,"",KO
PRD_7AD7287876974BD9BCB6,2025 코리안리그 파이널 프로모,"",KO
PRD_401A6FEEE2CD41B7BA19,스칼렛&바이올렛 스타터 세트 ex 「성호의 메탕&메타그로스 ex」,"",KO
PRD_93925D420D8A4C74B0D6,스칼렛&바이올렛 스타터 세트 ex 「마리의 모르페코&오롱털 ex」,"",KO
PRD_52D1E62157A94F0EBF0F,스칼렛&바이올렛 배틀 강화 BOX 「배틀파트너즈」,"",KO
PRD_4185B5EA5435425F93A2,테라스탈 페스타 ex 프로모 카드 팩,"",KO
PRD_C02C81D8F7014E14B253,2025 코리안리그 시즌2 프로모,"",KO
PRD_B292EBC5F71449A3B0AF,스칼렛&바이올렛 컬렉션 세트 「테라스탈 페스타 ex」,"",KO
PRD_D130DAEC476F4455978F,스칼렛&바이올렛 플레이매트 세트 「테라스탈 페스타 ex」,"",KO
PRD_29633246BA6E4A58B17B,2025 코리안리그 시즌3 프로모,"",KO
PRD_82C55E636C6B40B3AFB4,스칼렛&바이올렛 「ex 스페셜 세트 ver.2」,"",KO
PRD_9CCAFABDF268493D9297,포켓몬 카드샵 스탬프 랠리 이벤트,"",KO
PRD_F8A0FE5426B9484E9796,2025 코리안리그 시즌1 프로모,"",KO
PRD_6BA4DED65A104152A72E,포켓몬 카드 게임 온라인 공식 인증샵 구입 특전,"",KO
PRD_C83D02BA79F24D728573,스칼렛&바이올렛 프로모 카드 팩 제7탄,"",KO
PRD_31C47A84C39148D986FA,스칼렛&바이올렛 스타터 세트 테라스탈타입:스텔라 「님피아 ex」,"",KO
PRD_5079773F7B964C91A2D2,스칼렛&바이올렛 스타터 세트 테라스탈타입:스텔라 「파라블레이즈 ex」,"",KO
PRD_D12600476F504A90856D,스칼렛&바이올렛 배틀 강화 BOX 「스텔라미라클」,"",KO
PRD_7C75638373E140B09434,포켓몬스터 애니메이션 국내 방영 25주년 기념 프로모,"",KO
PRD_48F67037C46A4924A0B8,스칼렛&바이올렛 배틀 마스터 덱 「테라스탈 리자몽 ex」,"",KO
PRD_FCB4822DD93C4986A4BA,스칼렛&바이올렛 배틀 마스터 덱 「파오젠 ex」,"",KO
PRD_8EE4066BE38F4B65A39F,"「포켓몬스터: 성도지방 이야기, 최종장」 극장 선물","",KO
PRD_FF186F4048724FB2926A,2024 코리안리그 파이널 프로모,"",KO
PRD_45A2DB0E05C14BACBA55,스칼렛&바이올렛 스페셜 점보 카드 세트 「오거폰」,"",KO
PRD_1EF3E4570A044974BD9A,스칼렛&바이올렛 프로모 카드 팩 제6탄,"",KO
PRD_694F08863B1C4DEFBA85,확장팩 「변환의 가면」 프로모션 박스,"",KO
PRD_5FF8886A6E294DEAB643,스칼렛&바이올렛 「배틀 아카데미」,"",KO
PRD_4B8BD0B1E4AD47D88FC8,스칼렛&바이올렛 프로모 카드 팩 제5탄,"",KO
PRD_A83D0DAD2A5D419BBEC7,2024 코리안리그 시즌3 프로모,"",KO
PRD_1B2D9D23F16B45D5B234,2024 코리안리그 시즌2 프로모,"",KO
PRD_E7CCD65E97544689933B,스칼렛&바이올렛 스타터 덱&강화 세트 「미래의 미라이돈 ex」,스칼렛&바이올렛,KO
