jp_ref,ko_name,expected_card_id,predicted_card_id,score,pass
sv10_ja-99,로켓단의 트래피더,CRD_3D2652A213CB1E4217EF,CRD_3D2652A213CB1E4217EF,0.994,PASS
sv11b_ja-103,활화르바,CRD_A0F5DC7A82F213F8B17D,CRD_A0F5DC7A82F213F8B17D,0.997,PASS
sv11b_ja-111,늑골라,CRD_06BED8DCDED386D09CC6,CRD_06BED8DCDED386D09CC6,0.91,PASS
sv11b_ja-150,터검니,CRD_5DA33B32A229766D5250,CRD_5DA33B32A229766D5250,0.995,PASS
sv11w_ja-155,바랜드,CRD_C57281C7453720B73003,CRD_C57281C7453720B73003,1.0,PASS
sv11w_ja-162,탱탱겔 ex,CRD_6A84D927543336D14029,CRD_6A84D927543336D14029,0.999,PASS
sv11w_ja-170,탱탱겔 ex,CRD_A52ADAD23735C0E3C95C,CRD_E92B2532AE914FB09891,0.575,FAIL
m1l_ja-74,깨비참,CRD_E40D332726F7EBC2B3EE,CRD_E40D332726F7EBC2B3EE,0.994,PASS
m2_ja-96,로토무 ex,CRD_4875AEF7FE12F4A51EE9,CRD_4875AEF7FE12F4A51EE9,0.999,PASS
m2_ja-112,로토무 ex,CRD_A1B443C34FF56366CC4F,CRD_A1B443C34FF56366CC4F,0.993,PASS
sv4a_ja-337,시비꼬 ex,CRD_38F85DABEF2F6DCF83A5,CRD_38F85DABEF2F6DCF83A5,0.999,PASS
sv5k_ja-82,치라미,CRD_8F7ADD803D0EF37D818A,CRD_8F7ADD803D0EF37D818A,0.996,PASS
sv5k_ja-83,치라치노,CRD_5D24108CE9A30C619201,CRD_5D24108CE9A30C619201,0.999,PASS
sv5k_ja-89,날뛰는우레 ex,CRD_02A04C78DFA5C2D39430,CRD_02A04C78DFA5C2D39430,0.999,PASS
sv5k_ja-95,날뛰는우레 ex,CRD_114D84429B6042BA1484,CRD_114D84429B6042BA1484,0.884,PASS
sv5a_ja-76,대코파스,CRD_943E565364AF4EFD1086,CRD_943E565364AF4EFD1086,0.992,PASS
sv6_ja-113,럭키,CRD_C0B2871F43DE5625581F,CRD_C0B2871F43DE5625581F,0.606,PASS
sv6a_ja-76,이븐곰,CRD_ACAF140D77EEE16424E1,CRD_ACAF140D77EEE16424E1,0.999,PASS
sv7a_ja-81,알로라 나시 ex,CRD_D773344F12828473CD06,CRD_D773344F12828473CD06,0.999,PASS
sv7a_ja-89,알로라 나시 ex,CRD_26A53A13CEEDA2B3A1B4,CRD_26A53A13CEEDA2B3A1B4,0.988,PASS
sv7a_ja-92,알로라 나시 ex,CRD_943445778F098066A8F4,CRD_943445778F098066A8F4,0.999,PASS
sv8a_ja-222,날뛰는우레 ex,CRD_89D60E67C38EA29F1DC2,CRD_89D60E67C38EA29F1DC2,0.994,PASS
sv1v_ja-89,떨구새,CRD_1AF396E7442011F20F00,CRD_1AF396E7442011F20F00,0.999,PASS
sv1a_ja-75,나오하,CRD_C1D57B8B7B35C7ECE1FC,CRD_C1D57B8B7B35C7ECE1FC,0.91,PASS
sv2p_ja-89,시비꼬 ex,CRD_25251C19A57081F5E42B,CRD_25251C19A57081F5E42B,0.999,PASS
sv2d_ja-80,태깅구르,CRD_7316D576A7F66A4CB338,CRD_7316D576A7F66A4CB338,0.928,PASS
sv3_ja-127,부르르룸 ex,CRD_70BA4386D40400E2AC36,CRD_70BA4386D40400E2AC36,0.999,PASS
sv3_ja-135,부르르룸 ex,CRD_CC360F6BBA05BFB38128,CRD_CC360F6BBA05BFB38128,0.996,PASS
sv3a_ja-79,타부자고 ex,CRD_331E1FDCBECBFA41AEA9,CRD_331E1FDCBECBFA41AEA9,0.999,PASS
sv4k_ja-72,비조도,CRD_AF4C346FDD977213161F,CRD_AF4C346FDD977213161F,0.999,PASS
sv4k_ja-75,더스트나,CRD_3520EA33302182486E9D,CRD_3520EA33302182486E9D,0.997,PASS
sv4m_ja-77,폴리곤Z,CRD_878B1A3CBFFA573EE2CE,CRD_878B1A3CBFFA573EE2CE,0.998,PASS
swsh9_ja-50,엘풍 VSTAR,CRD_DF8B9319DDD84975E5C1,CRD_DF8B9319DDD84975E5C1,0.956,PASS
swsh9a_ja-78,히스이 대검귀 V,CRD_18E0A0EBCAEFC42D7567,CRD_18E0A0EBCAEFC42D7567,0.941,PASS
swsh10p_ja-76,하랑우탄 V,CRD_67A190424D479A4DA947,CRD_67A190424D479A4DA947,0.9,PASS
swsh11_ja-103,로토무 V,CRD_D17A00BDB2C9E0FCE3F8,CRD_D17A00BDB2C9E0FCE3F8,0.999,PASS
swsh11_ja-104,로토무 V,CRD_C292A16ECBF9501D972E,CRD_C292A16ECBF9501D972E,0.926,PASS
swsh11a_ja-79,마기아나 V,CRD_9F8FFB7BF27D8094E176,CRD_9F8FFB7BF27D8094E176,0.998,PASS
swsh11a_ja-80,칠색조 V,CRD_2BBC9C171E2800926C30,CRD_2BBC9C171E2800926C30,0.998,PASS
swsh5r_ja-75,네크로즈마 V,CRD_2FA7E35871623C66AA96,CRD_2FA7E35871623C66AA96,0.964,PASS
swsh6h_ja-77,레파르다스 V,CRD_7064C189CC039FA97194,CRD_7064C189CC039FA97194,0.998,PASS
swsh7d_ja-31,더스트나 VMAX,CRD_E39F9C41D529A434B5EC,CRD_E39F9C41D529A434B5EC,0.925,PASS
swsh8_ja-15,샹델라 VMAX,CRD_F739AC5CF7A0E66239D2,CRD_F739AC5CF7A0E66239D2,0.999,PASS
swsh1h_ja-65,자마젠타 V,CRD_9824FD6C4B38CAA57F42,CRD_9824FD6C4B38CAA57F42,0.998,PASS
swsh3a_ja-77,자루도 V,CRD_93787D42298C1FBC17F6,CRD_93787D42298C1FBC17F6,0.996,PASS
swsh4_ja-107,드래피온 V,CRD_B4CBD2C89D74201BEAE7,CRD_B4CBD2C89D74201BEAE7,0.996,PASS
