card_id,ko_name,jp_ref,vector_count,expected,pass
CRD_3D2652A213CB1E4217EF,로켓단의 트래피더,sv10_ja-99,15,15,PASS
CRD_A0F5DC7A82F213F8B17D,활화르바,sv11b_ja-103,15,15,PASS
CRD_06BED8DCDED386D09CC6,늑골라,sv11b_ja-111,15,15,PASS
CRD_5DA33B32A229766D5250,터검니,sv11b_ja-150,15,15,PASS
CRD_C57281C7453720B73003,바랜드,sv11w_ja-155,15,15,PASS
CRD_6A84D927543336D14029,탱탱겔 ex,sv11w_ja-162,15,15,PASS
CRD_A52ADAD23735C0E3C95C,탱탱겔 ex,sv11w_ja-170,15,15,PASS
CRD_E40D332726F7EBC2B3EE,깨비참,m1l_ja-74,15,15,PASS
CRD_4875AEF7FE12F4A51EE9,로토무 ex,m2_ja-96,15,15,PASS
CRD_A1B443C34FF56366CC4F,로토무 ex,m2_ja-112,15,15,PASS
CRD_38F85DABEF2F6DCF83A5,시비꼬 ex,sv4a_ja-337,15,15,PASS
CRD_8F7ADD803D0EF37D818A,치라미,sv5k_ja-82,15,15,PASS
CRD_5D24108CE9A30C619201,치라치노,sv5k_ja-83,15,15,PASS
CRD_02A04C78DFA5C2D39430,날뛰는우레 ex,sv5k_ja-89,15,15,PASS
CRD_114D84429B6042BA1484,날뛰는우레 ex,sv5k_ja-95,15,15,PASS
CRD_943E565364AF4EFD1086,대코파스,sv5a_ja-76,15,15,PASS
CRD_C0B2871F43DE5625581F,럭키,sv6_ja-113,15,15,PASS
CRD_ACAF140D77EEE16424E1,이븐곰,sv6a_ja-76,15,15,PASS
CRD_D773344F12828473CD06,알로라 나시 ex,sv7a_ja-81,15,15,PASS
CRD_26A53A13CEEDA2B3A1B4,알로라 나시 ex,sv7a_ja-89,15,15,PASS
CRD_943445778F098066A8F4,알로라 나시 ex,sv7a_ja-92,15,15,PASS
CRD_89D60E67C38EA29F1DC2,날뛰는우레 ex,sv8a_ja-222,15,15,PASS
CRD_1AF396E7442011F20F00,떨구새,sv1v_ja-89,15,15,PASS
CRD_C1D57B8B7B35C7ECE1FC,나오하,sv1a_ja-75,15,15,PASS
CRD_25251C19A57081F5E42B,시비꼬 ex,sv2p_ja-89,15,15,PASS
CRD_7316D576A7F66A4CB338,태깅구르,sv2d_ja-80,15,15,PASS
CRD_70BA4386D40400E2AC36,부르르룸 ex,sv3_ja-127,15,15,PASS
CRD_CC360F6BBA05BFB38128,부르르룸 ex,sv3_ja-135,15,15,PASS
CRD_331E1FDCBECBFA41AEA9,타부자고 ex,sv3a_ja-79,15,15,PASS
CRD_AF4C346FDD977213161F,비조도,sv4k_ja-72,15,15,PASS
CRD_3520EA33302182486E9D,더스트나,sv4k_ja-75,15,15,PASS
CRD_878B1A3CBFFA573EE2CE,폴리곤Z,sv4m_ja-77,15,15,PASS
CRD_DF8B9319DDD84975E5C1,엘풍 VSTAR,swsh9_ja-50,15,15,PASS
CRD_18E0A0EBCAEFC42D7567,히스이 대검귀 V,swsh9a_ja-78,15,15,PASS
CRD_67A190424D479A4DA947,하랑우탄 V,swsh10p_ja-76,15,15,PASS
CRD_D17A00BDB2C9E0FCE3F8,로토무 V,swsh11_ja-103,15,15,PASS
CRD_C292A16ECBF9501D972E,로토무 V,swsh11_ja-104,15,15,PASS
CRD_9F8FFB7BF27D8094E176,마기아나 V,swsh11a_ja-79,15,15,PASS
CRD_2BBC9C171E2800926C30,칠색조 V,swsh11a_ja-80,15,15,PASS
CRD_2FA7E35871623C66AA96,네크로즈마 V,swsh5r_ja-75,15,15,PASS
CRD_7064C189CC039FA97194,레파르다스 V,swsh6h_ja-77,15,15,PASS
CRD_E39F9C41D529A434B5EC,더스트나 VMAX,swsh7d_ja-31,15,15,PASS
CRD_F739AC5CF7A0E66239D2,샹델라 VMAX,swsh8_ja-15,15,15,PASS
CRD_9824FD6C4B38CAA57F42,자마젠타 V,swsh1h_ja-65,15,15,PASS
CRD_93787D42298C1FBC17F6,자루도 V,swsh3a_ja-77,15,15,PASS
CRD_B4CBD2C89D74201BEAE7,드래피온 V,swsh4_ja-107,15,15,PASS
