jp_ref,num,en_slug,en_name,number,rarity,is_high,img,in_db
m3_ja-61,61,meowth-ex,Meowth ex,61,Double Rare,True,https://images.scrydex.com/pokemon/m3_ja-61/medium,N
m3_ja-101,101,energy-recycler,Energy Recycler,101,Super Rare,True,https://images.scrydex.com/pokemon/m3_ja-101/medium,N
m3_ja-102,102,sacred-ash,Sacred Ash,102,Super Rare,True,https://images.scrydex.com/pokemon/m3_ja-102/medium,N
m3_ja-103,103,pok-pad,Poké Pad,103,Super Rare,True,https://images.scrydex.com/pokemon/m3_ja-103/medium,N
m3_ja-104,104,wondrous-patch,Wondrous Patch,104,Super Rare,True,https://images.scrydex.com/pokemon/m3_ja-104/medium,N
m3_ja-109,109,forest-of-vitality,Forest of Vitality,109,Super Rare,True,https://images.scrydex.com/pokemon/m3_ja-109/medium,N
m3_ja-110,110,lumiose-city,Lumiose City,110,Super Rare,True,https://images.scrydex.com/pokemon/m3_ja-110/medium,N
m4_ja-95,95,watchog,Watchog,95,Art Rare,True,https://images.scrydex.com/pokemon/m4_ja-95/medium,N
m4_ja-104,104,energy-retrieval,Energy Retrieval,104,Super Rare,True,https://images.scrydex.com/pokemon/m4_ja-104/medium,N
m4_ja-105,105,jumbo-ice-cream,Jumbo Ice Cream,105,Super Rare,True,https://images.scrydex.com/pokemon/m4_ja-105/medium,N
m4_ja-106,106,special-red-card,Special Red Card,106,Super Rare,True,https://images.scrydex.com/pokemon/m4_ja-106/medium,N
m4_ja-107,107,tool-scrapper,Tool Scrapper,107,Super Rare,True,https://images.scrydex.com/pokemon/m4_ja-107/medium,N
m4_ja-109,109,philippe,Philippe,109,Super Rare,True,https://images.scrydex.com/pokemon/m4_ja-109/medium,N
m4_ja-111,111,emma,Emma,111,Super Rare,True,https://images.scrydex.com/pokemon/m4_ja-111/medium,N
m4_ja-112,112,surfing-beach,Surfing Beach,112,Super Rare,True,https://images.scrydex.com/pokemon/m4_ja-112/medium,N
m4_ja-113,113,prism-tower,Prism Tower,113,Super Rare,True,https://images.scrydex.com/pokemon/m4_ja-113/medium,N
m5_ja-4,4,lurantis-ex,Lurantis ex,4,Double Rare,True,https://images.scrydex.com/pokemon/m5_ja-4/medium,N
m5_ja-15,15,wailord-ex,Wailord ex,15,Double Rare,True,https://images.scrydex.com/pokemon/m5_ja-15/medium,N
m5_ja-26,26,mega-zeraora-ex,Mega Zeraora ex,26,Double Rare,True,https://images.scrydex.com/pokemon/m5_ja-26/medium,N
m5_ja-36,36,mega-chandelure-ex,Mega Chandelure ex,36,Double Rare,True,https://images.scrydex.com/pokemon/m5_ja-36/medium,N
m5_ja-43,43,rampardos-ex,Rampardos ex,43,Double Rare,True,https://images.scrydex.com/pokemon/m5_ja-43/medium,N
m5_ja-46,46,mega-darkrai-ex,Mega Darkrai ex,46,Double Rare,True,https://images.scrydex.com/pokemon/m5_ja-46/medium,N
m5_ja-53,53,morpeko-ex,Morpeko ex,53,Double Rare,True,https://images.scrydex.com/pokemon/m5_ja-53/medium,N
m5_ja-63,63,mega-excadrill-ex,Mega Excadrill ex,63,Double Rare,True,https://images.scrydex.com/pokemon/m5_ja-63/medium,N
m5_ja-82,82,fomantis,Fomantis,82,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-82/medium,N
m5_ja-83,83,armarouge,Armarouge,83,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-83/medium,N
m5_ja-84,84,goldeen,Goldeen,84,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-84/medium,N
m5_ja-85,85,primarina,Primarina,85,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-85/medium,N
m5_ja-86,86,manectric,Manectric,86,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-86/medium,N
m5_ja-87,87,slowbro,Slowbro,87,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-87/medium,N
m5_ja-88,88,dhelmise,Dhelmise,88,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-88/medium,N
m5_ja-89,89,thievul,Thievul,89,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-89/medium,N
m5_ja-90,90,zarude,Zarude,90,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-90/medium,N
m5_ja-91,91,bastiodon,Bastiodon,91,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-91/medium,N
m5_ja-92,92,toucannon,Toucannon,92,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-92/medium,N
m5_ja-93,93,silvally,Silvally,93,Art Rare,True,https://images.scrydex.com/pokemon/m5_ja-93/medium,N
m5_ja-94,94,lurantis-ex,Lurantis ex,94,Super Rare,True,https://images.scrydex.com/pokemon/m5_ja-94/medium,N
m5_ja-95,95,wailord-ex,Wailord ex,95,Super Rare,True,https://images.scrydex.com/pokemon/m5_ja-95/medium,N
m5_ja-96,96,mega-zeraora-ex,Mega Zeraora ex,96,Super Rare,True,https://images.scrydex.com/pokemon/m5_ja-96/medium,N
m5_ja-97,97,mega-chandelure-ex,Mega Chandelure ex,97,Super Rare,True,https://images.scrydex.com/pokemon/m5_ja-97/medium,N
m5_ja-98,98,rampardos-ex,Rampardos ex,98,Super Rare,True,https://images.scrydex.com/pokemon/m5_ja-98/medium,N
m5_ja-99,99,mega-darkrai-ex,Mega Darkrai ex,99,Super Rare,True,https://images.scrydex.com/pokemon/m5_ja-99/medium,N
