series,ko_set,ko_name,ko_rarity,ko_no,type,jp_ref,jp_status,code
m3_ja,MEGA 확장팩 「니힐제로」,나옹 ex,RR,061,기본 포켓몬,m3_ja-61,CONFIRMED,BS2026002061
sv9_ja,스칼렛&바이올렛 확장팩 「배틀파트너즈」,볼케니온 ex,RR,017,기본 포켓몬,,NEEDS_MATCH,BS2025001017
sv9_ja,스칼렛&바이올렛 확장팩 「배틀파트너즈」,맘모꾸리 ex,RR,046,2진화 포켓몬,,NEEDS_MATCH,BS2025001046
sv9_ja,스칼렛&바이올렛 확장팩 「배틀파트너즈」,N의 조로아크 ex,RR,061,1진화 포켓몬,,NEEDS_MATCH,BS2025001061
sv9_ja,스칼렛&바이올렛 확장팩 「배틀파트너즈」,호브의 자시안 ex,RR,069,기본 포켓몬,,NEEDS_MATCH,BS2025001069
sv9_ja,스칼렛&바이올렛 확장팩 「배틀파트너즈」,보만다 ex,RR,072,2진화 포켓몬,,NEEDS_MATCH,BS2025001072
sv9_ja,스칼렛&바이올렛 확장팩 「배틀파트너즈」,노고고치 ex,RR,079,1진화 포켓몬,,NEEDS_MATCH,BS2025001079
sv9_ja,스칼렛&바이올렛 확장팩 「배틀파트너즈」,무서운 청년,SR,121,서포트,,NEEDS_MATCH,BS2025001121
sv9a_ja,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,메가자리 ex,RR,003,1진화 포켓몬,,NEEDS_MATCH,BS2025005003
sv9a_ja,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,어써러셔 ex,RR,032,기본 포켓몬,,NEEDS_MATCH,BS2025005032
sv9a_ja,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,에레키블 ex,RR,035,1진화 포켓몬,,NEEDS_MATCH,BS2025005035
sv9a_ja,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,페퍼의 마피티프 ex,RR,052,1진화 포켓몬,,NEEDS_MATCH,BS2025005052
sv10_ja,스칼렛&바이올렛 확장팩 「로켓단의 영광」,올리르바 ex,RR,012,2진화 포켓몬,,NEEDS_MATCH,BS2025006012
sv10_ja,스칼렛&바이올렛 확장팩 「로켓단의 영광」,로켓단의 뮤츠 ex,RR,039,기본 포켓몬,,NEEDS_MATCH,BS2025006039
sv10_ja,스칼렛&바이올렛 확장팩 「로켓단의 영광」,레지락 ex,RR,055,기본 포켓몬,,NEEDS_MATCH,BS2025006055
sv10_ja,스칼렛&바이올렛 확장팩 「로켓단의 영광」,로켓단의 트래피더,AR,099,1진화 포켓몬,sv10_ja-99,CONFIRMED,BS2025006099
sv11b_ja,스칼렛&바이올렛 확장팩 「블랙볼트」,샤로다 ex,RR,003,2진화 포켓몬,,NEEDS_MATCH,BS2025007003
sv11b_ja,스칼렛&바이올렛 확장팩 「블랙볼트」,큐레무 ex,RR,031,기본 포켓몬,,NEEDS_MATCH,BS2025007031
sv11b_ja,스칼렛&바이올렛 확장팩 「블랙볼트」,제크로무 ex,RR,037,기본 포켓몬,,NEEDS_MATCH,BS2025007037
sv11b_ja,스칼렛&바이올렛 확장팩 「블랙볼트」,몰드류 ex,RR,049,1진화 포켓몬,,NEEDS_MATCH,BS2025007049
sv11b_ja,스칼렛&바이올렛 확장팩 「블랙볼트」,활화르바,AR,103,기본 포켓몬,sv11b_ja-103,CONFIRMED,BS2025007103
sv11b_ja,스칼렛&바이올렛 확장팩 「블랙볼트」,늑골라,AR,111,2진화 포켓몬,sv11b_ja-111,CONFIRMED,BS2025007111
sv11b_ja,스칼렛&바이올렛 확장팩 「블랙볼트」,코바르온,AR,149,기본 포켓몬,sv11b_ja-149,CONFIRMED,BS2025007149
sv11b_ja,스칼렛&바이올렛 확장팩 「블랙볼트」,터검니,AR,150,기본 포켓몬,sv11b_ja-150,CONFIRMED,BS2025007150
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,엘풍 ex,RR,005,1진화 포켓몬,sv11w_ja-159,CONFIRMED,BS2025008005
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,레시라무 ex,RR,017,기본 포켓몬,,NEEDS_MATCH,BS2025008017
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,케르디오 ex,RR,027,기본 포켓몬,,NEEDS_MATCH,BS2025008027
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,탱탱겔 ex,RR,042,1진화 포켓몬,,NEEDS_MATCH,BS2025008042
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,삼삼드래 ex,RR,062,2진화 포켓몬,,NEEDS_MATCH,BS2025008062
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,버프론 ex,RR,075,기본 포켓몬,,NEEDS_MATCH,BS2025008075
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,바랜드,AR,155,2진화 포켓몬,sv11w_ja-155,CONFIRMED,BS2025008155
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,토네로스,AR,158,기본 포켓몬,sv11w_ja-158,CONFIRMED,BS2025008158
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,엘풍 ex,SR,159,1진화 포켓몬,sv11w_ja-159,CONFIRMED,BS2025008159
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,탱탱겔 ex,SR,162,1진화 포켓몬,sv11w_ja-162,CONFIRMED,BS2025008162
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,엘풍 ex,SAR,167,1진화 포켓몬,sv11w_ja-159,CONFIRMED,BS2025008167
sv11w_ja,스칼렛&바이올렛 확장팩 「화이트플레어」,탱탱겔 ex,SAR,170,1진화 포켓몬,sv11w_ja-170,CONFIRMED,BS2025008170
m1l_ja,MEGA 확장팩 「메가브레이브」,깨비참,AR,074,기본 포켓몬,m1l_ja-74,CONFIRMED,BS2025009074
m2_ja,MEGA 확장팩 「인페르노X」,로토무 ex,RR,029,기본 포켓몬,,NEEDS_MATCH,BS2025014029
m2_ja,MEGA 확장팩 「인페르노X」,로토무 ex,SR,096,기본 포켓몬,m2_ja-96,CONFIRMED,BS2025014096
