code,ko_name,rarity,jp_ref,score,match_prod_name,match_cid
BS2025001017,볼케니온 ex,RR,,0.943,볼케니온 ex,CRD_E884C26E081A41749A2E
BS2025001046,맘모꾸리 ex,RR,,0.951,맘모꾸리 ex,CRD_D041ACC237314A96985C
BS2025001061,N의 조로아크 ex,RR,,0.992,N의 조로아크 ex,CRD_9965F1D5629D4B62B22A
BS2025001069,호브의 자시안 ex,RR,,0.976,호브의 자시안 ex,CRD_1ECDA429B4D74A1EB5F5
BS2025001072,보만다 ex,RR,,0.923,보만다 ex,CRD_F2AAF0DDA03144BEA3E0
BS2025001079,노고고치 ex,RR,,0.973,노고고치 ex,CRD_D74B2BB02D9740569EEB
BS2025005003,메가자리 ex,RR,,0.993,메가자리 ex,CRD_79944D97ECE040D19022
BS2025005032,어써러셔 ex,RR,,0.989,어써러셔 ex,CRD_C5F43E1D58DC4EB091BB
BS2025005035,에레키블 ex,RR,,0.959,에레키블 ex,CRD_58B23BBE13C047A0BE1A
BS2025005052,페퍼의 마피티프 ex,RR,,0.942,페퍼의 마피티프 ex,CRD_F78C2A2D2F374617AD49
BS2025006039,로켓단의 뮤츠 ex,RR,,0.985,로켓단의 뮤츠 ex,CRD_B2272D4D776044FE9ABF
BS2025007003,샤로다 ex,RR,,0.968,샤로다 ex,CRD_6C47EADF71464DA6A684
BS2025007031,큐레무 ex,RR,,0.979,큐레무 ex,CRD_FF1CF3010C544E30908E
BS2025007037,제크로무 ex,RR,,0.978,제크로무 ex,CRD_D3A5DFC3A6B34F32B872
BS2025008017,레시라무 ex,RR,,0.991,레시라무 ex,CRD_85C6AB0CD75440EFA091
BS2025008027,케르디오 ex,RR,,0.973,케르디오 ex,CRD_E6931B5F136B4A32907D
BS2025008062,삼삼드래 ex,RR,,0.964,삼삼드래 ex,CRD_CAA84D92B77A42B6AD29
BS2025008075,버프론 ex,RR,,0.957,버프론 ex,CRD_B294F7A527664134BFA8
BS2025015017,오거폰 벽록의 가면 ex,RR,,0.948,오거폰 벽록의 가면 ex,CRD_91F9D869C7DF4777B799
BS2025015057,모야모의 찌리배리 ex,RR,,0.988,모야모의 찌리배리 ex,CRD_80F1FC05F4D8499DA9DA
BS2025015060,릴리에의 삐삐 ex,RR,,0.992,릴리에의 삐삐 ex,CRD_B1266853754742B9AC64
BS2025015090,난천의 한카리아스 ex,RR,,0.96,난천의 한카리아스 ex,CRD_8C028EC35A4A49469342
BS2025015101,로켓단의 크로뱃 ex,RR,,0.992,로켓단의 크로뱃 ex,CRD_115109E7938F4445A01C
BS2025015114,기로치 ex,RR,,0.995,기로치 ex,CRD_15FD761C7E9D47358044
BS2024004005,토대부기 ex,RR,,0.962,토대부기 ex,CRD_8F4DFB20EC9342C1A6A9
BS2024004012,꿰뚫는화염 ex,RR,,0.928,꿰뚫는화염 ex,CRD_69A3E53625B647AE962F
BS2024004024,굽이치는물결 ex,RR,,0.928,굽이치는물결 ex,CRD_D4F9A637FFAE4231A8CB
BS2024004047,팬텀 ex,RR,,0.972,팬텀 ex,CRD_ABB584CF354344D0820F
BS2024005016,무쇠잎새 ex,RR,,0.968,무쇠잎새 ex,CRD_B9C22C1213704F5AAF1B
BS2024005022,어흥염 ex,RR,,0.959,어흥염 ex,CRD_33F622942A1F4876AAE4
BS2024005042,키키링 ex,RR,,0.939,키키링 ex,CRD_CF163D02C6AA44A39149
BS2024005044,핫삼 ex,RR,,0.98,핫삼 ex,CRD_84F100B202834C6DAE3B
