code,ko_name,rarity,jp_ref,score,match_prod_name,match_cid
BS2026002061,나옹 ex,RR,m3_ja-61,0.704,야도란 EX,CRD_494E55E7C59E4B6DA4E3
BS2025001121,무서운 청년,SR,,0.562,웅의 스카우트,CRD_462F20A41FFE435A999B
BS2025006099,로켓단의 트래피더,AR,sv10_ja-99,0.474,두랄루돈 VMAX,CRD_45D3A4AB841C4BAAA951
BS2025007103,활화르바,AR,sv11b_ja-103,0.581,도치마론,CRD_BC53EA80A3024F12B207
BS2025007111,늑골라,AR,sv11b_ja-111,0.477,게노세크트 EX플라스마단,CRD_29545D8447D54F8F9E57
BS2025007150,터검니,AR,sv11b_ja-150,0.546,앤티골,CRD_6912AF9C0880455DB48F
BS2025008005,엘풍 ex,RR,sv11w_ja-159,0.535,엘풍 GX,CRD_3446ADE0F7424C998BED
BS2025008042,탱탱겔 ex,RR,,0.468,몽얌나,CRD_11AB40F57D03470A986E
BS2025008155,바랜드,AR,sv11w_ja-155,0.543,바랜드 V,CRD_AF23FC89109141A7AAF7
BS2025008158,토네로스,AR,sv11w_ja-158,0.652,토네로스 V,CRD_7B0CD02EFB474874B2F9
BS2025008162,탱탱겔 ex,SR,sv11w_ja-162,0.617,푸크린 GX,CRD_83ED01B41C3648FCA47B
BS2025008167,엘풍 ex,SAR,sv11w_ja-159,0.591,엘풍 GX,CRD_5B57F8A6A3104F4E93DA
BS2025008170,탱탱겔 ex,SAR,sv11w_ja-170,0.575,치갈기,CRD_E92B2532AE914FB09891
BS2025009074,깨비참,AR,m1l_ja-74,0.468,호브의 자시안 ex,CRD_F51AD119C51A4A119201
BS2025014029,로토무 ex,RR,,0.485,피카츄 ex,CRD_67EB5EB9C55848ECA538
BS2025014096,로토무 ex,SR,m2_ja-96,0.522,이올브 V,CRD_CA044084B6894F7F9764
BS2025014112,로토무 ex,SAR,m2_ja-112,0.539,이올브 V,CRD_CA044084B6894F7F9764
BS2024001154,시비꼬 ex,RR,,0.441,메가루차불 ex,CRD_68ACF9F3119E4D75BABA
BS2024001337,시비꼬 ex,SSR,sv4a_ja-337,0.646,피죤투 ex,CRD_1EE8B7BE600043EF8C97
BS2024001354,페퍼,SAR,,0.524,이올브 VMAX,CRD_80E06EF89D844F93ABE5
BS2024004053,날뛰는우레 ex,RR,,0.459,고동치는달 ex,CRD_A59B08DC49AD4E5FBFA7
BS2024004082,치라미,AR,sv5k_ja-82,0.573,벼리짱,CRD_64E058D69CF943F5B6C0
BS2024004083,치라치노,AR,sv5k_ja-83,0.547,플러시,CRD_20FE3F484DFE4D9AA9D9
BS2024004089,날뛰는우레 ex,SR,sv5k_ja-89,0.474,미라이돈 ex,CRD_DBE064C8AC1C4B42B193
BS2024004095,날뛰는우레 ex,SAR,sv5k_ja-95,0.478,우렁찬꼬리,CRD_ABBEF153A31344B5ACCA
BS2024004100,날뛰는우레 ex,UR,sv5k_ja-100,0.586,샤로다 VSTAR,CRD_CE735FF66AA14F35A904
BS2024007076,대코파스,AR,sv5a_ja-76,0.518,동탁군,CRD_E1816DF5DFB04C90965B
BS2024008085,해피너스 ex,RR,,0.528,해피너스 V,CRD_3DB07E020BC24EA1AB3B
BS2024008113,럭키,AR,sv6_ja-113,0.476,모야모의 찌리배리 ex,CRD_7C97C49AAB974ED1A3A3
BS2024011076,이븐곰,AR,sv6a_ja-76,0.568,이븐곰 GX,CRD_96FACEB498654D5F9837
BS2024016040,알로라 나시 ex,RR,,0.507,싸리용 ex,CRD_2202D899B2514A12A3B3
BS2024016081,알로라 나시 ex,SR,sv7a_ja-81,0.682,키키링 ex,CRD_0EDD68B570E1472FB48A
BS2024016089,알로라 나시 ex,SAR,sv7a_ja-89,0.49,블래키 ex,CRD_5094F85922274E7CAC3C
BS2024016092,알로라 나시 ex,UR,sv7a_ja-92,0.667,삼삼드래 ex,CRD_B6DCDD8B172E42A098BE
BS2024017112,레어코일,AR,sv8_ja-112,0.47,싸리용 ex,CRD_2202D899B2514A12A3B3
BS2024019022,부스터 ex,RR,sv8a_ja-22,0.748,피카츄 ex,CRD_3C56BFC81EEB4EE89BB1
BS2024019117,타부자고 ex,RR,,0.552,벰크 BREAK,CRD_93D36BC983F24BABBFD1
BS2024019124,날뛰는우레 ex,RR,,0.642,갑주무사 ex,CRD_97880F5EB9DE47029F78
BS2024019222,날뛰는우레 ex,SAR,sv8a_ja-222,0.626,테오키스 VSTAR,CRD_BD23A2FE3D6140978DFB
BS2023001013,리자몽 V,RR,swsh12a_ja-13,0.563,리자몽 GX,CRD_68C455E4A71E4DBA86E7
BS2023001020,바오키 V,RR,swsh12a_ja-20,0.598,비버니,CRD_8710D86E084B46B1A83E
BS2023001068,러브로스 V,RR,,0.527,히스이 조로아크 V,CRD_31C58C5A3B144203BD03
BS2023001086,히스이 대검귀 V,RR,,0.514,갸라도스 V,CRD_1C157708149345C6BF37
BS2023001107,레쿠쟈 V,RR,swshp_ja-3,0.546,석탄산 VMAX,CRD_909F8823101A4097BD2D
BS2023001130,하랑우탄 V,RR,swsh12a_ja-130,0.426,하랑우탄,CRD_C69B5517FEEB4D75832B
BS2023001229,히스이 대검귀 V,SAR,swsh12a_ja-229,0.509,팽도리,CRD_5D857A6DB3B4475CAD61
BS2023007089,떨구새,AR,sv1v_ja-89,0.531,유토브,CRD_811F41C997424C4799EC
BS2023007100,페퍼,SR,,0.468,모젤란,CRD_5563F3670A2C4D95AB21
BS2023007105,페퍼,SAR,,0.445,가디안 ex,CRD_672B4D1A3B27458F9805
BS2023010075,나오하,AR,sv1a_ja-75,0.615,빠모,CRD_D8CA3FC24E11442D97E0
BS2023011065,시비꼬 ex,RR,,0.42,메가루차불 ex,CRD_68ACF9F3119E4D75BABA
BS2023011089,시비꼬 ex,SR,sv2p_ja-89,0.63,윽우지 V,CRD_25C4E5DDBD5348CBACD3
BS2023011094,시비꼬 ex,SAR,sv2p_ja-94,0.698,뮤 ex,CRD_828E8D059DF7414D891B
BS2023012080,태깅구르,AR,sv2d_ja-80,0.566,글라디오의 결전,CRD_873556EEE0BA8B3B376D
BS2023015085,부르르룸 ex,RR,,0.581,후파 V,CRD_FF43D0C9318B45C5AAE4
BS2023015127,부르르룸 ex,SR,sv3_ja-127,0.483,킬가르도 ex,CRD_6E9405D59DA14754A6EE
BS2023015135,부르르룸 ex,SAR,sv3_ja-135,0.415,조로아,CRD_24EBBFED607C41D7B562
BS2023020050,타부자고 ex,RR,,0.541,벰크 BREAK,CRD_93D36BC983F24BABBFD1
BS2023020079,타부자고 ex,SR,sv3a_ja-79,0.533,트래피더 ex,CRD_AA42D1C0CC194B35AB8C
BS2023020087,타부자고 ex,SAR,sv3a_ja-87,0.53,지우의 피카츄,CRD_2165621DAD614A36A40F
BS2023021072,비조도,AR,sv4k_ja-72,0.579,히스이 포푸니크 V,CRD_9F8E15C89ACC4214A5CF
