code,ko_name,ko_set,rarity,ko_no,type,jp_ref,score,match_prod,match_cid
BS2025006012,올리르바 ex,스칼렛&바이올렛 확장팩 「로켓단의 영광」,RR,012,2진화 포켓몬,,0.879,올리르바 ex,CRD_F72B398C28494F5383EA
BS2025006055,레지락 ex,스칼렛&바이올렛 확장팩 「로켓단의 영광」,RR,055,기본 포켓몬,,0.895,레지락 ex,CRD_528E8910A24647CE96C3
BS2025007049,몰드류 ex,스칼렛&바이올렛 확장팩 「블랙볼트」,RR,049,1진화 포켓몬,,0.875,몰드류 ex,CRD_54D2FB20FB064C93818F
BS2025007149,코바르온,스칼렛&바이올렛 확장팩 「블랙볼트」,AR,149,기본 포켓몬,sv11b_ja-149,0.764,코바르온,CRD_17EF823FA3CB4B2B8EE4
BS2025008159,엘풍 ex,스칼렛&바이올렛 확장팩 「화이트플레어」,SR,159,1진화 포켓몬,sv11w_ja-159,0.791,엘풍 V,CRD_90698EA0987C4C82913F
BS2025015119,게노세크트 ex,MEGA 하이클래스팩 「MEGA 드림 ex」,RR,119,기본 포켓몬,,0.897,게노세크트 ex,CRD_B071913DFA814921BA27
BS2024005036,무쇠감투 ex,스칼렛&바이올렛 확장팩 「사이버저지」,RR,036,기본 포켓몬 ex,,0.857,무쇠감투 ex,CRD_BE9FEC8AE3E9478EB79E
BS2024008121,해피너스 ex,스칼렛&바이올렛 확장팩 「변환의 가면」,SR,121,1진화 포켓몬,sv6_ja-121,0.794,해피너스 V,CRD_40EA643721414CC5B8E1
BS2024019052,쥬피썬더 ex,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,RR,052,1진화 포켓몬,,0.756,피카츄 ex,CRD_3C56BFC81EEB4EE89BB1
BS2022007071,지라치 V,소드&실드 확장팩 「타임게이저」,SR,071,기본 포켓몬,swsh10d_ja-71,0.802,지라치 EX,CRD_5EE6DC9AFBE242028F0F
BS2021002036,네크로즈마 V,소드&실드 확장팩 「연격마스터」,RR,036,기본 포켓몬,,0.755,네크로즈마 GX,CRD_696441FFCEB046F28C92
BS2021011049,두랄루돈 VMAX,소드&실드 확장팩 「마천퍼펙트」,RRR,049,V진화,swsh7d_ja-49,0.789,두랄루돈 VMAX,CRD_1A87BECFAC1647F98FBC
BS2020011107,핫삼 V,소드&실드 확장팩 「무한존」,SR,107,기본 포켓몬,swsh3_ja-107,0.762,핫삼 ex,CRD_F878464C76304FFF8660
BS2020016323,메타몽 V,소드&실드 하이클래스팩 「샤이니스타 V」,SSR,323,기본 포켓몬,swsh4a_ja-323,0.836,메타몽 VMAX,CRD_3EC2D5FC5CD94A18B44E
