code,ko_name,ko_set,rarity,ko_no,type,jp_ref,score,match_prod,match_cid
BS2025001121,무서운 청년,스칼렛&바이올렛 확장팩 「배틀파트너즈」,SR,121,서포트,,0.562,웅의 스카우트,CRD_462F20A41FFE435A999B
BS2025008042,탱탱겔 ex,스칼렛&바이올렛 확장팩 「화이트플레어」,RR,042,1진화 포켓몬,,0.468,몽얌나,CRD_11AB40F57D03470A986E
BS2025014029,로토무 ex,MEGA 확장팩 「인페르노X」,RR,029,기본 포켓몬,,0.485,피카츄 ex,CRD_67EB5EB9C55848ECA538
BS2024001154,시비꼬 ex,스칼렛&바이올렛 하이클래스팩 「샤이니트레저 ex」,RR,154,기본 포켓몬,,0.441,메가루차불 ex,CRD_68ACF9F3119E4D75BABA
BS2024001354,페퍼,스칼렛&바이올렛 하이클래스팩 「샤이니트레저 ex」,SAR,354,서포트,,0.524,이올브 VMAX,CRD_80E06EF89D844F93ABE5
BS2024004053,날뛰는우레 ex,스칼렛&바이올렛 확장팩 「와일드포스」,RR,053,기본 포켓몬 ex,,0.459,고동치는달 ex,CRD_A59B08DC49AD4E5FBFA7
BS2024008085,해피너스 ex,스칼렛&바이올렛 확장팩 「변환의 가면」,RR,085,1진화 포켓몬,,0.528,해피너스 V,CRD_3DB07E020BC24EA1AB3B
BS2024016040,알로라 나시 ex,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,RR,040,1진화 포켓몬,,0.507,싸리용 ex,CRD_2202D899B2514A12A3B3
BS2024019117,타부자고 ex,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,RR,117,1진화 포켓몬,,0.552,벰크 BREAK,CRD_93D36BC983F24BABBFD1
BS2024019124,날뛰는우레 ex,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,RR,124,기본 포켓몬 ex,,0.642,갑주무사 ex,CRD_97880F5EB9DE47029F78
BS2023001068,러브로스 V,소드&실드 하이클래스팩 「VSTAR 유니버스」,RR,068,기본 포켓몬,,0.527,히스이 조로아크 V,CRD_31C58C5A3B144203BD03
