card_id,name,rarity,officialCode,scrydexRef,vector_count
CRD_C3D5C7ACD33641D0A03D,배틀 콜로세움,SR,BS2025014108,m2_ja-108,15
CRD_A7C33D6D04CA4437BD1F,미라이돈 ex,RR,BS2024003011,sv5-122,5
CRD_BB0CFF854EAC4E149745,기로치 ex,RR,BS2025013003,ma_ja-3,5
CRD_93C95BC7FE614F8398BE,쥬피썬더 V,RR,BS2021007030,swsh6a_ja-30,15
CRD_91D653F2B1A3411D81A7,포켓바이털A,ACE,BS2024011056,sv6a_ja-55,15
CRD_C1EA9FCD9E9548B294A9,레지기가스,H,BS2010010034,dp5t_ja-525,20
CRD_2CFA9E7297D146EF818C,에너지 리사이클,SR,BS2026002102,m3_ja-101,10
CRD_9C7F4366DF8340318937,리자몽,H,BS2010010007,dp3_ja-6,15
CRD_EC132ACDFBE44F7ABC82,난천의 한카리아스 ex,RR,BS2025015090,m2a_ja-90,15
CRD_84E9B9850E9A45968528,루가루암 V,RR,BS2021011024,swsh7d_ja-24,15
CRD_9D052520704740CD8855,뮤츠 GX,RR,BS2017010040,sm3p_ja-40,15
CRD_92630B5A5E064CC6951E,파치래곤 V,RR,BS2021003023,swsh5a_ja-23,15
CRD_5530C05FD3FA4C2F8CF2,하이퍼 아로마,ACE,BS2024007058,sv5a_ja-55,15
CRD_8339A718987648728776,글레이시아 EX,RR,BS2016020018,xy10_ja-18,15
CRD_CD39A55DE2DF4A2C9E74,근성의 망토,UR,,swsh3a_ja-94,10
CRD_FC20D31639D7402AB5A5,테라파고스 ex,RR,BS2026001630,sv7_ja-88,15
CRD_F0835CD9F9D84DBF8F75,샤로다 ex,RR,BS2025007003,sv11b_ja-3,15
CRD_94090A9F33B740DD8519,썬더마운틴(프리즘스타),PR,BS2018012058,sm7a_ja-58,10
CRD_397FCA0ECF7D450CB94A,데인저러스 광선,ACE,BS2024011054,sv6a_ja-54,15
CRD_CCCC36079AC24E7F997F,절친 포핀,SR,BS2025010083,m1s_ja-81,15
CRD_3E82A9C4F39E4C719B47,가라르 야도킹 V,RR,BS2021003046,swsh5a_ja-46,15
CRD_B646D9DFC21842518DBB,요씽리스 V,RR,BS2021018085,swsh8_ja-85,15
CRD_4E3E41E9A3494482BEB7,메가시그널,SR,BS2025010081,m1s_ja-83,15
CRD_E5FF55B0797E40E5B60F,에너지 갈아 달기,UR,BS2022016093,swsh11a_ja-93,15
CRD_6369E7C18E744D1799BE,보만다 ex,RR,BS2025001072,sv9_ja-72,15
CRD_CDEB9C6B68E443809126,프라임 캐처,ACE,BS2024005062,sv5m_ja-62,15
CRD_470C969D43B749E7BCEE,레지락 ex,RR,BS2025006055,sv10_ja-55,15
CRD_F73F371E442F4ACFBEFB,이벨타르 GX,RR,BS2018004055,sm6_ja-55,15
CRD_60FB75999B834AB7AC7A,경험치 공유,UR,,swsh5i_ja-90,10
CRD_6B6B971B316F4CECA17D,포켓몬 회수 사이클론,ACE,BS2024008093,sv6_ja-93,15
CRD_21FFD5E3D47449929375,카푸꼬꼬꼭 V,RR,BS2021001017,swsh5i_ja-17,15
CRD_DF29217FC4A941819E7F,에코잉혼,UR,,swsh6k_ja-94,10
CRD_07C2338930A64DA68179,더스트나 V,RR,BS2021011030,swsh7d_ja-30,15
CRD_F3EAABE5636E4544BBF4,엠페르트,H,BS2010001024,dp1_ja-456,20
CRD_52F01BC27D17412EAEA0,프라임 캐처,ACE,BS2025013025,sv5m_ja-62,15
CRD_4B1139083803494BBE54,님피아 ex,RR,BS2024019069,sv8a_ja-69,15
CRD_8D8A1D38FB9A45188298,로토무,S,BS2020016237,swsh4a_ja-237,10
CRD_B902B8EEEEF14328B5E1,무쇠가시 ex,RR,BS2024007033,sv5a_ja-33,15
CRD_94E186691EF7493B8ABD,미스터리 가든,SR,BS2025010086,m1s_ja-86,15
CRD_069F642A156B4536B125,유리나팔,SR,BS2025015216,m2a_ja-215,15
CRD_5389645DAEAD455DB806,인텔리레온 V,RR,BS2022003119,swsh8-78,10
CRD_A6A3C2C26F2F4464B076,요가램 V,RR,BS2021012036,swsh7r_ja-36,15
CRD_0935BBDC0D7A4B1A9A63,루기아 VSTAR,PR,SP000000188,swshp_ja-325,10
CRD_7DD6C6B73C7E4FB2942F,올리르바 ex,RR,BS2025006012,sv10_ja-12,15
CRD_882A334900444DE8BFAC,어써러셔 ex,RR,BS2025005032,sv9a_ja-32,15
CRD_F234F2F2993F4EFEB26E,네오라이트 V,RR,BS2023017002,sv3_ja-2,10
CRD_4E24D7BCE8424B46A6C6,M레쿠쟈 EX,RR,BS2016004097,xy6_ja-62,10
CRD_30F7E6BA52AE4DE7A1E4,킹드라,H,BS2010006015,dp5t_ja-134,20
CRD_8FFF4FD7AAAD4FC9921B,포켓패드,SR,BS2026002104,m3_ja-103,10
CRD_D1C7EB9112774D94908B,뮤츠 EX,RR,BS2015006025,xy8b_ja-25,20
CRD_BF4009235AB24F4BBD41,절친 포핀,UR,BS2024008133,sv6_ja-133,15
CRD_9EDCB2F3F82B0EAA04B3,피카츄,PR,,smp_ja-276,5
CRD_001CBDF345D94656B351,석탄산 VMAX,HR,,swsh3a_ja-87,10
CRD_4B733136627F4B2A970D,드래피온 V,SR,BS2020014107,swsh4_ja-107,15
CRD_6C17AD56132B4D61A529,이벨타르 EX,RR,BS2014501037,xy1y_ja-37,20
CRD_CED9A841B7844A47A807,솔가레오 GX,RR,BS2017013070,sm4p_ja-70,15
CRD_276FDCBEC53540638A45,리오르,P,PR2010001009,,5
CRD_C3C82724FCF14DC0941A,로켓단의 뮤츠 ex,RR,BS2025006039,sv10_ja-39,15
CRD_16F421291B064AC58BAE,멜메탈 ex,RR,BS2024006081,sv7-105,5
CRD_AD060C8436D94B1B8AF4,하랑우탄,UR,,swsh3a_ja-92,10
CRD_DFA54335742F49B58FF8,네오라이트 V,RR,BS2022002030,swsh9_ja-30,15
CRD_1AF02B869FC640ADA050,로켓단의 리시버,SR,BS2025015215,m2a_ja-217,15
