card_id,name,language,vector_count,n_images
CRD_F78C2A2D2F374617AD49,페퍼의 마피티프 ex,KO,5,3
CRD_F7FE6279B4A147BC9CD1,릴리에의 삐삐 ex,KO,5,2
CRD_1497BC4BBC0A034B7E00921E88FE436E,루이지 피카츄,JP,5,1
CRD_0772C5CF7513F14CB993C2F4FEE4944E,판쵸 피카츄 (레쿠쟈 2),JP,5,1
CRD_33CA09BF26188C6BDA6EA9F79332A025,판쵸 피카츄 (리자몽 X),JP,5,1
CRD_B44585853A93C37F791B552F69C70AA6,맥도날드 피카츄,JP,5,1
CRD_20E1890D79D254945C3E00F70560A986,스카루단 고꼬 피카츄,JP,5,1
CRD_235AEB6FAEA54083A5AF,무쇠암석 ex,KO,5,2
CRD_2D4AA6D08A11483FA5DB,무쇠가시 ex,KO,5,3
CRD_2938D81021984B85A99B,로켓단의 페르시온 ex,KO,5,2
CRD_330E7648167E59934C965289F6483878,요코하마 피카츄 (281),JP,5,1
CRD_31207730A1244D4BA676,멜메탈 ex,KO,5,2
CRD_321E17A2C21747AAB24E,복숭악동 ex,KO,5,3
CRD_39C73BE28BA84C03307F1717CAA31C9E,루이지 피카츄 (296),JP,5,1
CRD_367674FDDC443996584B85A2030A01A3,판쵸 피카츄 (가라도스),JP,5,1
CRD_3DA9FF90C36043F5AFDC,코바르온 ex,KO,5,2
CRD_44DEAF40BD594140A6C6,치라치노 ex,KO,5,2
CRD_0E5CE3102B684AB7B177,멜리시 BREAK,KO,5,3
CRD_13901C5572724AADB8AA,팔데아 토오 ex,KO,5,2
CRD_483AB154688A4D959891,로켓단의 크로뱃 ex,KO,5,3
CRD_1ECDA429B4D74A1EB5F5,호브의 자시안 ex,KO,5,3
CRD_0FDC1A9392234CDCB81C,가라르 프리져 V,KO,5,3
CRD_205C20056CBF48F8B08D,메타몽,KO,5,2
CRD_4E59295B4DF14431A9B7,가라르 야도킹 VMAX,KO,5,3
CRD_5F5654DF27524F1385D6,가이오가 ex,KO,5,2
CRD_528E8910A24647CE96C3,레지락 ex,KO,5,3
CRD_53811FEF046C46BC8D3A,레지아이스 ex,KO,5,2
CRD_54D2FB20FB064C93818F,몰드류 ex,KO,5,3
CRD_56CE5AE045504777AAE8,미라이돈 ex,KO,5,2
CRD_A0B7FEC7EBCC30F32231005D7A76B620,카나자와 피카츄,JP,5,1
CRD_B3FA890225FF38CC4DBE123ABCCB9B93,판쵸 피카츄 (메가도쿄),JP,5,1
CRD_C00E1C8CFE15D51E795F88D9D5D14E94,판쵸 피카츄 (메가 캠페인),JP,5,1
CRD_3676B88FE7374BDBB1B2,뮤츠 ex,KO,5,2
CRD_1550F9965A5248E99C97,리자몽 ex,KO,5,2
CRD_F80B857CFE91CDEB4402E3E93F29B2CB,코이킹 고꼬 피카츄,JP,5,1
CRD_5B5AD56134634293963C,루기아 ex,KO,5,2
CRD_6BFE78CBD4924CF285F9,메가염무왕 ex,KO,5,2
CRD_6CE96DE4AE2A4103BE43,펌킨인 ex,KO,5,2
CRD_6E30EACB936041E98A01,조로아크 BREAK,KO,5,3
CRD_70DBE52BB8F949A2A864,오거폰 주춧돌의 가면 ex,KO,5,3
CRD_74B902EF7172401CA468,메더 ex,KO,5,2
CRD_75F07C682B69468CA27A,메가메가니움 ex,KO,5,2
CRD_7AC4C404D19B4C5FB0B1,메가드래캄 ex,KO,5,2
CRD_7ADACFDF9777471C8C30,루카리오 ex,KO,5,2
CRD_83CB95F730174D28B274,메가플라엣테 ex,KO,5,2
CRD_83EC760B41124D8A9145,독침붕 ex,KO,5,2
