jp_ref,rarity,expected_card_id,predicted_card_id,score,pass
m5_ja-4,RR,CRD_76BD806D0418EAE90B42,CRD_76BD806D0418EAE90B42,1.0,PASS
m5_ja-15,RR,CRD_380B71F8BB3CF96A61EE,CRD_380B71F8BB3CF96A61EE,1.0,PASS
m5_ja-26,RR,CRD_6D19A5161A05C8F43E56,CRD_6D19A5161A05C8F43E56,1.0,PASS
m5_ja-36,RR,CRD_FFCC0F8CED874CC72C77,CRD_FFCC0F8CED874CC72C77,1.0,PASS
m5_ja-43,RR,CRD_3943EFE37BBAE1B52202,CRD_3943EFE37BBAE1B52202,1.0,PASS
m5_ja-46,RR,CRD_83EB31891C77BEA468C8,CRD_83EB31891C77BEA468C8,1.0,PASS
m5_ja-53,RR,CRD_43CD00684F9D255492C8,CRD_43CD00684F9D255492C8,1.0,PASS
m5_ja-63,RR,CRD_2FA2149F64BC049AC26F,CRD_2FA2149F64BC049AC26F,1.0,PASS
m5_ja-82,AR,CRD_35047170BCFDE40B1CF7,CRD_35047170BCFDE40B1CF7,1.0,PASS
m5_ja-83,AR,CRD_0A1A02B69C48772F29BD,CRD_0A1A02B69C48772F29BD,1.0,PASS
m5_ja-84,AR,CRD_37E539F9B29822A89711,CRD_37E539F9B29822A89711,1.0,PASS
m5_ja-85,AR,CRD_0EEEB9560308D4F4A44D,CRD_0EEEB9560308D4F4A44D,1.0,PASS
m5_ja-86,AR,CRD_6CAB4D0FFC760A69F69A,CRD_6CAB4D0FFC760A69F69A,1.0,PASS
m5_ja-87,AR,CRD_CB435008E6A92A71085D,CRD_CB435008E6A92A71085D,1.0,PASS
m5_ja-88,AR,CRD_51C7825705E35C6FF71F,CRD_51C7825705E35C6FF71F,1.0,PASS
m5_ja-89,AR,CRD_AAA017F1B44DFA505C9B,CRD_AAA017F1B44DFA505C9B,1.0,PASS
m5_ja-90,AR,CRD_1CCA522F5463C6D36D73,CRD_1CCA522F5463C6D36D73,1.0,PASS
m5_ja-91,AR,CRD_769E68E6E5B20F7CD4C6,CRD_769E68E6E5B20F7CD4C6,1.0,PASS
m5_ja-92,AR,CRD_1385EBCD996A88D82253,CRD_1385EBCD996A88D82253,1.0,PASS
m5_ja-93,AR,CRD_412140A7DDD1C94BB3FC,CRD_412140A7DDD1C94BB3FC,1.0,PASS
m5_ja-94,SR,CRD_503935417E87561B409C,CRD_503935417E87561B409C,1.0,PASS
m5_ja-95,SR,CRD_E16927295F777E3F2FB1,CRD_E16927295F777E3F2FB1,1.0,PASS
m5_ja-96,SR,CRD_9081CF4B5064849DC721,CRD_9081CF4B5064849DC721,1.0,PASS
m5_ja-97,SR,CRD_9704E9C7E0466CA70982,CRD_9704E9C7E0466CA70982,1.0,PASS
m5_ja-98,SR,CRD_D2735A48259B9E4C3366,CRD_D2735A48259B9E4C3366,1.0,PASS
m5_ja-99,SR,CRD_25FDA4C47211D0DECF2F,CRD_25FDA4C47211D0DECF2F,1.0,PASS
m5_ja-100,SR,CRD_68E850BB1B68A2B8E14D,CRD_68E850BB1B68A2B8E14D,1.0,PASS
m5_ja-101,SR,CRD_AC527895530B79F45DDE,CRD_AC527895530B79F45DDE,1.0,PASS
m5_ja-108,SR,CRD_E5554CE70153F51C9143,CRD_E5554CE70153F51C9143,1.0,PASS
m5_ja-109,SR,CRD_C935CCC682AAF4203D08,CRD_C935CCC682AAF4203D08,1.0,PASS
m5_ja-110,SR,CRD_923D499B2F2992176C5F,CRD_923D499B2F2992176C5F,1.0,PASS
m5_ja-111,SR,CRD_DDBAAD42F90D7CB5F1B8,CRD_DDBAAD42F90D7CB5F1B8,1.0,PASS
m5_ja-112,SAR,CRD_F10CF3C1C5A4B70534D1,CRD_F10CF3C1C5A4B70534D1,1.0,PASS
m5_ja-113,SAR,CRD_26BD4ABA6D11E04846BA,CRD_26BD4ABA6D11E04846BA,1.0,PASS
m5_ja-114,SAR,CRD_FA4BBF0978E1CA423377,CRD_FA4BBF0978E1CA423377,1.0,PASS
m5_ja-115,SAR,CRD_509D0B3B4A0D5FBD0AF9,CRD_509D0B3B4A0D5FBD0AF9,1.0,PASS
m5_ja-116,SAR,CRD_873556EEE0BA8B3B376D,CRD_873556EEE0BA8B3B376D,1.0,PASS
m5_ja-117,SAR,CRD_46355D0F57297D6AEAE6,CRD_46355D0F57297D6AEAE6,1.0,PASS
m5_ja-118,MUR,CRD_4962BD93FC13EF9634B6,CRD_4962BD93FC13EF9634B6,1.0,PASS
