jp_ref,card_id,name,rarity,vector_count,pass
m5_ja-100,CRD_68E850BB1B68A2B8E14D,모르페코 ex,SR,10,PASS
m5_ja-101,CRD_AC527895530B79F45DDE,메가몰드류 ex,SR,10,PASS
m5_ja-108,CRD_E5554CE70153F51C9143,이슬의 기력,SR,10,PASS
m5_ja-109,CRD_C935CCC682AAF4203D08,글라디오의 결전,SR,10,PASS
m5_ja-110,CRD_923D499B2F2992176C5F,녹청파의 조무래기,SR,10,PASS
m5_ja-111,CRD_DDBAAD42F90D7CB5F1B8,무쿠,SR,10,PASS
m5_ja-112,CRD_F10CF3C1C5A4B70534D1,메가제라오라 ex,SAR,10,PASS
m5_ja-113,CRD_26BD4ABA6D11E04846BA,메가샹델라 ex,SAR,10,PASS
m5_ja-114,CRD_FA4BBF0978E1CA423377,메가다크라이 ex,SAR,10,PASS
m5_ja-115,CRD_509D0B3B4A0D5FBD0AF9,모르페코 ex,SAR,10,PASS
m5_ja-116,CRD_873556EEE0BA8B3B376D,글라디오의 결전,SAR,10,PASS
m5_ja-117,CRD_46355D0F57297D6AEAE6,무쿠,SAR,10,PASS
m5_ja-118,CRD_4962BD93FC13EF9634B6,메가다크라이 ex,MUR,10,PASS
m5_ja-15,CRD_380B71F8BB3CF96A61EE,고래왕 ex,RR,10,PASS
m5_ja-26,CRD_6D19A5161A05C8F43E56,메가제라오라 ex,RR,10,PASS
m5_ja-36,CRD_FFCC0F8CED874CC72C77,메가샹델라 ex,RR,10,PASS
m5_ja-4,CRD_76BD806D0418EAE90B42,라란티스 ex,RR,10,PASS
m5_ja-43,CRD_3943EFE37BBAE1B52202,램펄드 ex,RR,10,PASS
m5_ja-46,CRD_83EB31891C77BEA468C8,메가다크라이 ex,RR,10,PASS
m5_ja-53,CRD_43CD00684F9D255492C8,모르페코 ex,RR,10,PASS
m5_ja-63,CRD_2FA2149F64BC049AC26F,메가몰드류 ex,RR,10,PASS
m5_ja-82,CRD_35047170BCFDE40B1CF7,짜랑랑,AR,10,PASS
m5_ja-83,CRD_0A1A02B69C48772F29BD,카디나르마,AR,10,PASS
m5_ja-84,CRD_37E539F9B29822A89711,콘치,AR,10,PASS
m5_ja-85,CRD_0EEEB9560308D4F4A44D,누리레느,AR,10,PASS
m5_ja-86,CRD_6CAB4D0FFC760A69F69A,썬더볼트,AR,10,PASS
m5_ja-87,CRD_CB435008E6A92A71085D,야도란,AR,10,PASS
m5_ja-88,CRD_51C7825705E35C6FF71F,타타륜,AR,10,PASS
m5_ja-89,CRD_AAA017F1B44DFA505C9B,폭슬라이,AR,10,PASS
m5_ja-90,CRD_1CCA522F5463C6D36D73,자루도,AR,10,PASS
m5_ja-91,CRD_769E68E6E5B20F7CD4C6,바리톱스,AR,10,PASS
m5_ja-92,CRD_1385EBCD996A88D82253,왕큰부리,AR,10,PASS
m5_ja-93,CRD_412140A7DDD1C94BB3FC,실버디,AR,10,PASS
m5_ja-94,CRD_503935417E87561B409C,라란티스 ex,SR,10,PASS
m5_ja-95,CRD_E16927295F777E3F2FB1,고래왕 ex,SR,10,PASS
m5_ja-96,CRD_9081CF4B5064849DC721,메가제라오라 ex,SR,10,PASS
m5_ja-97,CRD_9704E9C7E0466CA70982,메가샹델라 ex,SR,10,PASS
m5_ja-98,CRD_D2735A48259B9E4C3366,램펄드 ex,SR,10,PASS
m5_ja-99,CRD_25FDA4C47211D0DECF2F,메가다크라이 ex,SR,10,PASS
