product_id,current_name_ko,set_code,release_date_jp,source,status,note
PRD_E1C4AAB9A1BC43F5B408,썬&문 강화 확장팩 「GX 배틀부스트 REMASTER」,sm4p_ja,,,미확정,썬&문 「GX배틀부스트 REMASTER」 — JP 대응 불명(KO 프로모 모음?). 대표 SM-P 프로모. 순서 지정 요청
PRD_E3C9A6F3A7094CB5B77C,썬&문 「랜덤30장덱」,sm6_ja,,,미확정,썬&문 「랜덤30장덱」 — JP 대응 불명(KO 전용 덱). 순서 지정 요청
PRD_9FB39A358D474F2A800E,소드&실드 확장팩 세트 V,swshp_ja,,,미확정,소드&실드 「세트 V」 — JP 대응 불명(KO 전용?). 대표:가라르야도란V/루카리오V/어흥염V(NO_JP). 순서 지정 요청
PRD_1B9CC7C6D61653EEDEB28,MEGA 확장팩 「어비스아이」,m5_ja,2026-05-22,pokemon-card.com(JP공식),공식확정,
PRD_156BB71C4F5A41C39521,MEGA 확장팩 「닌자스피너」,m4_ja,2026-03-13,pokemon-card.com(JP공식),공식확정,
PRD_B269D7FE35F74921BDB2,MEGA 확장팩 「니힐제로」,m3_ja,2026-01-23,pokemon-card.com(JP공식),공식확정,
PRD_6F0F228947EF48919808,MEGA 「스타트 덱 100 배틀컬렉션」,sv8a_ja,2025-12-19,pokemon-card.com(JP공식),공식확정,MEGA 스타트덱100 배틀컬렉션 (코드 sv8a는 카드 재판본 공유·실제 MEGA-era / 사용자확인)
PRD_90A8D5BDA5664CEF9F48,MEGA 하이클래스팩 「MEGA 드림 ex」,m2a_ja,2025-11-28,pokemon-card.com(JP공식),공식확정,
PRD_DD94FB8DCB7C4A129478,MEGA 확장팩 「인페르노X」,m2_ja,2025-09-26,pokemon-card.com(JP공식),공식확정,
PRD_488E92535E424D04B2B5,MEGA 확장팩 「메가브레이브」,m1l_ja,2025-08-01,pokemon-card.com(JP공식),공식확정,
PRD_86C30C87F04C465BA58C,MEGA 확장팩 「메가심포니아」,m1s_ja,2025-08-01,pokemon-card.com(JP공식),공식확정,
PRD_D52A4B350D2344119847,스칼렛&바이올렛 확장팩 「블랙볼트」,sv11b_ja,2025-06-06,Bulbapedia(JP·2차),2차확정,
PRD_53034524E98C4FE8BF8D,스칼렛&바이올렛 확장팩 「화이트플레어」,sv11w_ja,2025-06-06,Bulbapedia(JP·2차),2차확정,
PRD_FA31487748A24EAF9EE3,스칼렛&바이올렛 확장팩 「로켓단의 영광」,sv10_ja,2025-04-18,Bulbapedia(JP·2차),2차확정,
PRD_66A71505B24242AD9875,스칼렛&바이올렛 강화 확장팩 「열풍의 아레나」,sv9a_ja,2025-03-14,Bulbapedia(JP·2차),2차확정,
PRD_EC14FE47676E4D529FD0,스칼렛&바이올렛 확장팩 「배틀파트너즈」,sv9_ja,2025-01-24,Bulbapedia(JP·2차),2차확정,
PRD_D26383A636BE42F09D6B,스칼렛&바이올렛 하이클래스팩 「테라스탈 페스타 ex」,sv8a_ja,2024-12-06,Bulbapedia(JP·2차),2차확정,
PRD_58FB9039FC3548478196,스칼렛&바이올렛 랜덤 스타트 덱 Generations,,2024-11-22,pokemon-card.com(JP공식),공식확정,SV 랜덤 스타트덱 Generations (사용자확인)
PRD_0CC50B878F5F40BAA824,스칼렛&바이올렛 확장팩 「초전브레이커」,sv8_ja,2024-10-18,Bulbapedia(JP·2차),2차확정,
PRD_3FAB90CDEC7C43B6A8DF,스칼렛&바이올렛 강화 확장팩 「낙원드래고나」,sv7a_ja,2024-09-13,Bulbapedia(JP·2차),2차확정,
PRD_3C9C174C842D499D9A02,스칼렛&바이올렛 확장팩 「스텔라미라클」,sv7_ja,2024-07-19,Bulbapedia(JP·2차),2차확정,
PRD_7293190A22224C0598D5,스칼렛&바이올렛 강화 확장팩 「나이트원더러」,sv6a_ja,2024-06-07,Bulbapedia(JP·2차),2차확정,
PRD_980F0BFCCDBB47558BFA,스칼렛&바이올렛 확장팩 「변환의 가면」,sv6_ja,2024-04-26,Bulbapedia(JP·2차),2차확정,
PRD_965FA5E5CD004C97AE74,스칼렛&바이올렛 강화 확장팩 「크림슨헤이즈」,sv5a_ja,2024-03-22,Bulbapedia(JP·2차),2차확정,
PRD_171222A74859484783EB,스칼렛&바이올렛 확장팩 「와일드포스」,sv5k_ja,2024-01-26,Bulbapedia(JP·2차),2차확정,
PRD_B8A7BADF7613420288AC,스칼렛&바이올렛 확장팩 「사이버저지」,sv5m_ja,2024-01-26,Bulbapedia(JP·2차),2차확정,
PRD_219AD0EF77CA4165AD0F,스칼렛&바이올렛 하이클래스팩 「샤이니트레저 ex」,sv4a_ja,2023-12-01,Bulbapedia(JP·2차),2차확정,
PRD_CC65479EEB8C445BB1DF,스칼렛&바이올렛 스페셜 덱 세트 ex 「이상해꽃·리자몽·거북왕」,,2023-11-10,pokemon-card.com(JP공식),공식확정,SV 스페셜덱 이상해꽃·리자몽·거북왕 (사용자확인)
PRD_8E32996A2E964C128DBF,스칼렛&바이올렛 확장팩 「고대의 포효」,sv4k_ja,2023-10-27,Bulbapedia(JP·2차),2차확정,
PRD_245223BF212C456385F3,스칼렛&바이올렛 확장팩 「미래의 일섬」,sv4m_ja,2023-10-27,Bulbapedia(JP·2차),2차확정,
PRD_B7309AB1FDF64E4EA6B1,스칼렛&바이올렛 강화 확장팩 「레이징서프」,sv3a_ja,2023-09-22,Bulbapedia(JP·2차),2차확정,
PRD_C017B01380CF490A9480,스칼렛&바이올렛 확장팩 「흑염의 지배자」,sv3_ja,2023-07-28,Bulbapedia(JP·2차),2차확정,
PRD_BBA412AFA17F47F4B0BA,스칼렛&바이올렛 ex 스타트 덱,,2023-07-07,pokemon-card.com(JP공식),공식확정,SV ex 스타트덱 (사용자확인·≠스타터세트ex)
PRD_DAB43E31433041FC942F,스칼렛&바이올렛 강화 확장팩 「포켓몬 카드 151」,sv2a_ja,2023-06-16,Bulbapedia(JP·2차),2차확정,
PRD_66FB8C2B312E46E081B1,스칼렛&바이올렛 확장팩 「클레이버스트」,sv2d_ja,2023-04-14,Bulbapedia(JP·2차),2차확정,
PRD_514C148400944D8AA72F,스칼렛&바이올렛 확장팩 「스노해저드」,sv2p_ja,2023-04-14,Bulbapedia(JP·2차),2차확정,
PRD_FC339076828C45ED9BA0,포켓몬 카드 게임 스칼렛&바이올렛 강화 확장팩 「트리플렛비트」,sv1a_ja,2023-03-10,Bulbapedia(JP·2차),2차확정,
