card_id,name,rarity,vector_count,in_prod_db,prod_lang,status
CRD_C39B236442E240D58AAD,백마 버드렉스 V,RR,5,True,KO,UNDER10
CRD_F2AAF0DDA03144BEA3E0,보만다 ex,RR,5,True,KO,UNDER10
CRD_612B2096761E42C3A8A3,메더 ex,RR,5,True,KO,UNDER10
CRD_E9BBC337EBFE495BBEAF,갸라도스,P,5,False,,ORPHAN
CRD_DF733DFFA0674744AF83,레시라무 ex,RR,5,True,KO,UNDER10
CRD_4E59295B4DF14431A9B7,가라르 야도킹 VMAX,RR,5,True,KO,UNDER10
CRD_57EB73076A4B471381A3,글레이시아 ex,RR,5,True,KO,UNDER10
CRD_DC0D44D9E66D45FA907B,가라르 날쌩마 V,RR,5,True,KO,UNDER10
CRD_39C73BE28BA84C03307F1717CAA31C9E,루이지 피카츄 (296),PR,5,True,JP,UNDER10
CRD_C0CD75FE2CCE46389DA9,기로치 ex,RR,5,True,KO,UNDER10
CRD_27E586B5F5EB4F748D68,칠색조,P,5,False,,ORPHAN
CRD_128F70C0C950473788AA,브리두라스 ex,RR,5,True,KO,UNDER10
CRD_2906B160A7D843A09118,피츄,P,5,False,,ORPHAN
CRD_B3FA890225FF38CC4DBE123ABCCB9B93,판쵸 피카츄 (메가도쿄),PR,5,True,JP,UNDER10
CRD_CF5D258E4C4326F86707666D9357D5A2,요코하마 피카츄 (WCS),PR,5,True,JP,UNDER10
CRD_D28B0FBAE6E94FAE9B1E,피카츄,P,5,False,,ORPHAN
CRD_56CE5AE045504777AAE8,미라이돈 ex,RR,5,True,KO,UNDER10
CRD_F40F80C9CA87094FB525D9D9A3C25C9E,마리오 피카츄,PR,5,True,JP,UNDER10
CRD_F44C2F2640AB4792CB65,포켓몬 카드 페스타 피카츄,PR,5,True,KO,UNDER10
CRD_5B5AD56134634293963C,루기아 ex,RR,5,True,KO,UNDER10
CRD_929B183535F2447CBCE3,모크나이퍼 ex,RR,5,True,KO,UNDER10
CRD_35DA6B31F47244C59B9A,제르네아스 BREAK,RR,5,True,KO,UNDER10
CRD_42C881A081C2442292A2,라티아스 ex,RR,5,True,KO,UNDER10
CRD_D9FA88BC123C41F9B448,라프라스 ex,RR,5,True,KO,UNDER10
CRD_7BCDB81D3236447A9119,멜메탈 ex,RR,5,True,KO,UNDER10
CRD_31E450B6EC254990BB9A,오리진 펄기아 VSTAR,RR,5,False,,ORPHAN
CRD_6D035E3171254B20BE96,찬란한 개굴닌자,K,5,False,,ORPHAN
CRD_9EDCB2F3F82B0EAA04B3,피카츄,PR,5,False,,ORPHAN
CRD_F78C2A2D2F374617AD49,페퍼의 마피티프 ex,RR,5,True,KO,UNDER10
CRD_A70AE0EAE9544E4091AC,메가팬텀 ex,RR,5,True,KO,UNDER10
CRD_92F676DAB8C24AD3895B,망나뇽 ex,RR,5,True,KO,UNDER10
CRD_EF8B22836E854405A0EE,메가자리 ex,RR,5,True,KO,UNDER10
CRD_E070D0BFD0812AE7FEE1,판초를 입은 이브이,PR,5,True,KO,UNDER10
CRD_CA3D4EFF79314B22B0F0,따라큐 ex,RR,5,True,KO,UNDER10
CRD_C8514FE93E8D4BEBBEDE,마리의 오롱털 ex,RR,5,True,KO,UNDER10
