card_id,rarity,prod_src16,correct_src16,prod_k16,correct_k16
CRD_BE8BC1ED2FFA48EFAEE0,RR,JP,EN,931,963
CRD_F5AF7D246A2542E48326,RR,JP,EN,274,264
CRD_D3BC0E4C755C49AD83CC,SAR,JP,EN,9510,11438
CRD_0EA9A767E8E64BC7B5D3,HR,JP,EN,16376,7387
CRD_C0757BA5FDB846169FFD,SAR,JP,EN,4019,1401
CRD_F6F255B07DE64989A77B,AR,JP,EN,3281,5992
CRD_2261AA95080E4619A99E,SR,JP,EN,2554,2254
CRD_4984C34823564A40A15F,SR,JP,EN,3828,3237
CRD_54066807917542B79D0E,AR,JP,EN,1524,2783
CRD_11B89035B69F4696A10B,SR,JP,EN,6511,5310
CRD_6BAE3346829849DD8C4B,SR,JP,EN,3167,2669
CRD_0A986E45BB20474CB2BF,RR,JP,EN,155,157
CRD_4CF6CEF79B8D4088917C,RR,JP,EN,217,231
CRD_FFE751C555274A6BAA16,RR,JP,EN,222,234
CRD_4B2B4A42869D4583AFCB,AR,JP,EN,10345,5129
CRD_7258B944611440859FD1,RRR,JP,EN,407,687
CRD_499466BB5F6A45A9BEAE,SAR,JP,EN,21461,7084
CRD_57EB73076A4B471381A3,RR,JP,EN,657,671
CRD_83BAA925FA8D48C4ABFE,RR,JP,EN,3175,910
CRD_AA067EA038324239B8DD,SR,JP,EN,9652,10722
CRD_C5A95DC5404443948CF9,SAR,JP,EN,3554,4403
CRD_2202D899B2514A12A3B3,RR,JP,EN,191,193
CRD_9854903EC2F54EBAB680,RR,JP,EN,305,311
CRD_9A786ECB0C1441ADB6E9,AR,JP,EN,1172,2125
CRD_4192371C8DE14719ACB9,CHR,JP,EN,3787,6818
CRD_710DC79FEA9542A1BD21,SR,JP,EN,6674,26150
CRD_6F5BE04789954940A44C,SR,JP,EN,3104,5251
CRD_600E014CD3CD4A00BD0B,RRR,JP,EN,1249,2016
CRD_C5C15088983B4338BFDC,RR,JP,EN,336,330
CRD_0B22E2A33CB14A99888F,SR,JP,EN,800,2533
CRD_AF8736ECE64947D5A57B,UR,JP,EN,9021,3946
CRD_DBF5F6102B314663AA38,RRR,JP,EN,1679,2863
CRD_6F30F6948BD54C099B7B,SR,JP,EN,1037,3291
CRD_287F04A23D8D4624B994,SR,JP,EN,12622,14651
CRD_2C1B8B60A6A24410B160,HR,JP,EN,5128,2318
CRD_93C902F4C3BD4E53BAA0,RRR,JP,EN,1644,2778
CRD_4A17C07AEF20419B859B,SR,JP,EN,1697,5607
CRD_CBDDC3FDCA774193AB14,SR,JP,EN,25485,23527
CRD_F414A783F97B45F0A953,RR,JP,EN,460,481
CRD_88C69A70082B440AB5C0,AR,JP,EN,1172,1983
CRD_0212FE92DB3D42B3980A,AR,JP,EN,2599,4724
CRD_B5BD597A055847CBB31C,AR,JP,EN,2571,4708
CRD_2757D35F33AC4CF99CC7,SR,JP,EN,12114,10593
CRD_6867ED7294D14913A168,SR,JP,EN,5097,16776
CRD_4AF796183B554D43B85C,SR,JP,EN,3134,2732
CRD_91690464DF8843E78381,AR,JP,EN,694,1284
CRD_B3149BEFD6BC407799A3,RR,JP,EN,8615,2354
CRD_6D78C3030D7942CB9EF0,RR,JP,EN,10803,10897
CRD_A6E16EBEE75C492DA24E,AR,JP,EN,8775,16046
CRD_32686724596F433298EB,UR,JP,EN,24083,10607
CRD_2284D5AE23CD4A559E27,AR,JP,EN,25103,41819
CRD_8EF30B3B1E864419943C,RR,JP,EN,202,209
CRD_DF32332FA0B44D189C38,AR,JP,EN,5716,10238
CRD_62A6B9CDD727412080D2,SR,JP,EN,8339,14424
CRD_11E419D20A2A499FAFC6,SAR,JP,EN,24249,27715
CRD_6B4990C003EE4F5C95AF,RR,JP,EN,243,259
CRD_05EEC7741BAF4827B1B7,RR,JP,EN,1334,1400
CRD_02FBE86D930D4D10A90C,RR,JP,EN,248,259
CRD_E9B8CA77A7664CE8B9CF,SR,JP,EN,1415,4264
CRD_35F025B882B548A18185,SR,JP,EN,412,1280
CRD_275591C4CE6A45D2A1B4,SAR,JP,EN,6415,7426
CRD_9740CC2128594EDDB54F,SR,JP,EN,377,2388
CRD_D87B1708EDCE4A669223,SR,JP,EN,3712,15587
CRD_17E681D70E484304B6B8,RR,JP,EN,160,154
CRD_8550FB250AFA4FADB616,SR,JP,EN,50970,51294
CRD_5C57E2D4DFC8419EAFAA,PR,JP,EN,2594,5467
CRD_3867F42D081F475AB07C,SAR,JP,EN,7322,8397
CRD_8E5059F15BB5478EB12A,AR,JP,EN,8110,14483
CRD_5751676A34FF4B128A73,RR,JP,EN,698,729
CRD_579416A2A535432F8F30,SAR,JP,EN,40374,33755
CRD_F9792A29F11F4A35AF80,AR,JP,EN,1871,3162
CRD_89CF88D4F24A4B3FAB18,RR,JP,EN,165,173
CRD_C5AAC2405EE34F249A43,RR,JP,EN,202,206
CRD_78C5517A0AB142AC8502,PR,JP,EN,1232,2534
CRD_2E88C364F7394ACBB0AB,SR,JP,EN,25565,42363
CRD_E0677DDD24AB4D0B961D,RR,JP,EN,1443,1535
CRD_48E53C0884D54CECB73D,AR,JP,EN,1331,2315
CRD_BF2EC3DA51FE45219EFA,RR,JP,EN,222,234
CRD_51EB2AB1F8BE40468C95,SR,JP,EN,5925,6624
