card_id,name,rarity,prod_s14,prod_s16,recomp_s16,k14_lastgoodJP,audit_k16,display_now,recomp_k16(ref),ratio,correct_val(=k14),action
CRD_CE167D5150A34D07B7AF,리자몽 V,SR,JP,EN,JP,95903,293857,83480,95878,2.07,95903,FIX_TO_JP
CRD_8F6DB567A7EF4D5F9742,제크로무 ex,BWR,JP,EN,JP,130059,138503,134000,131864,2.01,130059,FIX_TO_JP
CRD_D2B8F12F00094BD88632,피카츄 V,CSR,JP,EN,JP,35415,65978,26500,35406,2.17,35415,FIX_TO_JP
CRD_B345C0800CFB40D28BD7,님피아 V,CSR,JP,EN,JP,23490,40467,21120,23484,2.01,23490,FIX_TO_JP
CRD_7A7B7FE3D8DA4848943D,핫삼 GX,SSR,JP,EN,JP,22909,39381,20600,22903,2.01,22909,FIX_TO_JP
CRD_73CA21A2A3EB47D1AF95,뮤츠&뮤 GX,SR,JP,EN,JP,8877,38531,8877,8875,2.03,8877,FIX_TO_JP
CRD_44E1537469C74DDBBA16,나몰빼미&알로라나시 GX,SR,JP,EN,JP,7495,32371,7495,7493,2.02,7495,FIX_TO_JP
CRD_096403B193C94990A6F0,잠만보 VMAX,RRR,JP,EN,JP,17992,31734,16480,18331,2.02,17992,FIX_TO_JP
CRD_9F8E15C89ACC4214A5CF,히스이 포푸니크 V,SR,JP,EN,JP,9442,31043,12440,9654,2.18,9442,FIX_TO_JP
CRD_672B4D1A3B27458F9805,가디안 ex,SAR,JP,EN,JP,100794,30203,30203,100767,2.08,100794,FIX_TO_JP
CRD_C9F99666A3067F779469,라티아스&라티오스 GX,SR,JP,EN,JP,5948,27728,5948,5947,2.18,5948,FIX_TO_JP
CRD_1F0C27DC82064235A11C,글레이시아 VMAX,HR,JP,EN,JP,11381,19670,2460,11378,2.09,11381,FIX_TO_JP
CRD_AA56EE51E5024865B7F9,제르네아스 EX,SR,JP,EN,JP,4589,18877,4589,4587,2.06,4589,FIX_TO_JP
CRD_DBCFA7ECE36342E69356,리자몽 EX,PR,JP,EN,JP,2205,17485,2205,2205,2.07,2205,FIX_TO_JP
CRD_4194A800DB674EB6839A,이벨타르 EX,SR,JP,EN,JP,4200,17046,4200,4199,2.03,4200,FIX_TO_JP
CRD_0FD962247951488C809E,게노세크트 ex,SAR,JP,EN,JP,12486,16288,8100,12538,2.09,12486,FIX_TO_JP
CRD_3A51FC9327024878903D,무쇠잎새 ex,SAR,JP,EN,JP,11535,14890,9720,11532,2.07,11535,FIX_TO_JP
CRD_53504BEF2B164AFA9492,부우부,CHR,JP,EN,JP,6269,12100,2180,6135,2.04,6269,FIX_TO_JP
CRD_D6CB6207F6D64F1A980C,오거폰 벽록의 가면 ex,SAR,JP,EN,JP,8149,10210,6870,8147,2.01,8149,FIX_TO_JP
CRD_9239E2F6422F4F328D52,라이츄&알로라라이츄 GX,RR,JP,EN,JP,9152,9838,7440,9149,2.01,9152,FIX_TO_JP
CRD_ACF61B33CDD24476B1C0,가라르 파이어 V,CSR,JP,EN,JP,5347,9664,5030,5595,2.02,5347,FIX_TO_JP
CRD_4B11473ECD9245248564,하데리어,AR,JP,EN,JP,4942,9174,3600,4991,2.02,4942,FIX_TO_JP
CRD_768F67D90A2142609676,명희의 격려,SR,JP,EN,JP,14867,8753,8753,14864,2.05,14867,FIX_TO_JP
CRD_F7EF825777564C459F21,몰드류 ex,SAR,JP,EN,JP,6639,8688,4300,6659,2.1,6639,FIX_TO_JP
CRD_1EDE2D3DF6644957B409,기라티나(프리즘스타),PR,JP,EN,JP,1087,8414,1087,1087,2.02,1087,FIX_TO_JP
CRD_128A2046607444A389E9,조타구 ex,SAR,JP,EN,JP,5992,7596,5050,5990,2.04,5992,FIX_TO_JP
CRD_029907DF1DDC4963B94E,달막화,AR,JP,EN,JP,3645,7244,2630,3649,2.18,3645,FIX_TO_JP
CRD_B0635A73D11746B0828B,바오프,AR,JP,EN,JP,3276,6420,2380,3297,2.14,3276,FIX_TO_JP
CRD_870D077A005D4B68959B,애프룡 VMAX,HR,JP,EN,JP,3490,6220,3100,3489,2.15,3490,FIX_TO_JP
CRD_262F67E35B964E6B9C67,야도킹 ex,SR,JP,EN,JP,1904,5811,2450,1904,2.07,1904,FIX_TO_JP
CRD_3BEF85BDD3334AB1B674,위유이 ex,UR,JP,EN,JP,4107,5675,5675,4120,2.17,4107,FIX_TO_JP
CRD_6A0E78B2E87B4CA88D98,가디안 ex,SSR,JP,EN,JP,2981,5452,2680,2981,2.13,2981,FIX_TO_JP
CRD_CDF7188601734FA48B24,피카츄,PR,JP,EN,JP,2785,5272,2785,2816,2.05,2785,FIX_TO_JP
CRD_DF4775DD63D8489DB391,심보러,AR,JP,EN,JP,2773,5264,2020,2794,2.07,2773,FIX_TO_JP
CRD_4007297FF83B46EF9175,디안시 EX,PR,JP,EN,JP,647,4994,647,647,2.01,647,FIX_TO_JP
CRD_4866CB4A4EDF45CABC8E,M후딘 EX,RR,JP,EN,JP,18100,4806,4806,18095,2.01,18100,FIX_TO_JP
CRD_B8A04830277E4F638EBD,레지에레키 VMAX [다이맥스],HR,JP,EN,JP,2794,4679,2480,2794,2.02,2794,FIX_TO_JP
CRD_8AFB1352B9D64F18AFDD,데스마스,AR,JP,EN,JP,2314,4495,1660,2302,2.14,2314,FIX_TO_JP
CRD_368954B62A864484B467,자망칼,AR,JP,EN,JP,2085,3879,1520,2112,2.02,2085,FIX_TO_JP
CRD_9EC31C68BA49485F819E,던지미,AR,JP,EN,JP,1856,3645,1350,1878,2.13,1856,FIX_TO_JP
CRD_CBF98258CCE3480F901E,지라치 GX,SR,JP,EN,JP,3412,3632,3632,3419,2.02,3412,FIX_TO_JP
