card_id,rarity,prod_src16,correct_src16,prod_k16,correct_k16
CRD_CE167D5150A34D07B7AF,SR,EN,JP,293857,95878
CRD_8F6DB567A7EF4D5F9742,BWR,EN,JP,138503,131864
CRD_D2B8F12F00094BD88632,CSR,EN,JP,65978,35406
CRD_B345C0800CFB40D28BD7,CSR,EN,JP,40467,23484
CRD_7A7B7FE3D8DA4848943D,SSR,EN,JP,39381,22903
CRD_73CA21A2A3EB47D1AF95,SR,EN,JP,38531,8875
CRD_44E1537469C74DDBBA16,SR,EN,JP,32371,7493
CRD_096403B193C94990A6F0,RRR,EN,JP,31734,18331
CRD_9F8E15C89ACC4214A5CF,SR,EN,JP,31043,9654
CRD_672B4D1A3B27458F9805,SAR,EN,JP,30203,100767
CRD_C9F99666A3067F779469,SR,EN,JP,27728,5947
CRD_1F0C27DC82064235A11C,HR,EN,JP,19670,11378
CRD_AA56EE51E5024865B7F9,SR,EN,JP,18877,4587
CRD_DBCFA7ECE36342E69356,PR,EN,JP,17485,2205
CRD_4194A800DB674EB6839A,SR,EN,JP,17046,4199
CRD_0FD962247951488C809E,SAR,EN,JP,16288,12538
CRD_3A51FC9327024878903D,SAR,EN,JP,14890,11532
CRD_53504BEF2B164AFA9492,CHR,EN,JP,12100,6135
CRD_D6CB6207F6D64F1A980C,SAR,EN,JP,10210,8147
CRD_9239E2F6422F4F328D52,RR,EN,JP,9838,9149
CRD_ACF61B33CDD24476B1C0,CSR,EN,JP,9664,5595
CRD_4B11473ECD9245248564,AR,EN,JP,9174,4991
CRD_768F67D90A2142609676,SR,EN,JP,8753,14864
CRD_F7EF825777564C459F21,SAR,EN,JP,8688,6659
CRD_1EDE2D3DF6644957B409,PR,EN,JP,8414,1087
CRD_128A2046607444A389E9,SAR,EN,JP,7596,5990
CRD_029907DF1DDC4963B94E,AR,EN,JP,7244,3649
CRD_B0635A73D11746B0828B,AR,EN,JP,6420,3297
CRD_870D077A005D4B68959B,HR,EN,JP,6220,3489
CRD_262F67E35B964E6B9C67,SR,EN,JP,5811,1904
CRD_3BEF85BDD3334AB1B674,UR,EN,JP,5675,4120
CRD_6A0E78B2E87B4CA88D98,SSR,EN,JP,5452,2981
CRD_CDF7188601734FA48B24,PR,EN,JP,5272,2816
CRD_DF4775DD63D8489DB391,AR,EN,JP,5264,2794
CRD_4007297FF83B46EF9175,PR,EN,JP,4994,647
CRD_4866CB4A4EDF45CABC8E,RR,EN,JP,4806,18095
CRD_B8A04830277E4F638EBD,HR,EN,JP,4679,2794
CRD_8AFB1352B9D64F18AFDD,AR,EN,JP,4495,2302
CRD_368954B62A864484B467,AR,EN,JP,3879,2112
CRD_9EC31C68BA49485F819E,AR,EN,JP,3645,1878
CRD_CBF98258CCE3480F901E,SR,EN,JP,3632,3419
CRD_3E7EFB8B95774E57AD88,SR,EN,JP,3490,1175
CRD_05A7C02B26DC4C7B8CDE,RR,EN,JP,3410,2909
CRD_3BF8865058D243DC9DBF,SR,EN,JP,3359,772
CRD_4A642D0DF8D74C7B896A,RR,EN,JP,3298,3011
CRD_1A35479E220A4BB7AE4E,RR,EN,JP,2915,2640
CRD_8D68F827F9B2481DA5FB,RR,EN,JP,2853,2432
CRD_D2BCEBD902BB4EB7B230,SR,EN,JP,2488,836
CRD_31940B3434F54CAB8CAB,SR,EN,JP,1979,2785
CRD_48149BF6BE82495A8F64,RRR,EN,JP,1832,1034
CRD_3BEEBBBA3187450DBC7E,SR,EN,JP,1662,2401
CRD_7CBE310A1C2F411F889F,SR,EN,JP,1620,520
CRD_2A6241DAD8844867AA49,AR,EN,JP,1583,816
CRD_43184344379E4533B6E5,RR,EN,JP,1361,1264
CRD_37AD357EC31F4A4E9BDD,RR,EN,JP,1084,4229
CRD_B54A04C4DD0844DE9B5E,RRR,EN,JP,881,494
CRD_287970473FD84B928D5D,PR,EN,JP,787,414
CRD_28FD2B5F4CE248369764,RRR,EN,JP,777,413
CRD_A45D3E9BF08B4D07AF14,RR,EN,JP,715,630
CRD_DC0D44D9E66D45FA907B,RR,EN,JP,687,594
CRD_112139C75D774E75BDDA,SSR,EN,JP,553,308
CRD_7C49D1616BA447F592B1,RR,EN,JP,446,396
CRD_4986313CCE1543ED8030,RR,EN,JP,269,239
CRD_31C58C5A3B144203BD03,RR,EN,JP,242,213
CRD_0C0972C263B343A4BB0D,RR,EN,JP,236,213
CRD_F1A3157631DF446BA533,RR,EN,JP,236,213
CRD_A4B8753A4E844EE09CBA,RR,EN,JP,228,203
CRD_2EDC5DADC4F24ECD976A,RR,EN,JP,220,203
CRD_E410D811910849CDAFFA,RR,EN,JP,220,203
CRD_E9757BBCE7C34C4E8BF8,RR,EN,JP,215,193
CRD_42E5F5DEFC6244BEA6CF,RR,EN,JP,206,178
CRD_E7DB54455C61431B8B1B,RR,EN,JP,201,183
CRD_FFEB4B8D7D704A0DA7BA,RR,EN,JP,198,173
CRD_14CFDC4FCADA4F70A670,RR,EN,JP,198,173
CRD_9D7E49141F244802BAB2,RR,EN,JP,196,178
CRD_4C0F71EF7CD14B5DAC80,RR,EN,JP,185,168
CRD_F04EAB8226244033828C,RR,EN,JP,171,157
CRD_BA348F823BE347518A3B,RR,EN,JP,166,152
