card_id,card_name,rarity,collection_number,snkrdunk_apparel_id,scrydex_raw_krw,scrydex_psa10_krw,scrydex_psa9_krw,raw_to_psa10_ratio,raw_to_psa9_ratio,psa10_to_psa9_ratio,psa10_to_raw_ratio,psa9_to_raw_ratio,snk_A_basis,snk_selected_A_krw,snk_A_n,scrydex_raw_to_snk_A_ratio,ladder_violation,action_status,notes,replacement_confidence,floor_suspect
CRD_0052886022F54674939E,포플러,SR,277/184,126526,2351,33210,14801,0.071,0.159,2.244,14.13,6.3,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_0060AA44D0824398AB42,추명,SR,194/187,471668,2335,48757,10734,0.048,0.218,4.542,20.88,4.6,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_007D898667D84D8F9B7E,제크로무,SR,055/053,91640,153571,2463422,870399,0.062,0.176,2.83,16.04,5.67,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_0099D36F822141DF8467,체렌,PR,,585229,107538,,,,,,,,A_3M,31664,1,3.396,SNK_DIVERGENCE_HIGH,MAPPING_REVIEW,,MAPPING_REVIEW,
CRD_00B0A094D2434026AD56,하랑우탄,CHR,212/184,126690,3042,50702,28417,0.06,0.107,1.784,16.67,9.34,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_00C3F08C0B7C41B1A2DA,히스이 포푸니크 V,SR,074/067,139585,6008,56757,30580,0.106,0.196,1.856,9.45,5.09,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_00D37F11A42A4F6EAD16,루기아 EX,RR,086/093,406334,46094,751598,108705,0.061,0.424,6.914,16.31,2.36,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_010576BAD6694C708F4E,고디보미,AR,078/071,120828,5163,51632,,0.1,,,10.0,,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_010A7FF3B3854654B6A1,네크로즈마 새벽의 날개 GX,SR,068/066,338363,16947,87044,13744,0.195,1.233,6.333,5.14,0.81,NONE,,0,,RAW_OVER_PSA9,KEEP_SCRYDEX,,KEEP,
CRD_013491CECA2E446F9AB8,게을킹 V,RR,059/071,137107,599,26605,16819,0.023,0.036,1.582,44.42,28.08,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_0146657C0E674996969C,M루카리오 EX,RR,063/171,390315,92158,68806,70140,1.339,1.314,0.981,0.75,0.76,A_3M,36100,1,2.553,RAW_OVER_PSA10;RAW_OVER_PSA9;SNK_DIVERGENCE_HIGH,REVIEW_SNK_THIN,,REVIEW_REPLACE,
