card_id,card_name,rarity,collection_number,snkrdunk_apparel_id,scrydex_raw_krw,scrydex_psa10_krw,scrydex_psa9_krw,raw_to_psa10_ratio,raw_to_psa9_ratio,psa10_to_psa9_ratio,psa10_to_raw_ratio,psa9_to_raw_ratio,snk_A_basis,snk_selected_A_krw,snk_A_n,scrydex_raw_to_snk_A_ratio,ladder_violation,action_status,notes,replacement_confidence,floor_suspect
CRD_0D1FEC3632AD4FED9507,파밀리쥐,AR,081/071,117192,60153,152195,54510,0.395,1.104,2.792,2.53,0.91,A_1M,29440,24,2.043,SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_1F45F12DC0264E98B4E1,메가눈여아 ex,SAR,233/193,730955,45403,131592,50919,0.345,0.892,2.584,2.9,1.12,A_1M,21850,37,2.078,SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_227EEF4A668D4B91A0DE,메가드래캄 ex,SAR,116/083,776367,46847,415589,,0.113,,,8.87,,A_1M,19000,49,2.466,SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_4CBEC2D7C8DF430DA560,메가플라엣테 ex,SAR,115/083,776366,42975,184302,,0.233,,,4.29,,A_1M,18516,44,2.321,SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_8C4E0B58B9AB4FD8A901,메가루차불 ex,SAR,239/193,731022,37713,133985,51092,0.281,0.738,2.622,3.55,1.35,A_1M,14250,31,2.647,SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_BD23A2FE3D6140978DFB,테오키스 VSTAR,SAR,223/172,103665,59692,162680,47522,0.367,1.256,3.423,2.73,0.8,A_1M,28025,24,2.13,RAW_OVER_PSA9;SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_BECB62345F92435AB0E2,메가곤율거니 ex,SAR,241/193,730960,25198,123881,44277,0.203,0.569,2.798,4.92,1.76,A_1M,10194,25,2.472,SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_D9C0CF682CE44A96BED2,네오라이트 V,SAR,216/172,103072,27641,92209,33447,0.3,0.826,2.757,3.34,1.21,A_1M,13775,13,2.007,SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_EA6C638A5EAE4EE0996B,메가샤크니아 ex,SAR,113/080,704404,22556,76089,34150,0.296,0.66,2.228,3.37,1.51,A_1M,9975,11,2.261,SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_ECCF09117F0E4F4BBCF1,히스이 조로아크 VSTAR,SAR,234/172,103078,63411,119265,36537,0.532,1.736,3.264,1.88,0.58,A_1M,28975,24,2.188,RAW_OVER_PSA9;SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
