card_id,card_name,rarity,collection_number,snkrdunk_apparel_id,scrydex_raw_krw,scrydex_psa10_krw,scrydex_psa9_krw,raw_to_psa10_ratio,raw_to_psa9_ratio,psa10_to_psa9_ratio,psa10_to_raw_ratio,psa9_to_raw_ratio,snk_A_basis,snk_selected_A_krw,snk_A_n,scrydex_raw_to_snk_A_ratio,ladder_violation,action_status,notes,replacement_confidence,floor_suspect
CRD_0902F4E6CC9047A98559,피카츄,PR,,332798,50596,369286,84815,0.137,0.597,4.354,7.3,1.68,A_1M,116375,58,0.435,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_0D1FEC3632AD4FED9507,파밀리쥐,AR,081/071,117192,60153,152195,54510,0.395,1.104,2.792,2.53,0.91,A_1M,29440,24,2.043,SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_0DE14A2FC85947DF989A,팔데아의 동료들,SR,198/187,450719,4041,80576,15871,0.05,0.255,5.077,19.94,3.93,A_1M,11400,5,0.354,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_1001E20102E24B2DA20C,파이어&썬더&프리져 GX,SR,060/054,91283,696517,3490370,887481,0.2,0.785,3.933,5.01,1.27,A_1M,1425000,6,0.489,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_11D6E395867B46F49FE8,루기아 VSTAR,HR,118/098,100575,32220,204044,55332,0.158,0.582,3.688,6.33,1.72,A_3M,75288,12,0.428,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_135AB4B5F4794E8BAB7F,니드킹,AR,174/165,128090,8896,84693,35907,0.105,0.248,2.359,9.52,4.04,A_1M,18810,10,0.473,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_147D2B78F8B043E3BB91,루기아 V,SR,110/098,100567,708701,2023547,684925,0.35,1.035,2.954,2.86,0.97,A_1M,1662500,10,0.426,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_1589922DA5104539AFF5,레쿠쟈 VMAX,CSR,252/184,96714,123379,759761,200011,0.162,0.617,3.799,6.16,1.62,A_1M,364790,38,0.338,SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_1AD1B3ABA677423BBCAE,라이츄 V,SR,106/100,139845,7329,101949,39755,0.072,0.184,2.564,13.91,5.42,A_1M,17680,10,0.415,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
CRD_1F45F12DC0264E98B4E1,메가눈여아 ex,SAR,233/193,730955,45403,131592,50919,0.345,0.892,2.584,2.9,1.12,A_1M,21850,37,2.078,SNK_DIVERGENCE_HIGH,REPLACE_WITH_SNK_A,,STRONG_REPLACE,
