apparel_id,detail_url,jp_title,en_name,product_number,image_url,set,number,rarity,used_listing_count
466501,https://snkrdunk.com/apparels/466501,"Area Zero Underdepths :Monster Ball Mirror [SV8a 182/187](High Class Pack ""Terastal Festival ex"")","Area Zero Underdepths :Monster Ball Mirror [SV8a 182/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-182,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-046989_T_ZERONODAIKUUDOU-of.webp,SV8A,182,,1
427241,https://snkrdunk.com/apparels/427241,"Area Zero Underdepths [SV8a 182/187](High Class Pack ""Terastal Festival ex"")","Area Zero Underdepths [SV8a 182/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-182,https://cdn.snkrdunk.com/upload_bg_removed/20241205123211-4.webp,SV8A,182,,0
427240,https://snkrdunk.com/apparels/427240,"Janine's Secret Art [SV8a 166/187](High Class Pack ""Terastal Festival ex"")","Janine's Secret Art [SV8a 166/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-166,https://cdn.snkrdunk.com/upload_bg_removed/20241205124305-8.webp,SV8A,166,,0
466478,https://snkrdunk.com/apparels/466478,"Lana’s Aid [SV8a 168/187](High Class Pack ""Terastal Festival ex"")","Lana’s Aid [SV8a 168/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-168,https://cdn.snkrdunk.com/upload_bg_removed/20241205123644-0.webp,SV8A,168,,0
427216,https://snkrdunk.com/apparels/427216,"Teal Mask Ogerpon ex RR [SV8a 020/187](High Class Pack ""Terastal Festival ex"")","Teal Mask Ogerpon ex RR [SV8a 020/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-020,https://cdn.snkrdunk.com/upload_bg_removed/20241205121644-4.webp,SV8A,020,RR,2
466330,https://snkrdunk.com/apparels/466330,"Wellspring Mask Ogerpon ex RR [SV8a 050/187](High Class Pack ""Terastal Festival ex"")","Wellspring Mask Ogerpon ex RR [SV8a 050/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-050,https://cdn.snkrdunk.com/upload_bg_removed/20241205123723-3.webp,SV8A,050,RR,3
466305,https://snkrdunk.com/apparels/466305,"Hearthflame Mask Ogerpon ex RR [SV8a 026/187](High Class Pack ""Terastal Festival ex"")","Hearthflame Mask Ogerpon ex RR [SV8a 026/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-026,https://cdn.snkrdunk.com/upload_bg_removed/20241205122457-1.webp,SV8A,026,RR,3
466376,https://snkrdunk.com/apparels/466376,"Bloodmoon Ursaluna [SV8a 085/187](High Class Pack ""Terastal Festival ex"")","Bloodmoon Ursaluna [SV8a 085/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-085,https://cdn.snkrdunk.com/upload_bg_removed/20241205124519-6.webp,SV8A,085,,4
466377,https://snkrdunk.com/apparels/466377,"Bloodmoon Ursaluna :Monster Ball Mirror [SV8a 085/187](High Class Pack ""Terastal Festival ex"")","Bloodmoon Ursaluna :Monster Ball Mirror [SV8a 085/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-085,https://cdn.snkrdunk.com/upload_bg_removed/20241206002848-0.webp,SV8A,085,,1
427231,https://snkrdunk.com/apparels/427231,"Bloodmoon Ursaluna ex RR [SV8a 134/187](High Class Pack ""Terastal Festival ex"")","Bloodmoon Ursaluna ex RR [SV8a 134/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-134,https://cdn.snkrdunk.com/upload_bg_removed/20241205125906-6.webp,SV8A,134,RR,5
466296,https://snkrdunk.com/apparels/466296,"Sinistcha :Monster Ball Mirror [SV8a 018/187](High Class Pack ""Terastal Festival ex"")","Sinistcha :Monster Ball Mirror [SV8a 018/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-018,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-046863_P_YABASOCHIXYA-of.webp,SV8A,018,,0
466300,https://snkrdunk.com/apparels/466300,"Charcadet :Monster Ball Mirror [SV8a 023/187](High Class Pack ""Terastal Festival ex"")","Charcadet :Monster Ball Mirror [SV8a 023/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-023,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-046865_P_KARUBOU-of.webp,SV8A,023,,0
466306,https://snkrdunk.com/apparels/466306,"Goldeen :Monster Ball Mirror [SV8a 028/187](High Class Pack ""Terastal Festival ex"")","Goldeen :Monster Ball Mirror [SV8a 028/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-028,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-046868_P_TOSAKINTO-of.webp,SV8A,028,,3
466309,https://snkrdunk.com/apparels/466309,"Totodile :Monster Ball Mirror [SV8a 032/187](High Class Pack ""Terastal Festival ex"")","Totodile :Monster Ball Mirror [SV8a 032/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-032,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-046871_P_WANINOKO-of.webp,SV8A,032,,0
466315,https://snkrdunk.com/apparels/466315,"Milotic :Monster Ball Mirror [SV8a 036/187](High Class Pack ""Terastal Festival ex"")","Milotic :Monster Ball Mirror [SV8a 036/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-036,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-046875_P_MIROKAROSU-of.webp,SV8A,036,,0
466316,https://snkrdunk.com/apparels/466316,"Snorunt :Monster Ball Mirror [SV8a 037/187](High Class Pack ""Terastal Festival ex"")","Snorunt :Monster Ball Mirror [SV8a 037/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-037,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-046876_P_YUKIWARASHI-of.webp,SV8A,037,,0
466320,https://snkrdunk.com/apparels/466320,"Wiglett :Monster Ball Mirror [SV8a 042/187](High Class Pack ""Terastal Festival ex"")","Wiglett :Monster Ball Mirror [SV8a 042/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-042,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-046879_P_UMIDEIGUDA-of.webp,SV8A,042,,0
466326,https://snkrdunk.com/apparels/466326,"Palafin :Monster Ball Mirror [SV8a 045/187](High Class Pack ""Terastal Festival ex"")","Palafin :Monster Ball Mirror [SV8a 045/187](High Class Pack ""Terastal Festival ex"")",pkmn-tcg-SV8a-045,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-046882_P_IRUKAMAN-of.webp,SV8A,045,,2
