card_id,name,rarity,num,jp_ref,en_ref,selected_source,ko_current,selected_raw_krw,coef_current,en_raw,jp_raw,snk_raw,snk_n,jp_p10,jp_p9,snk_p10,snk_p9,scry_ladder,snk_ladder,pricing_mode,jp_coef,jp_coef_scope,ko_via_jp,ko_via_snk,mult_jp,mult_snk,selection_bug_raw,underpriced_by_jp,underpriced_by_snk,coef_missing,actionable,category
CRD_DDED4EDE29E446F7B0C3,릴리에,SR,065/060,sm1m_ja-66,sm1-147,EN,12646,75272,0.168000,75272,7125000,4465000,2,11403263,3151228,13268327,3040000,PSA10 > RAW > PSA9,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,2768982,1735228,219.0,137.2,True,True,True,False,True,UNDERPRICED
CRD_95F74899B927469997D4,아세로라,SR,056/049,sm2p_ja-56,sm3-142,EN,13051,77684,0.168000,77684,5700000,0,0,5709560,2914165,14725000,2850000,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,2215185,,169.7,,True,True,False,False,True,UNDERPRICED
CRD_774A388CB1DC46F384AE,뮤츠 EX,SR,108/100,cp6_ja-95,xy12-103,EN,8047,59877,0.134400,59641,2850000,0,0,4216347,808865,4233827,1662500,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,1107593,,137.6,,True,True,False,False,True,UNDERPRICED
CRD_C7EE29160ED94C72BB44,이슬의 의욕,SR,113/100,cp6_ja-99,xy12-108,EN,7884,58663,0.134400,58663,1900000,0,0,2137459,646843,2422500,1140000,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,738395,,93.7,,True,True,False,False,True,UNDERPRICED
CRD_435238B98B534ED1A50A,마마네,SR,057/049,NO_JP,sm3-146,EN,1851,11017,0.168000,11017,109713,427500,2,473785,331187,1045000,313500,PSA10 > PSA9 > RAW,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,42638,166139,23.0,89.8,True,True,True,False,True,UNDERPRICED
CRD_66939CDD71824EF5877F,루자미네,SR,055/050,sm4a_ja-55,sm4-110,EN,11203,66683,0.168000,66683,1615000,0,0,2023974,762294,2131762,969000,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,627636,,56.0,,True,True,False,False,True,UNDERPRICED
CRD_D9AD2D4FCCF34C3D93DB,블래키 EX,SR,082/078,xy10_ja-82,xy10-119,EN,30418,226324,0.134400,225276,4275000,0,0,7108079,0,8645000,2280000,PSA10 > RAW,PSA10 > PSA9,COEF,0.388629,RARITY,1661389,,54.6,,True,True,False,False,True,UNDERPRICED
CRD_6844172254A344548A6C,코르니,SR,102/096,xy3_ja-102,xy3-111,EN,8246,61352,0.134400,61068,1140000,0,0,1536480,346476,1291990,0,PSA10 > RAW > PSA9,PSA10,COEF,0.388629,RARITY,443037,,53.7,,True,True,False,False,True,UNDERPRICED
CRD_866593D4A5494DF285FE,이브이,AR,755/742,NO_JP,svp-173,EN,7863,22863,0.343900,22757,0,746643,73,0,0,1467740,394250,,PSA10 > RAW > PSA9,COEF,0.535789,RARITY,,400043,,50.9,False,False,True,False,True,UNDERPRICED
CRD_7A536360D1EC48FB885A,피카츄,PR,,NO_JP,xy3-27,EN,2620,8159,0.321100,8121,0,1425000,1,0,0,3990000,931000,,PSA10 > RAW > PSA9,COEF,0.085544,RARITY,,121900,,46.5,False,False,True,False,True,UNDERPRICED
CRD_7677BD40116548CBA138,포켓몬 레인저,SR,058/054,xy11c_ja-58,xy11-113,EN,1602,11923,0.134400,11868,190000,0,0,322461,0,254600,95000,PSA10 > RAW,PSA10 > PSA9,COEF,0.388629,RARITY,73840,,46.1,,True,True,False,False,True,UNDERPRICED
CRD_9B730AEF79F94A5BB4C8,선배&후배,SR,078/070,xy5g_ja-77,xy5-160,EN,6001,44650,0.134400,44443,712500,0,0,540749,444212,1025050,475000,RAW > PSA10 > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,276898,,46.1,,True,True,False,False,True,UNDERPRICED
CRD_BE12D91B22794119B3E1,글레이시아 EX,SR,079/078,xy10_ja-79,xy10-116,EN,6912,51426,0.134400,51188,807500,0,0,3841200,0,0,0,PSA10 > RAW,,COEF,0.388629,RARITY,313818,,45.4,,True,True,False,False,True,UNDERPRICED
CRD_3E0AD8CAAB4F44D5B183,레시라무,SR,055/053,bw1b_ja-55,bw1-113,EN,16858,168583,0.100000,167802,1900000,1026000,1,6499387,487033,2422500,0,PSA10 > RAW > PSA9,PSA10 > RAW,COEF,0.388629,RARITY,738395,398733,43.8,23.7,True,True,True,False,True,UNDERPRICED
CRD_67397D46BAC44F998127,피죤투 EX,SR,109/100,cp6_ja-96,xy12-104,EN,2342,17424,0.134400,17343,237500,218500,1,399715,55267,520600,189990,PSA10 > RAW > PSA9,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,92299,84915,39.4,36.3,True,True,True,False,True,UNDERPRICED
CRD_2E8CB13E9FEE40A28A14,웅의 근성,SR,112/100,cp6_ja-100,xy12-107,EN,2168,16133,0.134400,16058,218500,0,0,292023,193228,361000,0,PSA10 > RAW > PSA9,PSA10,COEF,0.388629,RARITY,84915,,39.2,,True,True,False,False,True,UNDERPRICED
