card_id,name,rarity,collection_number,jp_ref,en_ref,ko_price,selected_source,coef_key,coef_value,en_raw_krw,true_raw_estimate_krw,estimate_basis,under_x,severity,snk_raw_krw,snk_n,snk_psa10_krw,jp_raw_krw,jp_psa10_krw,jp_psa9_krw,ladder_broken,blind_spot_low62,en_fallback,snk_quality
CRD_4CA4DA6436B34162B705,카푸느지느 GX,SR,052/049,sm2p_ja-52,sm3-133,1497,EN,en_SM_SR,0.168000,8912,9218880,SCRYDEX_JP_RAW,6158.2,CRITICAL,0,0,0,9218880,183568,0,RAW_OVER_PSA10,Y,Y,NO_SNK
CRD_E50466E481104F58984B,비파리온 GX,SR,055/051,sm1p_ja-55,sm2-134,745,JP,jp_SM_SR,0.078400,9500,1536480,SCRYDEX_JP_RAW,2062.4,CRITICAL,0,0,0,1536480,0,0,,,,NO_SNK
CRD_7EBB72125E6E436B8589,피카츄,SM-P,164/SM-P,NO_JP,sm11-55,720,EN,en_GLOBAL,0.321100,2243,475000,SNK_RAW(n4),659.7,CRITICAL,475000,4,2641000,0,0,0,,Y,,SNK_THIN
CRD_8D798C34EC514D40851D,피카츄,SM-P,069/SM-P,NO_JP,sm3-40,424,EN,en_GLOBAL,0.321100,1321,269401,SNK_RAW(n4),635.4,CRITICAL,269401,4,607981,0,0,0,,Y,,SNK_THIN
CRD_7A536360D1EC48FB885A,피카츄,PR,,NO_JP,xy3-27,2620,EN,en_GLOBAL,0.321100,8159,1425000,SNK_RAW(n1),543.9,CRITICAL,1425000,1,3990000,0,0,0,,Y,,SNK_THIN
CRD_DDED4EDE29E446F7B0C3,릴리에,SR,065/060,sm1m_ja-66,sm1-147,12646,EN,en_SM_SR,0.168000,75272,4465000,SNK_RAW(n2),353.1,CRITICAL,4465000,2,13268327,0,11347897,3135928,,Y,Y,SNK_THIN
CRD_C7EE29160ED94C72BB44,이슬의 의욕,SR,113/100,cp6_ja-99,xy12-108,7884,EN,en_XY_SR,0.134400,58663,1900000,SCRYDEX_JP_RAW,241.0,CRITICAL,0,0,2422500,1900000,1448352,643702,RAW_OVER_PSA9;RAW_OVER_PSA10,Y,Y,NO_SNK
CRD_435238B98B534ED1A50A,마마네,SR,057/049,NO_JP,sm3-146,1851,EN,en_SM_SR,0.168000,11017,427500,SNK_RAW(n2),231.0,CRITICAL,427500,2,1045000,115236,0,0,,Y,,SNK_THIN
CRD_95F74899B927469997D4,아세로라,SR,056/049,sm2p_ja-56,sm3-142,13051,EN,en_SM_SR,0.168000,77684,2208750,PSA10x0.15,169.2,CRITICAL,0,0,14725000,0,5681838,2900016,,Y,Y,NO_SNK
CRD_AA4A41F8F67F4044A169,레쿠쟈 EX,PR,,xyp_ja-123,xyp-XY66,4975,JP,jp_PR,0.085500,58187,712500,SNK_RAW(n5),143.2,CRITICAL,712500,5,2652077,39180,2542795,0,,,,SNK_CONFIRMED
CRD_D9AD2D4FCCF34C3D93DB,블래키 EX,SR,082/078,xy10_ja-82,xy10-119,30418,EN,en_XY_SR,0.134400,226324,4275000,SCRYDEX_JP_RAW,140.5,CRITICAL,0,0,8645000,4275000,7073568,0,,Y,Y,NO_SNK
CRD_6844172254A344548A6C,코르니,SR,102/096,xy3_ja-102,xy3-111,8246,EN,en_XY_SR,0.134400,61352,1140000,SCRYDEX_JP_RAW,138.2,CRITICAL,0,0,1291990,1140000,1529020,344794,RAW_OVER_PSA9,Y,Y,NO_SNK
