card_id,card_name,current_scrydex_price,approved_snk_price,diff_krw,diff_pct,snk_n,latest_trade_date,action,reviewer_decision,FLAG_THIN_EVIDENCE,rarity,collection_number,snkrdunk_apparel_id,snk_A_basis,snk_A_n_3m,ladder_violation,confidence,priority
CRD_0D1FEC3632AD4FED9507,파밀리쥐,60153,29440,-30713,-51.1,8,2026-06-28,REPLACE_RAW_WITH_SNK_A,APPROVED_REPLACE_WITH_SNK by operator @2026-06-30 08:17:05,false,AR,081/071,117192,A_1M,24,SNK_DIVERGENCE_HIGH,STRONG_REPLACE,HIGH
CRD_1F45F12DC0264E98B4E1,메가눈여아 ex,45403,21850,-23553,-51.9,9,2026-06-28,REPLACE_RAW_WITH_SNK_A,APPROVED_REPLACE_WITH_SNK by operator @2026-06-30 08:16:59,false,SAR,233/193,730955,A_1M,36,SNK_DIVERGENCE_HIGH,STRONG_REPLACE,HIGH
CRD_227EEF4A668D4B91A0DE,메가드래캄 ex,46847,19000,-27847,-59.4,10,2026-06-14,REPLACE_RAW_WITH_SNK_A,APPROVED_REPLACE_WITH_SNK by operator @2026-06-30 08:16:43,false,SAR,116/083,776367,A_1M,47,SNK_DIVERGENCE_HIGH,STRONG_REPLACE,HIGH
CRD_4CBEC2D7C8DF430DA560,메가플라엣테 ex,42975,18516,-24459,-56.9,8,2026-06-28,REPLACE_RAW_WITH_SNK_A,APPROVED_REPLACE_WITH_SNK by operator @2026-06-30 08:16:52,false,SAR,115/083,776366,A_1M,44,SNK_DIVERGENCE_HIGH,STRONG_REPLACE,HIGH
CRD_8C4E0B58B9AB4FD8A901,메가루차불 ex,37713,14250,-23463,-62.2,8,2026-06-19,REPLACE_RAW_WITH_SNK_A,APPROVED_REPLACE_WITH_SNK by operator @2026-06-30 08:12:08,false,SAR,239/193,731022,A_1M,31,SNK_DIVERGENCE_HIGH,STRONG_REPLACE,HIGH
CRD_BD23A2FE3D6140978DFB,테오키스 VSTAR,59692,27550,-32142,-53.8,7,2026-06-29,REPLACE_RAW_WITH_SNK_A,APPROVED_REPLACE_WITH_SNK by operator @2026-06-30 08:16:17,false,SAR,223/172,103665,A_1M,25,RAW_OVER_PSA9;SNK_DIVERGENCE_HIGH,STRONG_REPLACE,HIGH
CRD_BECB62345F92435AB0E2,메가곤율거니 ex,25198,10194,-15004,-59.5,8,2026-06-25,REPLACE_RAW_WITH_SNK_A,APPROVED_REPLACE_WITH_SNK by operator @2026-06-30 08:16:35,false,SAR,241/193,730960,A_1M,25,SNK_DIVERGENCE_HIGH,STRONG_REPLACE,HIGH
CRD_D9C0CF682CE44A96BED2,네오라이트 V,27641,13775,-13866,-50.2,3,2026-06-12,REPLACE_RAW_WITH_SNK_A,APPROVED_REPLACE_WITH_SNK by operator @2026-06-30 08:17:14,true,SAR,216/172,103072,A_1M,13,SNK_DIVERGENCE_HIGH,REVIEW_REPLACE,HIGH
CRD_EA6C638A5EAE4EE0996B,메가샤크니아 ex,22556,9975,-12581,-55.8,6,2026-06-29,REPLACE_RAW_WITH_SNK_A,APPROVED_REPLACE_WITH_SNK by operator @2026-06-30 08:16:56,false,SAR,113/080,704404,A_1M,11,SNK_DIVERGENCE_HIGH,STRONG_REPLACE,HIGH
CRD_ECCF09117F0E4F4BBCF1,히스이 조로아크 VSTAR,63411,28975,-34436,-54.3,3,2026-06-15,REPLACE_RAW_WITH_SNK_A,APPROVED_REPLACE_WITH_SNK by operator @2026-06-30 08:12:04,true,SAR,234/172,103078,A_1M,22,RAW_OVER_PSA9;SNK_DIVERGENCE_HIGH,REVIEW_REPLACE,HIGH
