card_id,scope,era,rarity,coef_type,coef,sample_count
CRD_0FAEC0B6410647398E22,CARD,,SAR,BLEND,0.123873,8
CRD_0FAEC0B6410647398E22,CARD,,SAR,JP,0.178308,8
CRD_0FAEC0B6410647398E22,CARD,,SAR,EN,0.090381,7
CRD_4926DF1CF0484F49BC50,CARD,,SR,BLEND,0.176106,8
CRD_4926DF1CF0484F49BC50,CARD,,SR,JP,0.204696,8
CRD_4926DF1CF0484F49BC50,CARD,,SR,EN,0.154523,8
CRD_768F67D90A2142609676,CARD,,SR,BLEND,1.000000,8
CRD_768F67D90A2142609676,CARD,,SR,JP,0.828249,8
CRD_768F67D90A2142609676,CARD,,SR,EN,1.000000,8
CRD_053F45EBABE44DD09C9B,CARD,,AR,BLEND,0.103881,17
CRD_053F45EBABE44DD09C9B,CARD,,AR,JP,0.203187,18
CRD_053F45EBABE44DD09C9B,CARD,,AR,EN,0.070382,17
CRD_69525AAF5E3C4C99AB79,CARD,,SAR,JP,0.182326,5
CRD_69525AAF5E3C4C99AB79,CARD,,SAR,EN,0.126940,5
CRD_7633E4DC01B743F4A4BC,CARD,,SAR,BLEND,0.132776,8
CRD_7633E4DC01B743F4A4BC,CARD,,SAR,JP,0.225735,8
CRD_7633E4DC01B743F4A4BC,CARD,,SAR,EN,0.095454,8
CRD_9C2FBC6E628A43679527,CARD,,SAR,BLEND,0.596284,20
CRD_9C2FBC6E628A43679527,CARD,,SAR,JP,0.498886,20
CRD_9C2FBC6E628A43679527,CARD,,SAR,EN,0.745646,20
CRD_98B1AD5A09294E4AA9F5,CARD,,UR,BLEND,0.294687,6
CRD_98B1AD5A09294E4AA9F5,CARD,,UR,JP,0.377226,6
CRD_98B1AD5A09294E4AA9F5,CARD,,UR,EN,0.241800,6
CRD_8F6DB567A7EF4D5F9742,CARD,,BWR,BLEND,0.223603,13
CRD_8F6DB567A7EF4D5F9742,CARD,,BWR,JP,0.325980,13
CRD_8F6DB567A7EF4D5F9742,CARD,,BWR,EN,0.170162,13
CRD_6BAEC561FD824CA68028,CARD,,MA,BLEND,0.223870,13
CRD_6BAEC561FD824CA68028,CARD,,MA,JP,0.229073,13
CRD_6BAEC561FD824CA68028,CARD,,MA,EN,0.218899,13
CRD_8B92FB178FE6408F833B,CARD,,SR,BLEND,0.376774,6
CRD_8B92FB178FE6408F833B,CARD,,SR,JP,0.329955,6
CRD_8B92FB178FE6408F833B,CARD,,SR,EN,0.439435,6
CRD_59976B37A8E84CBF8304,CARD,,SR,BLEND,1.000000,6
CRD_59976B37A8E84CBF8304,CARD,,SR,JP,1.000000,6
CRD_59976B37A8E84CBF8304,CARD,,SR,EN,1.000000,6
CRD_2A791989EEEC43F481BB,CARD,,SAR,BLEND,0.188892,12
CRD_2A791989EEEC43F481BB,CARD,,SAR,JP,0.300498,12
CRD_2A791989EEEC43F481BB,CARD,,SAR,EN,0.137736,12
CRD_89F870261BCE4E9C87D5,CARD,,SAR,BLEND,0.467115,8
CRD_89F870261BCE4E9C87D5,CARD,,SAR,JP,0.341699,8
CRD_89F870261BCE4E9C87D5,CARD,,SAR,EN,0.737984,8
CRD_F0387563D342474298CC,CARD,,SAR,BLEND,0.117400,7
CRD_F0387563D342474298CC,CARD,,SAR,JP,0.304420,7
CRD_F0387563D342474298CC,CARD,,SAR,EN,0.072723,7
CRD_68DB6AC7C4BB4ACD92ED,CARD,,AR,BLEND,0.432296,10
CRD_68DB6AC7C4BB4ACD92ED,CARD,,AR,JP,0.519619,10
CRD_68DB6AC7C4BB4ACD92ED,CARD,,AR,EN,0.370109,10
CRD_579416A2A535432F8F30,CARD,,SAR,BLEND,0.173904,5
CRD_579416A2A535432F8F30,CARD,,SAR,JP,0.290083,5
CRD_579416A2A535432F8F30,CARD,,SAR,EN,0.124173,5
CRD_269A7AD114DA491CA9AC,CARD,,BWR,BLEND,0.261152,8
CRD_269A7AD114DA491CA9AC,CARD,,BWR,JP,0.349428,8
CRD_269A7AD114DA491CA9AC,CARD,,BWR,EN,0.208487,8
CRD_B6F05ABED7AE47BAAD56,CARD,,SR,BLEND,0.741257,6
CRD_B6F05ABED7AE47BAAD56,CARD,,SR,JP,0.709118,6
CRD_B6F05ABED7AE47BAAD56,CARD,,SR,EN,0.776454,6
CRD_157F33DF43A34D268793,CARD,,AR,BLEND,0.127930,5
CRD_157F33DF43A34D268793,CARD,,AR,JP,0.251981,5
CRD_157F33DF43A34D268793,CARD,,AR,EN,0.085727,5
CRD_280E5479B51D442889C9,CARD,,SAR,BLEND,0.553202,6
CRD_280E5479B51D442889C9,CARD,,SAR,JP,0.397478,6
CRD_280E5479B51D442889C9,CARD,,SAR,EN,0.909779,6
CRD_D0443324171B2CC0D77258357000A417,CARD,,PR,JP,0.048435,40
CRD_F992B99929D74209A136,CARD,,S,JP,1.000000,7
CRD_8DA52922128149E3B77A,CARD,,SAR,BLEND,0.510681,7
CRD_8DA52922128149E3B77A,CARD,,SAR,JP,0.540737,7
CRD_8DA52922128149E3B77A,CARD,,SAR,EN,0.483789,7
CRD_123A0C58771F4B76BBFE,CARD,,SR,BLEND,0.190499,5
CRD_123A0C58771F4B76BBFE,CARD,,SR,JP,0.123719,5
CRD_123A0C58771F4B76BBFE,CARD,,SR,EN,0.413928,5
CRD_D629521D90F54884A73E,CARD,,SAR,BLEND,0.298995,8
CRD_D629521D90F54884A73E,CARD,,SAR,JP,0.465745,8
CRD_D629521D90F54884A73E,CARD,,SAR,EN,0.220168,8
CRD_F92441CD205348ABA0D0,CARD,,AR,EN,0.439775,6
CRD_24D79E9DD4E24DDFB538,CARD,,AR,BLEND,0.242952,6
CRD_24D79E9DD4E24DDFB538,CARD,,AR,JP,0.417713,6
CRD_24D79E9DD4E24DDFB538,CARD,,AR,EN,0.171289,6
CRD_43BC0926ACC14BDDAA6B,CARD,,SAR,BLEND,0.244051,7
CRD_43BC0926ACC14BDDAA6B,CARD,,SAR,JP,0.342470,7
CRD_43BC0926ACC14BDDAA6B,CARD,,SAR,EN,0.189572,7
CRD_95C332448C1748B0AA30,CARD,,SAR,BLEND,0.193593,5
CRD_95C332448C1748B0AA30,CARD,,SAR,JP,0.327000,5
CRD_95C332448C1748B0AA30,CARD,,SAR,EN,0.135435,5
,RARITY,,SAR,BLEND,0.276637,293
