card_id,source,card_status,grade,raw_price,raw_currency,price,traded
CRD_00182F81CA884726A6BB,SCRYDEX_EN,RAW,,22.2800,USD,34233,2026-06-29
CRD_00182F81CA884726A6BB,SCRYDEX_JP,GRADED,10,,,159164,2026-06-29
CRD_00182F81CA884726A6BB,SCRYDEX_JP,GRADED,9,,,61797,2026-06-29
CRD_00182F81CA884726A6BB,SCRYDEX_JP,RAW,,18.6300,USD,28625,2026-06-29
CRD_003510A0066E4AF58922,SCRYDEX_EN,RAW,,15.3500,USD,23476,2026-06-05
CRD_003510A0066E4AF58922,SCRYDEX_JP,GRADED,10,,,70263,2026-06-29
CRD_003510A0066E4AF58922,SCRYDEX_JP,GRADED,9,,,18330,2026-06-29
CRD_003510A0066E4AF58922,SCRYDEX_JP,RAW,,9.1600,USD,14074,2026-06-29
CRD_0045DA17CE1F46BFB915,SCRYDEX_EN,RAW,,14.9500,USD,22970,2026-06-29
CRD_0052886022F54674939E,SCRYDEX_EN,RAW,,2.2200,USD,3395,2026-06-05
CRD_0052886022F54674939E,SCRYDEX_JP,GRADED,10,,,33234,2026-06-29
CRD_0052886022F54674939E,SCRYDEX_JP,GRADED,9,,,14873,2026-06-29
CRD_0052886022F54674939E,SCRYDEX_JP,RAW,,1.5800,USD,2428,2026-06-29
CRD_0060AA44D0824398AB42,SCRYDEX_EN,RAW,,0.7600,USD,1162,2026-06-05
CRD_0060AA44D0824398AB42,SCRYDEX_JP,GRADED,10,,,48722,2026-06-29
CRD_0060AA44D0824398AB42,SCRYDEX_JP,GRADED,9,,,10786,2026-06-29
CRD_0060AA44D0824398AB42,SCRYDEX_JP,RAW,,1.4500,USD,2228,2026-06-29
CRD_007D898667D84D8F9B7E,SCRYDEX_EN,RAW,,128.0600,USD,195851,2026-06-05
CRD_007D898667D84D8F9B7E,SCRYDEX_JP,GRADED,10,,,2494644,2026-06-29
CRD_007D898667D84D8F9B7E,SCRYDEX_JP,GRADED,9,,,653742,2026-06-29
CRD_007D898667D84D8F9B7E,SCRYDEX_JP,RAW,,99.9500,USD,153571,2026-06-29
CRD_0099D36F822141DF8467,SCRYDEX_EN,RAW,,0.8800,USD,1346,2026-06-05
CRD_0099D36F822141DF8467,SCRYDEX_JP,RAW,,69.9900,USD,107538,2026-06-29
CRD_00A1C8B22B694905AABF,SCRYDEX_EN,RAW,,3.5900,USD,5490,2026-06-05
CRD_00B0A094D2434026AD56,SCRYDEX_EN,RAW,,3.2000,USD,4894,2026-06-05
CRD_00B0A094D2434026AD56,SCRYDEX_JP,GRADED,10,,,50950,2026-06-29
CRD_00B0A094D2434026AD56,SCRYDEX_JP,GRADED,9,,,27795,2026-06-29
CRD_00B0A094D2434026AD56,SCRYDEX_JP,RAW,,1.9700,USD,3027,2026-06-29
CRD_00C3F08C0B7C41B1A2DA,SCRYDEX_EN,RAW,,5.2200,USD,7983,2026-06-05
CRD_00C3F08C0B7C41B1A2DA,SCRYDEX_JP,GRADED,10,,,56527,2026-06-29
CRD_00C3F08C0B7C41B1A2DA,SCRYDEX_JP,GRADED,9,,,30730,2026-06-29
CRD_00C3F08C0B7C41B1A2DA,SCRYDEX_JP,RAW,,3.9100,USD,6008,2026-06-29
CRD_00D37F11A42A4F6EAD16,SCRYDEX_EN,RAW,,59.1800,USD,90508,2026-06-05
CRD_00D37F11A42A4F6EAD16,SCRYDEX_JP,GRADED,10,,,630833,2026-06-29
CRD_00D37F11A42A4F6EAD16,SCRYDEX_JP,GRADED,9,,,110534,2026-06-29
CRD_00D37F11A42A4F6EAD16,SCRYDEX_JP,RAW,,30.0000,USD,46094,2026-06-29
CRD_010576BAD6694C708F4E,SCRYDEX_EN,RAW,,13.6000,USD,20896,2026-06-29
CRD_010576BAD6694C708F4E,SCRYDEX_JP,GRADED,10,,,47354,2026-06-29
CRD_010576BAD6694C708F4E,SCRYDEX_JP,RAW,,3.6100,USD,5547,2026-06-29
CRD_010A7FF3B3854654B6A1,SCRYDEX_EN,RAW,,14.2200,USD,21456,2026-06-18
CRD_010A7FF3B3854654B6A1,SCRYDEX_JP,GRADED,10,,,87579,2026-06-29
CRD_010A7FF3B3854654B6A1,SCRYDEX_JP,GRADED,9,,,13828,2026-06-29
CRD_010A7FF3B3854654B6A1,SCRYDEX_JP,RAW,,11.0300,USD,16947,2026-06-29
CRD_0121009428B847BEBE66,SCRYDEX_EN,RAW,,9.8300,USD,15034,2026-06-05
CRD_0121009428B847BEBE66,SCRYDEX_JP,GRADED,10,,,199850,2026-06-29
CRD_0121009428B847BEBE66,SCRYDEX_JP,GRADED,9,,,61444,2026-06-29
CRD_0121009428B847BEBE66,SCRYDEX_JP,RAW,,23.3800,USD,35923,2026-06-29
CRD_013491CECA2E446F9AB8,SCRYDEX_EN,RAW,,0.8400,USD,1285,2026-06-05
CRD_013491CECA2E446F9AB8,SCRYDEX_JP,GRADED,10,,,26735,2026-06-29
CRD_013491CECA2E446F9AB8,SCRYDEX_JP,GRADED,9,,,16901,2026-06-29
CRD_013491CECA2E446F9AB8,SCRYDEX_JP,RAW,,0.4200,USD,645,2026-06-29
CRD_0136A086A0EE4B56BD13,SCRYDEX_EN,RAW,,1.3200,USD,2019,2026-06-05
CRD_0136A086A0EE4B56BD13,SCRYDEX_JP,GRADED,10,,,96230,2026-06-29
