apparel_id,detail_url,jp_title,en_name,product_number,image_url,set,number,rarity,used_listing_count
753242,https://snkrdunk.com/apparels/753242,ニャースex SAR [M3 114/080](拡張パック「ムニキスゼロ」),"Meowth ex SAR [M3 114/080](Expansion Pack ""Munikis / Nihil Zero"")",pkmn-tcg-M3-114,https://cdn.snkrdunk.com/upload_bg_removed/20260122103126-0.webp,M3,114/080,SAR,
753256,https://snkrdunk.com/apparels/753256,コフーライ AR [M3 081/080](拡張パック「ムニキスゼロ」),"Spewpa AR [M3 081/080](Expansion Pack ""Munikis / Nihil Zero"")",pkmn-tcg-M3-081,https://cdn.snkrdunk.com/upload_bg_removed/20260122103647-0.webp,M3,081/080,AR,
753257,https://snkrdunk.com/apparels/753257,モクロー AR [M3 082/080](拡張パック「ムニキスゼロ」),"Rowlet AR [M3 082/080](Expansion Pack ""Munikis / Nihil Zero"")",pkmn-tcg-M3-082,https://cdn.snkrdunk.com/upload_bg_removed/20260122103636-0.webp,M3,082/080,AR,
753258,https://snkrdunk.com/apparels/753258,デデンネ AR [M3 085/080](拡張パック「ムニキスゼロ」),"Dedenne AR [M3 085/080](Expansion Pack ""Munikis / Nihil Zero"")",pkmn-tcg-M3-085,https://cdn.snkrdunk.com/upload_bg_removed/20260122103600-0.webp,M3,085/080,AR,
753259,https://snkrdunk.com/apparels/753259,ニダンギル AR [M3 091/080](拡張パック「ムニキスゼロ」),"Doublade AR [M3 091/080](Expansion Pack ""Munikis / Nihil Zero"")",pkmn-tcg-M3-091,https://cdn.snkrdunk.com/upload_bg_removed/20260122103442-0.webp,M3,091/080,AR,
753260,https://snkrdunk.com/apparels/753260,ラッタ AR [M3 092/080](拡張パック「ムニキスゼロ」),"Raticate AR [M3 092/080](Expansion Pack ""Munikis / Nihil Zero"")",pkmn-tcg-M3-092,https://cdn.snkrdunk.com/upload_bg_removed/20260122103412-0.webp,M3,092/080,AR,
753261,https://snkrdunk.com/apparels/753261,ジュナイパーex SR [M3 093/080](拡張パック「ムニキスゼロ」),"Decidueye ex SR [M3 093/080](Expansion Pack ""Munikis / Nihil Zero"")",pkmn-tcg-M3-093,https://cdn.snkrdunk.com/upload_bg_removed/20260122103404-0.webp,M3,093/080,SR,
753262,https://snkrdunk.com/apparels/753262,メガスターミーex SR [M3 095/080](拡張パック「ムニキスゼロ」),"MEGA Starmie ex SR [M3 095/080](Expansion Pack ""Munikis / Nihil Zero"")",pkmn-tcg-M3-095,https://cdn.snkrdunk.com/upload_bg_removed/20260122103343-0.webp,M3,095/080,SR,
753263,https://snkrdunk.com/apparels/753263,メガピクシーex SR [M3 096/080](拡張パック「ムニキスゼロ」),"MEGA Clefable ex SR [M3 096/080](Expansion Pack ""Munikis / Nihil Zero"")",pkmn-tcg-M3-096,https://cdn.snkrdunk.com/upload_bg_removed/20260122103331-0.webp,M3,096/080,SR,
753264,https://snkrdunk.com/apparels/753264,メガジガルデex SR [M3 097/080](拡張パック「ムニキスゼロ」),"MEGA Zygarde ex SR [M3 097/080](Expansion Pack ""Munikis / Nihil Zero"")",pkmn-tcg-M3-097,https://cdn.snkrdunk.com/upload_bg_removed/20260122103318-0.webp,M3,097/080,SR,
