card_id,name,apparel_id,usedMinPrice,usedListingCount,A1m_n,A1m_med,A1m_latest,A3m_n,A3m_med,A3m_latest,PSA10_1m_n,PSA10_1m_med,PSA10_3m_n,PSA10_3m_med,PSA9_1m_n,PSA9_1m_med,PSA9_3m_n,PSA9_3m_med,data_quality
CRD_ED421019893142159D1C,리자몽 VSTAR,325079,1000,43,5,2500,2500,28,3999,2500,4,22375,24,28399,2,5500,7,5000,A_1M_OK
CRD_A4507E6EECB24AD88AC1,이브이 V,326267,2680,48,1,5000,5000,9,5900,5000,20,13731,64,15785,0,0,1,5500,A_1M_OK
CRD_3676B88FE7374BDBB1B2,뮤츠 ex,136229,1000,5,0,0,0,0,0,0,1,12912,0,0,0,0,0,0,PSA_ONLY
CRD_7A536360D1EC48FB885A,피카츄,91428,21000,12,0,0,0,1,150000,150000,1,420000,4,369999,0,0,1,98000,A_3M_FB
CRD_593E4A28970A4C3C8255,이상해꽃 V,380072,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_5C57E2D4DFC8419EAFAA,거북왕 EX,413429,11000,4,0,0,0,0,0,0,2,17000,3,15000,0,0,1,3823,PSA_ONLY
CRD_AA4A41F8F67F4044A169,레쿠쟈 EX,411767,3000,80,2,75000,60000,5,80000,60000,2,279166,20,222500,3,85000,9,65800,A_1M_OK
CRD_B837D3F1A54647279AEC,뮤 EX,91584,22222,22,0,0,0,0,0,0,4,897500,14,914000,0,0,3,220000,PSA_ONLY
CRD_A4E698560C3F430A9CE4,루카리오 VSTAR,326028,1000,14,1,2200,2200,9,2040,2200,1,18000,4,22400,0,0,0,0,A_1M_OK
CRD_7FEAB602A0214CDAB632,파이리,128084,3000,120,14,5825,8999,65,6000,8999,26,21974,78,22940,5,7000,22,7000,A_1M_OK
CRD_302EC9D2C71947778B51,꼬부기,128086,3000,73,10,3950,3699,56,4321,3699,24,18187,78,18465,4,7480,25,6300,A_1M_OK
CRD_304D28B61C7F409C86A4,이상해씨,657361,1000,88,11,1000,1000,32,1000,1000,28,7699,80,7721,6,3700,17,3200,A_1M_OK
CRD_8DE3C0F874CB476BAA7D,마기라스 V,379625,3000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_7F2DC1D44D784529BCCE,M한카리아스 EX,413484,70000,4,0,0,0,0,0,0,3,69000,7,67990,0,0,0,0,PSA_ONLY
CRD_64C02283DD0E49BEA124,갸라도스 GX,397445,4000,9,0,0,0,2,2700,3300,0,0,6,28750,0,0,0,0,A_3M_FB
CRD_00A1C8B22B694905AABF,개굴닌자 V,802481,1000,8,1,1000,1000,0,0,0,1,9665,0,0,0,0,0,0,A_1M_OK
CRD_C6A45AC1265148B69725,M후딘 EX,385895,17000,1,0,0,0,0,0,0,1,15800,2,14650,1,4500,1,4500,PSA_ONLY
CRD_3A3F2713FE8C47F69F71,캥카 GX,407431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_C57E69F6FE4A4DE4BC7F,제크로무 EX,91569,20000,12,0,0,0,0,0,0,0,0,3,275000,0,0,2,52500,PSA_ONLY
