card_id,card_name,rarity,collection_number,snkrdunk_apparel_id,mapping_status,scrydex_jp_latest_krw,scrydex_jp_30d_median_krw,scrydex_jp_source_date,snk_A_1m_points,snk_A_1m_median_jpy,snk_A_1m_latest_jpy,snk_A_3m_points,snk_A_3m_median_jpy,snk_A_3m_latest_jpy,snk_PSA10_1m_points,snk_PSA10_1m_median_jpy,snk_PSA10_3m_points,snk_PSA10_3m_median_jpy,snk_PSA9_1m_points,snk_PSA9_1m_median_jpy,snk_PSA9_3m_points,snk_PSA9_3m_median_jpy,usedMinPrice_jpy,usedListingCount,selected_snk_raw_jpy,selected_snk_basis,selected_snk_krw,ratio_scrydex_to_snk,diff_pct,data_quality,notes
CRD_7A536360D1EC48FB885A,피카츄,PR,,91428,high_confidence,0,0,,0,0,0,1,150000,150000,1,420000,4,369999,0,0,1,98000,21000,12,150000,A_3M,1425000,,,SNK_A_3M_FALLBACK,
CRD_C57E69F6FE4A4DE4BC7F,제크로무 EX,PR,,91569,high_confidence,0,0,,0,0,0,0,0,0,0,0,3,275000,0,0,2,52500,20000,12,0,NONE,0,,,NO_DATA,
CRD_DF5DDD6AC39442A9B8EC,메타그로스 EX,PR,,411746,high_confidence,0,0,,0,0,0,1,4980,4980,0,0,1,24980,0,0,0,0,5000,6,4980,A_3M,47310,,,SNK_A_3M_FALLBACK,
CRD_77624728BFEA41878FA1,M대짱이 EX,PR,,413470,high_confidence,0,0,,0,0,0,0,0,0,1,59800,2,59900,0,0,0,0,0,0,0,NONE,0,,,NO_DATA,
CRD_2940721DC8F64D6382C2,M앱솔 EX,PR,,413467,high_confidence,0,0,,0,0,0,0,0,0,1,44000,4,45150,0,0,0,0,48000,4,0,NONE,0,,,NO_DATA,
CRD_BF6C559F974242FA94CE,엠페르트 BREAK,PR,,413478,high_confidence,0,0,,0,0,0,0,0,0,1,49000,1,49000,0,0,0,0,0,0,0,NONE,0,,,NO_DATA,
CRD_F962598C2D154F409151,피카츄,PR,,415503,high_confidence,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,3,0,NONE,0,,,NO_DATA,
CRD_9641C573373F492FBFD8,앱솔 EX,PR,,413466,high_confidence,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19999,4,0,NONE,0,,,NO_DATA,
CRD_7F2DC1D44D784529BCCE,M한카리아스 EX,PR,,413484,high_confidence,0,0,,0,0,0,0,0,0,3,69000,7,67990,0,0,0,0,70000,4,0,NONE,0,,,NO_DATA,
CRD_593E4A28970A4C3C8255,이상해꽃 V,RR,001/414,380072,high_confidence,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1,0,NONE,0,,,NO_DATA,
