snkrdunk_product_number,set_norm,number,rarity,snkrdunk_title,used_listing_count,snkrdunk_apparel_id,snkrdunk_image_url,falsematch_our_card_id,falsematch_our_name,falsematch_score,action
pkmn-tcg-SV-P-260,SVP,260,,トウホクのピカチュウ P [SV-P 260](スペシャルBOX「ポケモンセンタートウホク」),649,618445,https://cdn.snkrdunk.com/upload_bg_removed/20250613060628-2.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-289,SVP,289,,フクオカのピカチュウ P [SV-P 289](スペシャルBOX「ポケモンセンターフクオカ」),491,618447,https://cdn.snkrdunk.com/upload_bg_removed/20250613060628-1.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-261,SVP,261,,ヒロシマのピカチュウ P [SV-P 261](スペシャルBOX「ポケモンセンターヒロシマ」),442,618446,https://cdn.snkrdunk.com/upload_bg_removed/20250613060629-3.webp,,,,ADD_CANDIDATE
pkmn-tcg-S-P-208,SP,208,,ピカチュウ:プロモ [S-P 208](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「S-P」),242,106796,https://cdn.snkrdunk.com/upload_bg_removed/20250223012350-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S-P-265,SP,265,,ピカチュウVMAX: プロモ P [S-P 265](月刊コロコロコミック2022年2月号付録),234,328774,https://cdn.snkrdunk.com/upload_bg_removed/20240720081712-0.webp,CRD_E9EFB5201D7543CF9A76,피카츄 VMAX,0.8836,ADD_CANDIDATE
pkmn-tcg-S-P-272,SP,272,,ピカチュウ: プロモ P [S-P 272](プロモーションカード「S-P」),219,289056,https://cdn.snkrdunk.com/upload_bg_removed/20240610030912-0.webp,CRD_1EB1317E215A4D5FABEE,피카츄,0.6362,ADD_CANDIDATE
pkmn-tcg-SV-P-291,SVP,291,,ピカチュウ P [SV-P 291](プロモーションカード「SV-P」),187,705192,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-SV-P-291-of.webp,,,,ADD_CANDIDATE
pkmn-tcg-S-P-210,SP,210,,レックウザV: プロモ P [S-P 210](プロモーションカード「S-P」),184,292633,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-S-P-210.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-SM-218,SVPSM,218,,ピカチュウ P [SV-P 218](プロモカードパック「ポケカの夏がキタ！プロモカードGetキャンペーン！」),182,332798,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-SV-P-SM-218-of.webp,CRD_0902F4E6CC9047A98559,피카츄,0.9013,ADD_CANDIDATE
pkmn-tcg-S8a-P-011,S8AP,11,,マグマ団のグラードン: プロモ [S8a-P 011/025](プロモカードパック 25th ANNIVERSARY edition),161,286964,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-S8a-P-011.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-SM-216,SVPSM,216,,ピカチュウ P [SV-P 216](プロモカードパック「ポケカの夏がキタ！プロモカードGetキャンペーン！」),139,332796,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-SV-P-SM-216-of.webp,CRD_7EBB72125E6E436B8589,피카츄,0.6928,ADD_CANDIDATE
pkmn-tcg-S-P-227-226,SP227,226,,ピカチュウ: プロモ[S-P 227](プロモーションカード 「ポケモン切手BOX 見返り美人・月に雁セット」),134,91118,https://cdn.snkrdunk.com/upload_bg_removed/20240611021904-0.webp,CRD_D0443324171B2CC0D77258357000A417,스탬프박스 피카츄,0.7406,ADD_CANDIDATE
pkmn-tcg-SA-P-003,SAP,3,,レックウザ P [S-P 003](プロモーションカード「スターターセットV 購入特典」),113,666686,https://cdn.snkrdunk.com/upload_bg_removed/20250804014845-0.webp,CRD_6D78C3030D7942CB9EF0,레쿠쟈 EX,0.7053,ADD_CANDIDATE
pkmn-tcg-SV-P-067,SVP,67,,ブラッキー: プロモ (ナガバブラッキー) [SV-P 067](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),110,122059,https://cdn.snkrdunk.com/upload_bg_removed/20230523021334-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-IDN-SV-P-190,IDNSVP,190,,バティックシャツを着たピカチュウ (フラワーピカチュウ柄) P [SV-P 190]【インドネシア語版】(ピカチュウのインドネシアジャーニー),109,708760,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-IDN-SV-P-190-of.webp,,,,ADD_CANDIDATE
pkmn-tcg-XY-P-Movie-155,XYPMOVIE,155,,フーパ P (開封済) [XY-P 155](プロモーションカード「フーパのおでまし～！アルバムセット 映画公開記念」),109,408743,https://cdn.snkrdunk.com/upload_bg_removed/20241004101026-0.webp,CRD_FD0EEE3A4AF547399878,후파,0.8472,ADD_CANDIDATE
pkmn-tcg-S-P-124,SP,124,,ピカチュウ: プロモ P [S-P 124](ピカピカ！ピカチュウ！プロモカードキャンペーン),101,334018,https://cdn.snkrdunk.com/upload_bg_removed/20240728031731-0.webp,CRD_2F1F77D90BA84F3E8C7D,피카츄,0.7904,ADD_CANDIDATE
pkmn-tcg-S-P-125,SP,125,,ピカチュウ: プロモ P [S-P 125](ピカピカ！ピカチュウ！プロモカードキャンペーン),96,334019,https://cdn.snkrdunk.com/upload_bg_removed/20240728031745-0.webp,CRD_7EBB72125E6E436B8589,피카츄,0.6997,ADD_CANDIDATE
pkmn-tcg-S-P-267,SP,267,,アルセウスV: プロモ[S-P 267](プロモーションカード「S-P」),91,128518,https://cdn.snkrdunk.com/upload_bg_removed/20230620035555-0.webp,CRD_C8B01F160C314B17A057,삼삼드래 ex,0.6963,ADD_CANDIDATE
pkmn-tcg-S8a-P-015,S8AP,15,,サーナイトex δ-デルタ種 P [S8a-P 015/025](プロモカードパック「25th ANNIVERSARY edition」),91,230981,https://cdn.snkrdunk.com/upload_bg_removed/20240325092334-0.webp,CRD_46675A842A144D9E84CF,가디안 EX,0.693,ADD_CANDIDATE
pkmn-tcg-S-P-126,SP,126,,ピカチュウ: プロモ P [S-P 126](ピカピカ！ピカチュウ！プロモカードキャンペーン),88,334020,https://cdn.snkrdunk.com/upload_bg_removed/20240728031802-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-367,SMP,367,,ピカチュウ P [SM-P 367](プロモーションカード「スペシャルジャンボカードパック ミュウツー＆ミュウGX」),85,407854,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7327650-yu.webp,CRD_7EBB72125E6E436B8589,피카츄,0.6998,ADD_CANDIDATE
pkmn-tcg-SM-P-270,SMP,270,,レッドのピカチュウ: プロモ[SM-P 270](プロモーションカード「SM-P」),84,107447,https://cdn.snkrdunk.com/upload_bg_removed/20221219042024-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S-P-122,SP,122,,ピカチュウV: プロモ P [S-P 122](ピカピカ！ピカチュウ！プロモカードキャンペーン),79,334017,https://cdn.snkrdunk.com/upload_bg_removed/20240728031718-0.webp,CRD_D56048415DA2405E9DBC,피카츄 V,0.8343,ADD_CANDIDATE
pkmn-tcg-XY-P-XY6-CP-122,XYPXY6CP,122,,レックウザEX P [XY-P 122](拡張パック「エメラルドブレイク ポケモンカードチャンスキャンペーン」),76,411766,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314666-yu.webp,CRD_4EC3A525E385456A88F0,레쿠쟈 EX,0.8699,ADD_CANDIDATE
pkmn-tcg-XY-P-CRCR1-123,XYPCRCR1,123,,レックウザEX P [XY-P 123](プロモーションカード「月刊コロコロイチバン！ 2015年4月号付録」),76,411767,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314667-yu.webp,CRD_AA4A41F8F67F4044A169,레쿠쟈 EX,0.8463,ADD_CANDIDATE
pkmn-tcg-SM-P-325,SMP,325,,お茶会ごっこピカチュウ: プロモ[SM-P 325](プロモーションカード「SM-P」),73,91260,https://cdn.snkrdunk.com/upload_bg_removed/20240614012535-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S8a-P-006,S8AP,6,,ロケット団参上！: プロモ[S8a-P 006/025](プロモカードパック 25th ANNIVERSARY edition),73,199043,https://cdn.snkrdunk.com/upload_bg_removed/20240211054745-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S8a-P-018,S8AP,18,,ガブリアスC LV.X: プロモ [S8a-P 018](プロモカードパック 25th ANNIVERSARY edition),73,286967,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-S8a-P-018.webp,CRD_F1CB7ED5CD064F76B004,M헬가 EX,0.6309,ADD_CANDIDATE
pkmn-tcg-S8a-P-023,S8AP,23,,ゼルネアスEX: プロモ [S8a-P 023](プロモカードパック 25th ANNIVERSARY edition),70,286969,https://cdn.snkrdunk.com/upload_bg_removed/20240607075514-0.webp,CRD_4D37677B8AA341108958,제르네아스 EX,0.9329,ADD_CANDIDATE
pkmn-tcg-M-P-043,MP,43,,ロケット団のミュウツーex P [M-P 043](メガ「プロモーションカード」),69,745687,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-2025-12-26-2-016-of.webp,CRD_B2272D4D776044FE9ABF,로켓단의 뮤츠 ex,0.846,ADD_CANDIDATE
pkmn-tcg-PROMO-030,PROMO,30,,リザードンEX PROMO [030/XY-P] (2014年コロコロコミック3月号付録),66,182581,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-PROMO-030.webp,CRD_DBCFA7ECE36342E69356,리자몽 EX,0.9239,ADD_CANDIDATE
pkmn-tcg-KR-SV-P-173,KRSVP,173,,メタモン P [SV-P 173]【韓国語版】(ポケモンタウン2025 with ロッテ),64,606347,https://cdn.snkrdunk.com/upload_bg_removed/20250531092924-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-392,SMP,392,,海で遊ぶピカチュウ: プロモ [SM-P 392](プロモーションカード「SM-P」),63,107448,https://cdn.snkrdunk.com/upload_bg_removed/20221219042224-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S-P1-024,SP1,24,,ピカチュウ: プロモ P [S-P 024](ポケモンカードゲーム ソード&シールド 「プロモカードパック 第1弾」),63,298872,https://cdn.snkrdunk.com/upload_bg_removed/20240619085615-4.webp,CRD_CDF7188601734FA48B24,피카츄,0.9057,ADD_CANDIDATE
pkmn-tcg-SV-P-196,SVP,196,,イーブイ P [SV-P-SM 196](プロモカードパック「ポケカバトルをはじめよう！キャンペーン」),62,332792,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-SV-P-SM-196-of.webp,,,,ADD_CANDIDATE
pkmn-tcg-S-P-143,SP,143,,リザードン 第2回イラストグランプリ: プロモ[S-P 143](プロモーションカード「S-P」),58,128520,https://cdn.snkrdunk.com/upload_bg_removed/20230620051000-0.webp,CRD_67BA3BC34CA2443FAB1C,리자몽 EX,0.635,ADD_CANDIDATE
pkmn-tcg-BW-P-0078-235,BWP0078,235,,イーブイ P (開封済) [BW-P 235](プロモーションカード「セブンイレブン ポケモンスタンプラリー2013」),56,415567,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314511-yu.webp,CRD_E4269732BF5E4DAE84E6,부스터 EX,0.6346,ADD_CANDIDATE
pkmn-tcg-S-P-121,SP,121,,ピカチュウV P [S-P 121](ソード＆シールド「プロモーションカード」),54,727720,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-121-S-P-ot.webp,CRD_7F6CC76C333E432E9B6A,피카츄 V,0.7088,ADD_CANDIDATE
pkmn-tcg-S8a-P-009,S8AP,9,,ピィ P [S8a-P 009/025](プロモカードパック 25th ANNIVERSARY edition),54,185276,https://cdn.snkrdunk.com/upload_bg_removed/20240122053705-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S8a-P-019,S8AP,19,,ドンファン: プロモ [S8a-P 019](プロモカードパック 25th ANNIVERSARY edition),54,286968,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-S8a-P-019.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-401,SMP,401,,アローラの仲間たち: プロモ[SM-P 401](プロモーションカード「SM-P」),53,93046,https://cdn.snkrdunk.com/upload_bg_removed/20230629020006-0.webp,CRD_E22C2110EB8743EFA3E1,팔데아의 학생,0.7186,ADD_CANDIDATE
pkmn-tcg-SV-P-066,SVP,66,,エーフィ: プロモ [SV-P 066](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),52,122058,https://cdn.snkrdunk.com/upload_bg_removed/20240229032259-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-270,SVP,270,,ロケット団のサカキ P [SV-P 270](プロモーションカード「ポケモンカードゲーム×BOSS 割るだけクラフトボスカフェ2本パック付属」),50,553313,https://cdn.snkrdunk.com/upload_bg_removed/20250327014149-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-070,SVP,70,,ニンフィア: プロモ [SV-P 070](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),47,122062,https://cdn.snkrdunk.com/upload_bg_removed/20230523021629-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SM-P-237,SMP,237,,ルギア P [SM-P 237](GXスタートデッキ「Wルギアキャンペーン」),47,407397,https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7325745-yu.webp,,,,ADD_CANDIDATE
pkmn-tcg-cn-SV-P-057,CNSVP,57,,ピカチュウ P [SV-P 057]【中国語版】(プロモーションカード「台北オープン記念」),45,520383,https://cdn.snkrdunk.com/upload_bg_removed/20250210031440-0.webp,CRD_B30DFCBCDFBA21BE1C07,피카츄,0.6261,ADD_CANDIDATE
pkmn-tcg-SV-P-259,SVP,259,,ロケット団のニャース P [SV-P 259](プロモーションカード「コロコロイチバン2025年7・8月号 付録」),44,573267,https://cdn.snkrdunk.com/upload_bg_removed/20250521040304-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-S-P-292,SP,292,,カイリューV P [S-P 292](プロモーションカード「S-P」),44,653126,https://cdn.snkrdunk.com/upload_bg_removed/20250717101239-0.webp,CRD_F42BA8F04DBE4AD9A8D0,망나뇽 V,0.6541,ADD_CANDIDATE
pkmn-tcg-S10b-P-290,S10BP,290,,ゼニガメ P [S-P 290](プロモーションカード「ポケモン GO ギフトキャンペーン」),44,666716,https://cdn.snkrdunk.com/upload_bg_removed/20250804025027-3.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-062,SVP,62,,イーブイ: プロモ [SV-P 062](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),43,122054,https://cdn.snkrdunk.com/upload_bg_removed/20230522100840-0.webp,,,,ADD_CANDIDATE
pkmn-tcg-SV-P-068,SVP,68,,リーフィア: プロモ [SV-P 068](「YU NAGABA×ポケモンカードゲーム」プロモーションカード「SV-P」),43,122060,https://cdn.snkrdunk.com/upload_bg_removed/20230523021416-0.webp,,,,ADD_CANDIDATE
