our_card_id,our_name,our_jp_ref,our_set_code,our_card_no,our_rarity,our_image_path,snkrdunk_id,snkrdunk_url,snkrdunk_title,snkrdunk_product_number,snkrdunk_image_url,snkrdunk_image_cache_path,text_match_card_id,scanner_top1_card_id,scanner_top1_name,scanner_top1_score,scanner_top5_json,match_status,confidence,source_set,notes
CRD_00182F81CA884726A6BB,로켓단의 뮤츠 ex,sv10_ja-114,SV10,114/098,SR,cards/CRD_00182F81CA884726A6BB_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV10,
CRD_003510A0066E4AF58922,찌르꼬,sv1s_ja-90,SV1S,090/078,AR,cards/CRD_003510A0066E4AF58922_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV1S,
CRD_0045DA17CE1F46BFB915,팬텀 V,NO_JP,,253/414,RR,cards/CRD_0045DA17CE1F46BFB915_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_0052886022F54674939E,포플러,swsh8b_ja-269,SWSH8B,277/184,SR,cards/CRD_0052886022F54674939E_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH8B,
CRD_0060AA44D0824398AB42,추명,sv8a_ja-191,SV8A,194/187,SR,cards/CRD_0060AA44D0824398AB42_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV8A,
CRD_007D898667D84D8F9B7E,제크로무,bw1w_ja-55,BW1W,055/053,SR,cards/CRD_007D898667D84D8F9B7E_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,BW1W,
CRD_0099D36F822141DF8467,체렌,svp_ja-279,SVP,,PR,cards/CRD_0099D36F822141DF8467_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SVP,
CRD_00A1C8B22B694905AABF,개굴닌자 V,NO_JP,,014/053,RR,cards/CRD_00A1C8B22B694905AABF_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_00B0A094D2434026AD56,하랑우탄,swsh8b_ja-212,SWSH8B,212/184,CHR,cards/CRD_00B0A094D2434026AD56_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH8B,
CRD_00C3F08C0B7C41B1A2DA,히스이 포푸니크 V,swsh10p_ja-74,SWSH10P,074/067,SR,cards/CRD_00C3F08C0B7C41B1A2DA_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH10P,
