gap_type,source,our_card_id_if_any,our_name,our_jp_ref,our_rarity,snkrdunk_apparel_id,snkrdunk_product_number,snkrdunk_title,snkrdunk_image_url,scanner_top1_card_id,scanner_top1_score,scanner_top5_json,reason,action
OUR_NO_JP,OUR_CATALOG,CRD_0045DA17CE1F46BFB915,팬텀 V,NO_JP,RR,380374,pkmn-tcg-SI-253,ゲンガーV [SI 253/414](ソード＆シールド「スタートデッキ100」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7332472-yu.webp,CRD_0045DA17CE1F46BFB915,0.9129,"[{""cardId"": ""CRD_0045DA17CE1F46BFB915"", ""name"": ""팬텀 V"", ""rarity"": ""RR"", ""ref"": ""swsh8-156"", ""score"": 0.9129}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PR|OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0099D36F822141DF8467,체렌,svp_ja-279,PR,585229,pkmn-tcg-SV-P-279,チェレン P [SV-P 279](プロモカードパック「ビクティニBWR争奪戦」),https://cdn.snkrdunk.com/upload_bg_removed/20250504091134-1.webp,CRD_0099D36F822141DF8467,0.8467,"[{""cardId"": ""CRD_0099D36F822141DF8467"", ""name"": ""체렌"", ""rarity"": ""PR"", ""ref"": ""svp_ja-279"", ""score"": 0.8467}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_NO_JP,OUR_CATALOG,CRD_00A1C8B22B694905AABF,개굴닌자 V,NO_JP,RR,380205,pkmn-tcg-SI-107,ゲッコウガV [SI 107/414](ソード＆シールド「スタートデッキ100」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7332180-yu.webp,CRD_00A1C8B22B694905AABF,0.8202,"[{""cardId"": ""CRD_00A1C8B22B694905AABF"", ""name"": ""개굴닌자 V"", ""rarity"": ""RR"", ""ref"": ""swsh8-73"", ""score"": 0.8202}, {""cardId"": ""CRD_535F50E9DD9145CFB167"", ""name"": ""개굴닌자 GX"", ""rarity"": ""RR"", ""ref"": ""sm8b_ja-33"", ""score"": 0.6764}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_00C3F08C0B7C41B1A2DA,히스이 포푸니크 V,swsh10p_ja-74,SR,139585,pkmn-tcg-S10P-074,ヒスイオオニューラV SR[s10P 074/067](拡張パック「スペースジャグラー」),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-S10P-3445.webp,CRD_00C3F08C0B7C41B1A2DA,0.8271,"[{""cardId"": ""CRD_00C3F08C0B7C41B1A2DA"", ""name"": ""히스이 포푸니크 V"", ""rarity"": ""SR"", ""ref"": ""swsh10p_ja-74"", ""score"": 0.8271}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_010576BAD6694C708F4E,고디보미,sv2p_ja-78,AR,120828,pkmn-tcg-SV2P-078,ゴチミル AR[SV2P 078/071](拡張パック「スノーハザード」),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-SV2P-5348.webp,CRD_010576BAD6694C708F4E,0.7889,"[{""cardId"": ""CRD_010576BAD6694C708F4E"", ""name"": ""고디보미"", ""rarity"": ""AR"", ""ref"": ""sv2p_ja-78"", ""score"": 0.7889}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PR|OUR_PROMO_PATTERN,OUR_CATALOG,CRD_01AD02026ECC4FEDBF4F,이상해꽃 EX,xyp_ja-233,PR,413428,pkmn-tcg-XY-P-PCG-16-SC-233,フシギバナEX P [XY-P 233](プロモーションカード「ポケモンカードジム 2016スタンプキャンペーン」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314779-yu.webp,CRD_01AD02026ECC4FEDBF4F,0.7772,"[{""cardId"": ""CRD_01AD02026ECC4FEDBF4F"", ""name"": ""이상해꽃 EX"", ""rarity"": ""PR"", ""ref"": ""xyp_ja-233"", ""score"": 0.7772}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_NO_JP,OUR_CATALOG,CRD_035B0C7E2A9E47CA878C,개굴닌자 ex,NO_JP,RR,129819,pkmn-tcg-SVD-029,ゲッコウガex [SVD 029/139](おまかせexスタートデッキ),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-SVD-5949.webp,CRD_035B0C7E2A9E47CA878C,0.8095,"[{""cardId"": ""CRD_035B0C7E2A9E47CA878C"", ""name"": ""개굴닌자 ex"", ""rarity"": ""RR"", ""ref"": ""svp-54"", ""score"": 0.8095}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PR|OUR_PROMO_PATTERN,OUR_CATALOG,CRD_0421FACBD6704E71B2CE,입치트 EX,xyp_ja-185,PR,413371,pkmn-tcg-XY-P-MA-MM-LB-185,クチートEX P [XY-P 185](ダブルメガBREAKセット「メガプテラEX+メガクチートEX+レントラーBREAK」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314731-yu.webp,CRD_0421FACBD6704E71B2CE,0.7466,"[{""cardId"": ""CRD_0421FACBD6704E71B2CE"", ""name"": ""입치트 EX"", ""rarity"": ""PR"", ""ref"": ""xyp_ja-185"", ""score"": 0.7466}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_PROMO_PATTERN,OUR_CATALOG,CRD_042E784E8ED640CF929D,루카리오 GX,sm5p_ja-30,RR,338399,pkmn-tcg-SM5+-030,ルカリオGX RR [SM5+ 030/050](強化拡張パック「ウルトラフォース」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-SM5*-030-yu.webp,CRD_042E784E8ED640CF929D,0.8768,"[{""cardId"": ""CRD_042E784E8ED640CF929D"", ""name"": ""루카리오 GX"", ""rarity"": ""RR"", ""ref"": ""sm5p_ja-30"", ""score"": 0.8768}]",매핑됨(검증필요),VERIFY_MAPPING
OUR_NO_JP,OUR_CATALOG,CRD_04AF7F36245442EBBCF9,보스로라 V,NO_JP,RR,380429,pkmn-tcg-SI-299,ボスゴドラV [SI 299/414](ソード＆シールド「スタートデッキ100」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7332564-yu.webp,CRD_04AF7F36245442EBBCF9,0.8617,"[{""cardId"": ""CRD_04AF7F36245442EBBCF9"", ""name"": ""보스로라 V"", ""rarity"": ""RR"", ""ref"": ""swsh9-96"", ""score"": 0.8617}]",매핑됨(검증필요),VERIFY_MAPPING
