our_card_id,our_name,our_jp_ref,our_rarity,snkrdunk_apparel_id,snkrdunk_product_number,snkrdunk_title,snkrdunk_image_url,rematch_rank,rematch_score,snk_set,snk_number,snk_rarity,set_number_check,rarity_check,name_check
CRD_435238B98B534ED1A50A,마마네(=실제 마오/Mallow),NO_JP,SR,91359,pkmn-tcg-366,マオ SR[SM2L 055/050](拡張パック「アローラの月光」),https://cdn.snkrdunk.com/upload_bg_removed/20240730034917-0.webp,1,9,SM2L,055/050,SR,DIFF,OK,OK
CRD_46675A842A144D9E84CF,가디안 EX,xy11c_ja-38,RR,387185,pkmn-tcg-XY11-R-038,サーナイトEX RR :1ED [XY11 038/054](拡張パック「冷酷の反逆者」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7322755-yu.webp,1,9,XY11,038/054,RR,OK,OK,OK
CRD_906A3DF2C7B04997AE4D,개굴닌자 EX,xyp_ja-21,PR,411675,pkmn-tcg-XY-P-XYPCP1-021,ゲッコウガEX P [XY-P 021](プロモカードパック「第1弾」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7314557-yu.webp,1,9,,,,OK,OK,OK
CRD_8C4814A402E140B9A2FC,텅구리 BREAK,xy8r_ja-36,RR,390051,pkmn-tcg-XY8-R-036,ガラガラBREAK RR :1ED [XY8 036/059](拡張パック「赤い閃光」),https://cdn.snkrdunk.com/upload_bg_removed/20240917073820-0.webp,1,9,XY8,036/059,RR,OK,OK,OK
CRD_435238B98B534ED1A50A,마마네,NO_JP,SR,91356,pkmn-tcg-361,マーマネ SR[SM2+ 057/049](強化拡張パック「新たなる試練の向こう」),https://cdn.snkrdunk.com/upload_bg_removed/20240730015752-0.webp,2,9,,,SR,OK,OK,OK
CRD_CC99F95ECF194AAFBB28,빠르모트 ex,NO_JP,RR,121938,pkmn-tcg-SVP1-005,パーモットex [SVP1 005/007](スカーレット＆バイオレット 「exスペシャルセット」),https://cdn.snkrdunk.com/upload_bg_removed/20230518122253-0.webp,1,1,SVP1,005/007,,DIFF,DIFF,NO_MAP
CRD_CC99F95ECF194AAFBB28,빠르모트 ex,NO_JP,RR,132118,pkmn-tcg-WCS23-005,パーモット [WCS23 005/030](ポケモンワールドチャンピオンシップス2023横浜 記念デッキ「ピカチュウ」),https://cdn.snkrdunk.com/upload_bg_removed/20240229031031-0.webp,2,1,WCS23,005/030,,DIFF,DIFF,NO_MAP
CRD_CC99F95ECF194AAFBB28,빠르모트 ex,NO_JP,RR,162039,pkmn-tcg-SV4a-068,パーモット [SV4a 068/190](ハイクラスパック「シャイニートレジャーex」),https://cdn.snkrdunk.com/upload_bg_removed/20231130110607-4.webp,3,1,SV4a,068/190,,DIFF,DIFF,NO_MAP
CRD_3F2D5876782D4E44B4B3,고래왕 V,NO_JP,RR,381767,pkmn-tcg-XY5-T-017,ホエルオーEX RR [XY5 017/070](拡張パック「タイダルストーム」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7320972-yu.webp,1,2,XY5,017/070,RR,DIFF,OK,NO_MAP
CRD_3F2D5876782D4E44B4B3,고래왕 V,NO_JP,RR,824192,pkmn-tcg-M5-015,ホエルオーex RR [M5 015/081](拡張パック「アビスアイ」),https://cdn.snkrdunk.com/upload_bg_removed/3cdc2ea7-f151-47cb-b1ce-f3f1371f8f09.webp,2,2,M5,015/081,RR,DIFF,OK,NO_MAP
CRD_3F2D5876782D4E44B4B3,고래왕 V,NO_JP,RR,110645,pkmn-tcg-ADV2-021	,ホエルオーex ☆ [ADV2 021/053](拡張パック第2弾「砂漠のきせき」),https://cdn.snkrdunk.com/upload_bg_removed/20230117024908-0.webp,3,1,ADV2,021/053,,DIFF,DIFF,NO_MAP
