our_card_id,our_name,our_jp_ref,our_set_code,our_card_no,our_rarity,our_image_path,snkrdunk_id,snkrdunk_url,snkrdunk_title,snkrdunk_product_number,snkrdunk_image_url,snkrdunk_image_cache_path,text_match_card_id,scanner_top1_card_id,scanner_top1_name,scanner_top1_score,scanner_top5_json,match_status,confidence,notes
CRD_579416A2A535432F8F30,나옹 ex,m3_ja-114,M3,114/080,SAR,cards/CRD_579416A2A535432F8F30_jp.png,753242,https://snkrdunk.com/apparels/753242,ニャースex SAR [M3 114/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-114,https://cdn.snkrdunk.com/upload_bg_removed/20260122103126-0.webp,snktest_m3/753242.png,CRD_579416A2A535432F8F30,CRD_579416A2A535432F8F30,나옹 ex,0.8402,"[{""cardId"": ""CRD_579416A2A535432F8F30"", ""name"": ""나옹 ex"", ""rarity"": ""SAR"", ""ref"": ""m3_ja-114"", ""score"": 0.8402}]",HIGH_CONFIDENCE,HIGH,
CRD_B6F780670C514367833F,분떠도리,m3_ja-81,M3,081/080,AR,cards/CRD_B6F780670C514367833F_jp.png,753256,https://snkrdunk.com/apparels/753256,コフーライ AR [M3 081/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-081,https://cdn.snkrdunk.com/upload_bg_removed/20260122103647-0.webp,snktest_m3/753256.png,CRD_B6F780670C514367833F,CRD_B6F780670C514367833F,분떠도리,0.8808,"[{""cardId"": ""CRD_B6F780670C514367833F"", ""name"": ""분떠도리"", ""rarity"": ""AR"", ""ref"": ""m3_ja-81"", ""score"": 0.8808}]",HIGH_CONFIDENCE,HIGH,
CRD_2FE394C852394D129604,나몰빼미,m3_ja-82,M3,082/080,AR,cards/CRD_2FE394C852394D129604_jp.png,753257,https://snkrdunk.com/apparels/753257,モクロー AR [M3 082/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-082,https://cdn.snkrdunk.com/upload_bg_removed/20260122103636-0.webp,snktest_m3/753257.png,CRD_2FE394C852394D129604,CRD_2FE394C852394D129604,나몰빼미,0.9122,"[{""cardId"": ""CRD_2FE394C852394D129604"", ""name"": ""나몰빼미"", ""rarity"": ""AR"", ""ref"": ""m3_ja-82"", ""score"": 0.9122}]",HIGH_CONFIDENCE,HIGH,
CRD_ADB6937D5829468DB1AF,데덴네,m3_ja-85,M3,085/080,AR,cards/CRD_ADB6937D5829468DB1AF_jp.png,753258,https://snkrdunk.com/apparels/753258,デデンネ AR [M3 085/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-085,https://cdn.snkrdunk.com/upload_bg_removed/20260122103600-0.webp,snktest_m3/753258.png,CRD_ADB6937D5829468DB1AF,CRD_ADB6937D5829468DB1AF,데덴네,0.8887,"[{""cardId"": ""CRD_ADB6937D5829468DB1AF"", ""name"": ""데덴네"", ""rarity"": ""AR"", ""ref"": ""m3_ja-85"", ""score"": 0.8887}]",HIGH_CONFIDENCE,HIGH,
CRD_7FFB3A5460DC46489885,쌍검킬,m3_ja-91,M3,091/080,AR,cards/CRD_7FFB3A5460DC46489885_jp.png,753259,https://snkrdunk.com/apparels/753259,ニダンギル AR [M3 091/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-091,https://cdn.snkrdunk.com/upload_bg_removed/20260122103442-0.webp,snktest_m3/753259.png,CRD_7FFB3A5460DC46489885,CRD_7FFB3A5460DC46489885,쌍검킬,0.8349,"[{""cardId"": ""CRD_7FFB3A5460DC46489885"", ""name"": ""쌍검킬"", ""rarity"": ""AR"", ""ref"": ""m3_ja-91"", ""score"": 0.8349}]",HIGH_CONFIDENCE,HIGH,
CRD_AD5DBA8969314EA6A9F3,모크나이퍼 ex,m3_ja-93,M3,093/080,SR,cards/CRD_AD5DBA8969314EA6A9F3_jp.png,753261,https://snkrdunk.com/apparels/753261,ジュナイパーex SR [M3 093/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-093,https://cdn.snkrdunk.com/upload_bg_removed/20260122103404-0.webp,snktest_m3/753261.png,CRD_AD5DBA8969314EA6A9F3,CRD_AD5DBA8969314EA6A9F3,모크나이퍼 ex,0.8458,"[{""cardId"": ""CRD_AD5DBA8969314EA6A9F3"", ""name"": ""모크나이퍼 ex"", ""rarity"": ""SR"", ""ref"": ""m3_ja-93"", ""score"": 0.8458}]",HIGH_CONFIDENCE,HIGH,
CRD_9DE6CF5F7FF3427298C7,레트라,m3_ja-92,M3,092/080,AR,cards/CRD_9DE6CF5F7FF3427298C7_jp.png,753260,https://snkrdunk.com/apparels/753260,ラッタ AR [M3 092/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-092,https://cdn.snkrdunk.com/upload_bg_removed/20260122103412-0.webp,snktest_m3/753260.png,CRD_9DE6CF5F7FF3427298C7,CRD_9DE6CF5F7FF3427298C7,레트라,0.8935,"[{""cardId"": ""CRD_9DE6CF5F7FF3427298C7"", ""name"": ""레트라"", ""rarity"": ""AR"", ""ref"": ""m3_ja-92"", ""score"": 0.8935}]",HIGH_CONFIDENCE,HIGH,
CRD_6EA8D0D00A484C1985DD,메가아쿠스타 ex,m3_ja-95,M3,095/080,SR,cards/CRD_6EA8D0D00A484C1985DD_jp.png,753262,https://snkrdunk.com/apparels/753262,メガスターミーex SR [M3 095/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-095,https://cdn.snkrdunk.com/upload_bg_removed/20260122103343-0.webp,snktest_m3/753262.png,CRD_6EA8D0D00A484C1985DD,CRD_6EA8D0D00A484C1985DD,메가아쿠스타 ex,0.9121,"[{""cardId"": ""CRD_6EA8D0D00A484C1985DD"", ""name"": ""메가아쿠스타 ex"", ""rarity"": ""SR"", ""ref"": ""m3_ja-95"", ""score"": 0.9121}]",HIGH_CONFIDENCE,HIGH,
CRD_78690B2E84B943EFA5E1,메가픽시 ex,m3_ja-96,M3,096/080,SR,cards/CRD_78690B2E84B943EFA5E1_jp.png,753263,https://snkrdunk.com/apparels/753263,メガピクシーex SR [M3 096/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-096,https://cdn.snkrdunk.com/upload_bg_removed/20260122103331-0.webp,snktest_m3/753263.png,CRD_78690B2E84B943EFA5E1,CRD_78690B2E84B943EFA5E1,메가픽시 ex,0.6775,"[{""cardId"": ""CRD_78690B2E84B943EFA5E1"", ""name"": ""메가픽시 ex"", ""rarity"": ""SR"", ""ref"": ""m3_ja-96"", ""score"": 0.6775}, {""cardId"": ""CRD_6657C5F9E27145AA9961"", ""name"": ""메가픽시 ex"", ""rarity"": ""SAR"", ""ref"": ""m3_ja-112"", ""score"": 0.5792}]",HIGH_CONFIDENCE,HIGH,low_confidence
CRD_4B9283B93544449DBC2D,이벨타르 ex,m3_ja-98,M3,098/080,SR,cards/CRD_4B9283B93544449DBC2D_jp.png,753265,https://snkrdunk.com/apparels/753265,イベルタルex SR [M3 098/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-098,https://cdn.snkrdunk.com/upload_bg_removed/20260123011949-0.webp,snktest_m3/753265.png,CRD_4B9283B93544449DBC2D,CRD_4B9283B93544449DBC2D,이벨타르 ex,0.7282,"[{""cardId"": ""CRD_4B9283B93544449DBC2D"", ""name"": ""이벨타르 ex"", ""rarity"": ""SR"", ""ref"": ""m3_ja-98"", ""score"": 0.7282}]",HIGH_CONFIDENCE,HIGH,low_confidence
