set_code,sample_pages,first_seen_page,last_seen_page,estimated_page_min,estimated_page_max,sample_count,matched_our_card_count,is_ours,notes
SV4A,1001,1001,1001,991,1011,31,178,Y,
SV11B,291,291,291,281,301,74,90,Y,
SV11W,291,291,291,281,301,26,86,Y,
SV8A,481 501,481,501,471,511,101,78,Y,
M2A,161,161,161,151,171,100,76,Y,
SV2A,1161,1161,1161,1151,1171,100,55,Y,
SV9,441 2411,441,2411,431,2421,61,38,Y,
SV3,1131,1131,1131,1121,1141,90,36,Y,
M2,191,191,191,181,201,2,35,Y,
SV1S,1241,1241,1241,1231,1251,76,34,Y,
SV1V,1241,1241,1241,1231,1251,22,31,Y,
M1S,191 211,191,211,181,221,86,30,Y,
M1L,191 211,191,211,181,221,29,29,Y,
SV5K,1001,1001,1001,991,1011,16,29,Y,
CP6,1871,1871,1871,1861,1881,45,27,Y,
XY9,1911,1911,1911,1901,1921,75,19,Y,
XY,1501,1501,1501,1491,1511,1,18,Y,
SM6,1791,1791,1791,1781,1801,91,15,Y,
SM8,1321,1321,1321,1311,1331,1,14,Y,
XY2,1991,1991,1991,1981,2001,10,11,Y,
SM1S,1851,1851,1851,1841,1861,13,10,Y,
XY4,1971,1971,1971,1961,1981,8,10,Y,
SM3H,1831,1831,1831,1821,1841,52,9,Y,
SM3N,1831,1831,1831,1821,1841,28,8,Y,
SM1M,1851 1861,1851,1861,1841,1871,85,8,Y,
BW9,2021,2021,2021,2011,2031,8,6,Y,
CP4,1891,1891,1891,1881,1901,89,5,Y,
EN-LC-MT,1,1,1,1,11,5,0,,
EN-MM-MT,1,1,1,1,11,2,0,,
SV-P-ILLUST,11,11,11,1,21,1,0,,
SV-P,21 441 521 671 1241 2421,21,2421,11,2431,13,0,,
MC,141,141,141,131,151,100,0,,
MBG,201,201,201,191,211,22,0,,
MBD,201,201,201,191,211,22,0,,
M-P,201 2411,201,2411,191,2421,8,0,,
KR-SV-P,321,321,321,311,331,1,0,,
SVN,441,441,441,431,451,39,0,,
SVM,521,521,521,511,531,93,0,,
IDN-SV-P,641,641,641,631,651,1,0,,
SVLN,671,671,671,661,681,11,0,,
SVLS,671,671,671,661,681,6,0,,
SVHM,1001,1001,1001,991,1011,2,0,,
SVHK,1001,1001,1001,991,1011,2,0,,
EN-M23-EN,1101,1101,1101,1091,1111,15,0,,
SVF,1131,1131,1131,1121,1141,10,0,,
SVD,1141,1141,1141,1131,1151,92,0,,
SVP1,1181,1181,1181,1171,1191,6,0,,
S12,1301,1301,1301,1291,1311,91,0,,
EN-SS-MC22,1331,1331,1331,1321,1341,15,0,,
S11,1341,1341,1341,1331,1351,1,0,,
S10B,1351,1351,1351,1341,1361,59,0,,
SLD,1391,1391,1391,1381,1401,18,0,,
S9A,1391,1391,1391,1381,1401,81,0,,
SI,1421,1421,1421,1411,1431,14,0,,
25THCD,1421,1421,1421,1411,1431,4,0,,
S8,1451,1451,1451,1441,1461,75,0,,
